"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B00001",.,"UNWEIGHTED SAMPLE COUNT OF THE POPULATION",,,,
"B00001",.,"Universe:  Total population",,,,
"B00001",1.000,"Total","25,982","+/-211","25,771","26,193"
"B00002",.,"UNWEIGHTED SAMPLE HOUSING UNITS",,,,
"B00002",.,"Universe:  Housing units",,,,
"B00002",1.000,"Total","12,118","+/-211","11,907","12,329"
"B01001",.,"SEX BY AGE",,,,
"B01001",.,"Universe:  Total population",,,,
"B01001",1.000,"Total:","757,341","+/-898","756,443","758,239"
"B01001",2.000,"Male:","376,048","+/-1,656","374,392","377,704"
"B01001",3.000,"Under 5 years","24,974","+/-931","24,043","25,905"
"B01001",4.000,"5 to 9 years","22,603","+/-1,292","21,311","23,895"
"B01001",5.000,"10 to 14 years","23,322","+/-1,251","22,071","24,573"
"B01001",6.000,"15 to 17 years","16,309","+/-685","15,624","16,994"
"B01001",7.000,"18 and 19 years","13,051","+/-859","12,192","13,910"
"B01001",8.000,"20 years","5,302","+/-919","4,383","6,221"
"B01001",9.000,"21 years","6,689","+/-1,159","5,530","7,848"
"B01001",10.000,"22 to 24 years","19,940","+/-1,652","18,288","21,592"
"B01001",11.000,"25 to 29 years","28,780","+/-1,194","27,586","29,974"
"B01001",12.000,"30 to 34 years","20,898","+/-815","20,083","21,713"
"B01001",13.000,"35 to 39 years","20,244","+/-1,068","19,176","21,312"
"B01001",14.000,"40 to 44 years","25,595","+/-1,254","24,341","26,849"
"B01001",15.000,"45 to 49 years","28,838","+/-623","28,215","29,461"
"B01001",16.000,"50 to 54 years","27,139","+/-506","26,633","27,645"
"B01001",17.000,"55 to 59 years","22,996","+/-1,054","21,942","24,050"
"B01001",18.000,"60 and 61 years","8,164","+/-950","7,214","9,114"
"B01001",19.000,"62 to 64 years","10,174","+/-941","9,233","11,115"
"B01001",20.000,"65 and 66 years","5,811","+/-607","5,204","6,418"
"B01001",21.000,"67 to 69 years","8,725","+/-847","7,878","9,572"
"B01001",22.000,"70 to 74 years","12,234","+/-788","11,446","13,022"
"B01001",23.000,"75 to 79 years","11,038","+/-821","10,217","11,859"
"B01001",24.000,"80 to 84 years","7,009","+/-671","6,338","7,680"
"B01001",25.000,"85 years and over","6,213","+/-746","5,467","6,959"
"B01001",26.000,"Female:","381,293","+/-1,592","379,701","382,885"
"B01001",27.000,"Under 5 years","22,442","+/-760","21,682","23,202"
"B01001",28.000,"5 to 9 years","21,320","+/-1,377","19,943","22,697"
"B01001",29.000,"10 to 14 years","23,766","+/-1,379","22,387","25,145"
"B01001",30.000,"15 to 17 years","15,660","+/-641","15,019","16,301"
"B01001",31.000,"18 and 19 years","13,864","+/-726","13,138","14,590"
"B01001",32.000,"20 years","7,195","+/-1,128","6,067","8,323"
"B01001",33.000,"21 years","7,558","+/-1,290","6,268","8,848"
"B01001",34.000,"22 to 24 years","16,057","+/-1,359","14,698","17,416"
"B01001",35.000,"25 to 29 years","25,353","+/-841","24,512","26,194"
"B01001",36.000,"30 to 34 years","20,393","+/-765","19,628","21,158"
"B01001",37.000,"35 to 39 years","21,160","+/-1,345","19,815","22,505"
"B01001",38.000,"40 to 44 years","22,865","+/-1,191","21,674","24,056"
