carrier,quart,origincty,origin,destcty,destination,passengers,marketshare,avgfare,minincrement,maxincrement,minshare,maxshare,pax3xmin
DL,20081,01270,"Akron/Canton, Ohio,",05850,"Atlanta, Georgia,",10210,33,157,75,325,7,6,19
FL,20081,01270,"Akron/Canton, Ohio,",05850,"Atlanta, Georgia,",20280,65,133,75,175,9,6,11
FL,20081,01270,"Akron/Canton, Ohio,",29540,"Ft. Myers, Florida,",20580,90,153,100,200,10,7,7
FL,20081,01270,"Akron/Canton, Ohio,",63760,"New York, New York,",20880,94,113,75,125,14,32,6
FL,20081,01270,"Akron/Canton, Ohio,",66600,"Orlando, Florida,",21840,86,137,75,200,7,6,8
FL,20081,01270,"Akron/Canton, Ohio,",87870,"Tampa, Florida,",19630,86,134,75,200,6,6,7
WN,20081,01580,"Albany, New York,",07220,"Baltimore, Maryland,",46000,97,96,75,150,31,15,0
AA,20081,01580,"Albany, New York,",18500,"Chicago, Illinois,",3560,16,181,125,225,22,13,5
UA,20081,01580,"Albany, New York,",18500,"Chicago, Illinois,",11560,51,182,125,225,17,14,3
WN,20081,01580,"Albany, New York,",18500,"Chicago, Illinois,",6310,28,167,125,250,21,8,0
DL,20081,01580,"Albany, New York,",29420,"Ft. Lauderdale, Florida,",2460,13,162,100,225,11,6,3
US,20081,01580,"Albany, New York,",29420,"Ft. Lauderdale, Florida,",5070,26,198,125,300,14,6,5
WN,20081,01580,"Albany, New York,",29420,"Ft. Lauderdale, Florida,",9170,47,198,125,300,17,13,0
US,20081,01580,"Albany, New York,",48880,"Las Vegas, Nevada,",2410,12,224,125,275,9,7,9
WN,20081,01580,"Albany, New York,",48880,"Las Vegas, Nevada,",15450,74,189,125,250,23,12,4
WN,20081,01580,"Albany, New York,",66600,"Orlando, Florida,",61300,87,152,125,275,34,7,0
US,20081,01580,"Albany, New York,",87870,"Tampa, Florida,",5050,14,177,100,300,13,7,5
WN,20081,01580,"Albany, New York,",87870,"Tampa, Florida,",25890,72,156,100,275,12,6,1
UA,20081,01680,"Albuquerque, New Mexico,",07220,"Baltimore, Maryland,",2460,11,230,125,275,13,17,7
WN,20081,01680,"Albuquerque, New Mexico,",07220,"Baltimore, Maryland,",12790,59,209,125,400,26,5,6
AA,20081,01680,"Albuquerque, New Mexico,",18500,"Chicago, Illinois,",8580,28,174,100,250,5,5,9
UA,20081,01680,"Albuquerque, New Mexico,",18500,"Chicago, Illinois,",6940,23,221,125,275,15,8,8
WN,20081,01680,"Albuquerque, New Mexico,",18500,"Chicago, Illinois,",13140,43,188,100,375,8,7,12
AA,20081,01680,"Albuquerque, New Mexico,",23210,"Dallas/Ft.Worth, Texas,",25770,35,134,100,200,23,13,2
WN,20081,01680,"Albuquerque, New Mexico,",23210,"Dallas/Ft.Worth, Texas,",48010,65,129,75,200,6,25,1
F9,20081,01680,"Albuquerque, New Mexico,",24090,"Denver, Colorado,",12730,21,101,75,150,40,23,2
UA,20081,01680,"Albuquerque, New Mexico,",24090,"Denver, Colorado,",17810,30,109,75,150,25,19,2
WN,20081,01680,"Albuquerque, New Mexico,",24090,"Denver, Colorado,",22860,39,83,75,150,57,20,0
CO,20081,01680,"Albuquerque, New Mexico,",37320,"Houston, Texas,",12000,33,176,100,275,23,16,8
WN,20081,01680,"Albuquerque, New Mexico,",37320,"Houston, Texas,",22920,63,152,100,275,26,13,0
WN,20081,01680,"Albuquerque, New Mexico,",48880,"Las Vegas, Nevada,",53240,93,137,100,225,17,17,0
UA,20081,01680,"Albuquerque, New Mexico,",51410,"Los Angeles, California,",11080,22,167,100,225,11,20,3
WN,20081,01680,"Albuquerque, New Mexico,",51410,"Los Angeles, California,",36540,72,154,100,250,17,7,0
AA,20081,01680,"Albuquerque, New Mexico,",63760,"New York, New York,",10980,36,215,150,250,25,7,6
CO,20081,01680,"Albuquerque, New Mexico,",63760,"New York, New York,",8840,29,262,150,300,11,6,12
DL,20081,01680,"Albuquerque, New Mexico,",63760,"New York, New York,",3510,11,225,150,275,20,11,6
WN,20081,01680,"Albuquerque, New Mexico,",65420,"Oakland, California,",27390,95,164,100,300,18,12,4
WN,20081,01680,"Albuquerque, New Mexico,",66600,"Orlando, Florida,",14280,74,178,100,375,6,5,9
US,20081,01680,"Albuquerque, New Mexico,",69980,"Phoenix, Arizona,",16760,16,101,75,150,47,15,2
WN,20081,01680,"Albuquerque, New Mexico,",69980,"Phoenix, Arizona,",90350,84,96,75,150,43,23,0
