LOUISIANA CONGRESSIONAL DISTRICTS BY PLACES
 
Place                                   Parish                        109th Congressional District
 
Abbeville city                          Vermilion                     7                   
Abita Springs town                      St. Tammany                   1                   
Addis town                              West Baton Rouge              6                   
Albany village                          Livingston                    6                   
Alexandria city                         Rapides                       5                   
Ama CDP                                 St. Charles                   3                   
Amelia CDP                              St. Mary                      3                   
Amite City town                         Tangipahoa                    1                   
Anacoco village                         Vernon                        4                   
Angie village                           Washington                    1                   
Arabi CDP                               St. Bernard                   3                   
Arcadia town                            Bienville                     4                   
Arnaudville town                        St. Landry                    7                   
                                        St. Martin                    3                   
Ashland village                         Natchitoches                  4                   
Athens village                          Claiborne                     4                   
Atlanta village                         Winn                          5                   
Avondale CDP                            Jefferson                     2                   
Baker city                              East Baton Rouge              6                   
Baldwin town                            St. Mary                      3                   
Ball town                               Rapides                       5                   
Barataria CDP                           Jefferson                     3                   
Basile town                             Acadia                        7                   
                                        Evangeline                    7                   
Baskin village                          Franklin                      5                   
Bastrop city                            Morehouse                     5                   
Baton Rouge city                        East Baton Rouge              6                   
Bayou Cane CDP                          Terrebonne                    3                   
Bayou Gauche CDP                        St. Charles                   3                   
Bayou Vista CDP                         St. Mary                      3                   
Belcher village                         Caddo                         4                   
Belle Chasse CDP                        Plaquemines                   3                   
Belle Rose CDP                          Assumption                    3                   
Benton town                             Bossier                       4                   
Bernice town                            Union                         5                   
Berwick town                            St. Mary                      3                   
Bienville village                       Bienville                     4                   
Blanchard town                          Caddo                         4                   
Bogalusa city                           Washington                    1                   
Bonita village                          Morehouse                     5                   
Boothville-Venice CDP                   Plaquemines                   3                   
Bossier City city                       Bossier                       4                   
Boutte CDP                              St. Charles                   3                   
Boyce town                              Rapides                       5                   
Breaux Bridge city                      St. Martin                    3                   
Bridge City CDP                         Jefferson                     2                   
Broussard town                          Lafayette                     7                   
                                        St. Martin                    3                   
Brownfields CDP                         East Baton Rouge              6                   
Brownsville-Bawcomville CDP             Ouachita                      5                   
Brusly town                             West Baton Rouge              6                   
Bryceland village                       Bienville                     4                   
Bunkie city                             Avoyelles                     5                   
Buras-Triumph CDP                       Plaquemines                   3                   
Calvin village                          Winn                          5                   
Cameron CDP                             Cameron                       7                   
Campti town                             Natchitoches                  4                   
Cankton village                         St. Landry                    7                   
Carencro city                           Lafayette                     7                   
Carlyss CDP                             Calcasieu                     7                   
Castor village                          Bienville                     4                   
Cecilia CDP                             St. Martin                    3                   
Chackbay CDP                            Lafourche                     3                   
Chalmette CDP                           St. Bernard                   3                   
Charenton CDP                           St. Mary                      3                   
Chataignier village                     Evangeline                    7                   
Chatham town                            Jackson                       5                   
Chauvin CDP                             Terrebonne                    3                   
Cheneyville town                        Rapides                       5                   
Choudrant village                       Lincoln                       5                   
Church Point town                       Acadia                        7                   
Claiborne CDP                           Ouachita                      5                   
Clarence village                        Natchitoches                  4                   
Clarks village                          Caldwell                      5                   
Clayton town                            Concordia                     5                   
Clinton town                            East Feliciana                6                   
