Storm Name	Storm #	Year	Month	Day	Hour (UTC)	Latitude (deg)	Longitude (deg)	Storm direction (deg)	Storm speed (mph)	Storm speed (kph)	Wind speed (mph)	Wind speed (kph)	Pressure (mb)	Storm category
NOT NAMED 	1	1851	June   	25	0	28.0N	94.8W	-9	-9	-9	90	150	-9	Hurricane - Category 1    
NOT NAMED 	1	1851	June   	25	6	28.0N	95.4W	270	5	9	90	150	-9	Hurricane - Category 1    
NOT NAMED 	1	1851	June   	25	12	28.0N	96.0W	270	5	9	90	150	-9	Hurricane - Category 1    
NOT NAMED 	1	1851	June   	25	18	28.1N	96.5W	285	4	7	90	150	-9	Hurricane - Category 1    
NOT NAMED 	1	1851	June   	26	0	28.2N	97.0W	285	4	7	80	130	-9	Hurricane - Category 1    
NOT NAMED 	1	1851	June   	26	6	28.3N	97.6W	280	5	9	70	110	-9	Tropical Storm            
NOT NAMED 	1	1851	June   	26	12	28.4N	98.3W	280	6	11	70	110	-9	Tropical Storm            
NOT NAMED 	1	1851	June   	26	18	28.6N	98.9W	290	5	9	60	90	-9	Tropical Storm            
NOT NAMED 	1	1851	June   	27	0	29.0N	99.4W	310	5	9	60	90	-9	Tropical Storm            
NOT NAMED 	1	1851	June   	27	6	29.5N	99.8W	325	6	11	50	70	-9	Tropical Storm            
NOT NAMED 	1	1851	June   	27	12	30.0N	100.0W	340	5	9	50	70	-9	Tropical Storm            
NOT NAMED 	1	1851	June   	27	18	30.5N	100.1W	350	5	9	50	70	-9	Tropical Storm            
NOT NAMED 	1	1851	June   	28	0	31.0N	100.2W	350	5	9	50	70	-9	Tropical Storm            
NOT NAMED 	2	1851	July   	5	12	22.2N	97.6W	-9	-9	-9	90	150	-9	Hurricane - Category 1    
NOT NAMED 	3	1851	July   	10	12	12.0N	60.0W	-9	-9	-9	60	90	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	16	0	13.4N	48.0W	-9	-9	-9	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	16	6	13.7N	49.5W	280	16	25	50	70	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	16	12	14.0N	51.0W	280	16	25	60	90	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	16	18	14.4N	52.8W	285	19	31	60	90	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	17	0	14.9N	54.6W	285	20	33	70	110	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	17	6	15.4N	56.5W	285	21	35	70	110	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	17	12	15.9N	58.5W	285	21	35	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	17	18	16.1N	60.4W	275	20	33	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	18	0	16.6N	62.5W	285	23	37	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	18	6	16.9N	64.1W	280	17	27	90	150	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	18	12	17.2N	66.0W	280	20	33	100	170	-9	Hurricane - Category 2    
NOT NAMED 	4	1851	August 	18	18	17.6N	67.6W	285	17	27	100	170	-9	Hurricane - Category 2    
NOT NAMED 	4	1851	August 	19	0	18.0N	69.3W	285	18	29	100	170	-9	Hurricane - Category 2    
NOT NAMED 	4	1851	August 	19	6	18.4N	71.1W	285	19	31	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	19	12	18.9N	72.6W	290	17	27	70	110	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	19	18	19.4N	74.3W	285	18	29	70	110	-9	Tropical Storm            
NOT NAMED 	4	1851	August 	20	0	19.9N	75.9W	290	17	27	80	130	-9	Hurricane - Category 1    
NOT NAMED 	4	1851	August 	20	6	20.5N	77.6W	290	19	31	80	130	-9	Hurricane - Category 1    
