"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B07401",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",,,,
"B07401",.,"Universe:  Population 1 year and over in the United States",,,,
"B07401",1.0000,"Total living in area 1 year ago:","4,133,433","+/-13,154","4,120,279","4,146,587"
"B07401",2.0000,"1 to 4 years","213,381","+/-4,654","208,727","218,035"
"B07401",3.0000,"5 to 17 years","645,863","+/-3,832","642,031","649,695"
"B07401",4.0000,"18 and 19 years","108,407","+/-2,775","105,632","111,182"
"B07401",5.0000,"20 to 24 years","258,074","+/-4,918","253,156","262,992"
"B07401",6.0000,"25 to 29 years","247,512","+/-3,589","243,923","251,101"
"B07401",7.0000,"30 to 34 years","300,928","+/-4,237","296,691","305,165"
"B07401",8.0000,"35 to 39 years","345,921","+/-8,504","337,417","354,425"
"B07401",9.0000,"40 to 44 years","349,609","+/-8,506","341,103","358,115"
"B07401",10.0000,"45 to 49 years","342,646","+/-2,693","339,953","345,339"
"B07401",11.0000,"50 to 54 years","312,334","+/-3,093","309,241","315,427"
"B07401",12.0000,"55 to 59 years","281,311","+/-6,877","274,434","288,188"
"B07401",13.0000,"60 to 64 years","209,494","+/-6,962","202,532","216,456"
"B07401",14.0000,"65 to 69 years","147,246","+/-3,668","143,578","150,914"
"B07401",15.0000,"70 to 74 years","114,787","+/-3,494","111,293","118,281"
"B07401",16.0000,"75 years and over","255,920","+/-1,979","253,941","257,899"
"B07401",17.0000,"Same house:","3,541,604","+/-21,952","3,519,652","3,563,556"
"B07401",18.0000,"1 to 4 years","173,464","+/-5,576","167,888","179,040"
"B07401",19.0000,"5 to 17 years","566,239","+/-7,236","559,003","573,475"
"B07401",20.0000,"18 and 19 years","78,761","+/-3,417","75,344","82,178"
"B07401",21.0000,"20 to 24 years","185,488","+/-6,174","179,314","191,662"
"B07401",22.0000,"25 to 29 years","173,734","+/-4,406","169,328","178,140"
"B07401",23.0000,"30 to 34 years","233,530","+/-5,421","228,109","238,951"
