Table A.13
Median Age At Start Of Esrd Therapy
By Year, By Race, Sex, and Primary Disease Causing ESRD

------------------------------------------------------------------------------------------------
|                                  | 1987 | 1988 | 1989 | 1990 | 1991 | 1992 | 1993 | 1994 | 1995 | 1996 |
|----------------------------------+------+------+------+------+------+------+------+------+------+------|
|Age              0-19             |  15.0|  15.0|  15.0|  15.0|  14.0|  15.0|  14.0|  14.0|  14.0|  14.0|
|                 20-44            |  35.0|  35.0|  35.0|  35.0|  36.0|  36.0|  36.0|  36.0|  36.0|  37.0|
|                 45-64            |  57.0|  57.0|  57.0|  57.0|  57.0|  57.0|  56.0|  56.0|  56.0|  56.0|
|                 65-74            |  69.0|  69.0|  69.0|  69.0|  69.0|  69.0|  69.0|  69.0|  69.0|  70.0|
|                 75 plus          |  78.0|  78.0|  79.0|  79.0|  79.0|  79.0|  79.0|  79.0|  79.0|  79.0|
|Disease          1 Diabetes       |  59.0|  59.0|  60.0|  61.0|  61.0|  62.0|  62.0|  62.0|  62.0|  62.0|
|                 2 Hypertension   |  66.0|  67.0|  67.0|  68.0|  68.0|  68.0|  69.0|  68.0|  69.0|  69.0|
|                 3 Glomeruloneph. |  52.0|  52.0|  53.0|  53.0|  54.0|  54.0|  54.0|  54.0|  53.0|  53.0|
|                 4 Cystic Kidney  |  55.0|  53.0|  53.5|  54.0|  54.0|  54.0|  53.0|  54.0|  53.0|  53.0|
|                 5 Other Urologic |  68.0|  68.0|  69.0|  67.0|  62.0|  64.0|  62.0|  63.0|  65.0|  65.0|
|                 6 Other Cause    |  56.0|  56.0|  57.0|  56.0|  58.0|  58.0|  57.0|  56.0|  56.0|  57.0|
|                 7 Unknown Cause  |  64.0|  65.0|  65.0|  65.0|  65.0|  65.0|  65.0|  64.0|  66.0|  66.0|
|                 8 Missing Cause  |  58.0|  58.0|  64.0|  63.0|  63.0|  65.0|  69.0|  65.0|  66.0|  49.0|
|Race             1 Native Amer.   |  57.0|  57.0|  59.0|  58.0|  58.0|  60.0|  60.0|  58.0|  58.0|  57.0|
|                 2 Asian          |  58.0|  58.5|  60.0|  60.0|  61.0|  61.0|  62.0|  62.0|  62.0|  63.0|
|                 3 Black          |  58.0|  57.0|  58.0|  59.0|  59.0|  59.0|  59.0|  58.0|  57.0|  57.0|
|                 4 White          |  62.0|  63.0|  64.0|  64.0|  65.0|  65.0|  66.0|  65.0|  65.0|  66.0|
|                 5 Unknown        |  64.0|  64.0|  72.0|  72.0|  71.0|  71.0|  72.0|  68.0|  70.0|  56.5|
|                 9 Other          |  55.5|  56.0|  56.0|  45.5|  45.5|  57.0|  61.0|  56.0|  56.0|  56.0|
|Sex              Female           |  62.0|  62.0|  63.0|  63.0|  64.0|  64.0|  65.0|  64.0|  64.0|  64.0|
|                 Male             |  60.0|  60.0|  61.0|  61.0|  62.0|  62.0|  63.0|  62.0|  62.0|  62.0|
|Total            Total            |  61.0|  61.0|  62.0|  62.0|  63.0|  63.0|  64.0|  63.0|  63.0|  63.0|
----------------------------------------------------------------------------------------------------------
 
 
 
Table A.14
 Mean Age At Start Of Esrd Therapy
By Year, By Race, Sex, and Primary Disease Causing ESRD

------------------------------------------------------------------------------------------------
|                                  | 1987 | 1988 | 1989 | 1990 | 1991 | 1992 | 1993 | 1994 | 1995 | 1996 |
|----------------------------------+------+------+------+------+------+------+------+------+------+------|
|Age              0-19             |  12.8|  12.9|  13.1|  12.7|  12.3|  12.9|  12.5|  12.7|  12.2|  12.3|
|                 20-44            |  34.2|  34.2|  34.3|  34.6|  34.9|  34.9|  34.9|  34.9|  35.2|  35.4|
|                 45-64            |  56.1|  56.1|  56.0|  56.0|  56.0|  55.9|  55.8|  55.7|  55.6|  55.5|
|                 65-74            |  69.2|  69.3|  69.3|  69.3|  69.3|  69.4|  69.4|  69.5|  69.5|  69.6|
|                 75 plus          |  79.2|  79.3|  79.5|  79.6|  79.5|  79.7|  79.8|  79.7|  79.8|  79.9|
|Disease          1 Diabetes       |  56.1|  56.9|  57.3|  58.3|  58.9|  59.3|  59.7|  60.0|  60.3|  60.8|
|                 2 Hypertension   |  63.5|  63.7|  64.1|  64.5|  64.9|  64.9|  65.2|  65.0|  64.8|  65.0|
|                 3 Glomeruloneph. |  50.7|  50.7|  51.3|  51.7|  52.4|  52.3|  52.3|  52.8|  52.1|  52.8|
|                 4 Cystic Kidney  |  54.1|  53.6|  53.5|  54.0|  53.6|  54.4|  54.2|  54.8|  53.7|  54.3|
|                 5 Other Urologic |  61.2|  61.7|  62.8|  60.8|  55.2|  56.5|  55.8|  56.5|  59.2|  59.5|
|                 6 Other Cause    |  51.3|  51.5|  52.3|  51.9|  53.3|  54.2|  53.4|  53.1|  53.2|  54.1|
|                 7 Unknown Cause  |  59.6|  60.0|  60.2|  59.6|  59.4|  59.6|  59.2|  58.8|  61.1|  61.0|
|                 8 Missing Cause  |  54.9|  54.9|  60.9|  59.9|  58.7|  61.6|  66.3|  59.8|  61.4|  49.6|
|Race             1 Native Amer.   |  54.6|  54.7|  56.9|  56.2|  56.2|  58.4|  58.1|  56.2|  56.3|  56.2|
|                 2 Asian          |  55.5|  56.1|  55.5|  56.5|  57.4|  57.2|  58.1|  58.7|  59.7|  60.0|
|                 3 Black          |  55.2|  55.0|  55.3|  55.9|  56.2|  56.4|  56.5|  56.1|  55.6|  55.8|
|                 4 White          |  58.0|  58.7|  59.4|  59.9|  60.6|  61.1|  61.6|  61.7|  61.7|  62.2|
|                 5 Unknown        |  56.9|  60.1|  70.8|  71.3|  70.3|  69.4|  70.4|  64.3|  67.7|  51.8|
|                 9 Other          |  52.5|  52.5|  51.1|  43.3|  45.4|  53.6|  54.8|  51.4|  53.2|  53.1|
|Sex              Female           |  58.2|  58.4|  59.3|  59.7|  60.3|  60.6|  61.2|  60.8|  60.7|  60.8|
|                 Male             |  56.2|  56.7|  57.4|  57.8|  58.2|  58.8|  59.0|  58.9|  58.7|  59.2|
|Total            Total            |  57.1|  57.5|  58.3|  58.7|  59.2|  59.6|  60.0|  59.8|  59.6|  59.9|
----------------------------------------------------------------------------------------------------------
 
 
 
 
 
 
 

Includes all patients: residents of the 50 states, the District of Colulmbia, Puerto Rico and the Territories.
* Values for cells with fewer than 10 patients are suppressed.


Table A.15
Incidence Of Reported ESRD Therapy
Median Age At Incidence, Sex, Race, and One Year Transplant and Death Status
By Detailed Primary Disease, For All Patients, 1992-1996
                                                                                                  %    % Tran  % Died
                                           Total      %    Median    %      %      %      %    Native  First   First
Primary Disease Groups                    Patients  Incid   Age    Males  White  Black  Asian  Amer.    Year    Year

All ESRD, (reference)                     332,459   100.0    63     53.2  63.9   29.4    3.1    1.5      5.2    21.5 
Diabetes                                  130,473    40.4    62     47.4  64.2   28.5    3.3    2.4      3.6    20.6 
. Type 1, juvenile type                    46,100    14.3    57     49.3  70.2   24.9    2.4    1.6      7.3    19.2 
. Type 2, adult-onset or unspec. type      84,373    26.1    64     46.3  60.9   30.5    3.8    2.9      1.6    21.4 
Glomerulonephritis                         36,499    11.3    53     60.8  68.0   24.1    5.0    1.2     11.3    12.3 
. Focal glomerulosclerosis, focal GN        6,497     2.0    44     62.8  57.7   37.4    2.7    1.0     13.8     8.2 
. Membranous nephropathy                    1,554     0.5    57     66.5  71.4   24.2    2.3    1.1     10.9     9.8 
. Membranoproliferative GN, types 1&2       1,284     0.4    45     60.4  74.2   16.7    5.5    1.7     17.9     7.9 
. IgA nephropathy, Bergers disease          1,080     0.3    40     69.6  74.0    8.5   12.4    1.9     19.0     4.5 
. IgM nephropathy                             121     0.0    42     66.1  71.1   10.7   13.2    0.8     28.1     3.3 
. Rapidly progressive GN                    1,336     0.4    61     52.0  80.2   12.9    4.0    1.5      9.0    15.5 
. Goodpastures Syndrome                       780     0.2    64     47.2  89.4    7.1    1.8    1.2      6.0    24.5 
. Post infectious GN, SBE                     214     0.1    54     61.7  75.2   19.2    2.3    1.9      8.4    14.0 
. Glomerulonephritis (GN)                  22,749     7.0    57     60.6  68.4   23.0    5.7    1.3     10.0    13.6 
. Other proliferative GN                      884     0.3    52     56.8  74.0   18.7    5.4    1.1     13.6    13.1 
Secondary GN/Vasculitis                     8,122     2.5    45     32.9  63.3   30.6    3.4    1.2      7.4    17.3 
. Lupus erythematosus, (SLE nephritis)      4,177     1.3    37     19.4  47.9   44.0    4.8    1.1      8.8    11.2 
. Polyarteritis                               173     0.1    64     49.1  82.1   11.6    4.6    1.2      5.8    23.7 
. Wegeners granulomatosis                     890     0.3    64     60.0  91.6    5.4    1.1    1.3      4.6    23.6 
. Henoch-Schonlein syndrome                   153     0.0    25     56.2  81.7    7.2    6.5    3.3     27.5     7.8 
. Vasculitis and its derivatives              467     0.1    68     48.4  88.2    8.1    1.3    1.3      2.6    26.8 
. Scleroderma                                 740     0.2    57     23.4  80.1   17.4    1.1    1.1      2.3    33.9 
. Hemolytic uremic syndrome                   695     0.2    49     36.5  82.4   15.3    1.3    0.7      7.9    19.6 
. Nephropathy from heroin /related abuse      661     0.2    58     62.3  58.7   35.4    2.7    2.0      7.3    20.0 
. Secondary GN, other                         166     0.1    49     55.4  58.4   34.9    1.8    2.4      3.6    21.1 
Interstitial Nephritis/Pyelonephritis      14,577     4.5    64     56.7  79.2   15.9    2.8    1.0      8.1    20.4 
. Chronic pyelonephritis, reflux neph.      1,805     0.6    52     38.0  84.2    9.9    3.5    1.1     13.5    13.1 
. Analgesic abuse                             416     0.1    65     35.3  77.4   18.0    2.4    0.7      2.4    17.5 
. Nephropathy caused by other agents        1,865     0.6    66     70.6  77.3   18.8    2.1    0.8      6.0    26.0 
. Nephrolithiasis, Obstruction, Gouty       4,078     1.3    67     72.7  78.6   16.3    3.0    0.8      7.0    23.2 
. Nephrocalcinosis                            121     0.0    67     51.2  77.7   14.0    4.1    0.8      4.1    23.1 
. Chronic interstitial nephritis            5,946     1.8    64     49.0  78.6   16.5    2.7    1.2      8.6    18.4 
. Acute interstitial nephritis                346     0.1    67     49.4  81.5   15.3    2.0    0.3      2.9    32.1 
Hypertensive/large vessel disease          93,651    29.0    69     57.2  58.2   37.5    2.6    0.8      2.1    24.2 
. Hypertension, (no primary ren. dis.)     86,403    26.7    68     56.9  55.4   40.2    2.7    0.8      2.2    23.2 
. Renal artery stenosis or occlusion        5,894     1.8    72     59.4  92.0    5.9    1.2    0.6      0.7    36.0 
. Cholesterol emboli, renal emboli          1,354     0.4    72     66.3  94.0    3.6    1.3    0.6      0.1    36.0 
Cystic/Heriditary/Congenital Diseases      11,618     3.6    51     55.9  82.2   13.3    2.3    0.8     19.6     6.5 
. Polycystic kidneys, adult (dominant)      8,724     2.7    54     52.3  83.2   12.6    2.4    0.7     16.6     6.5 
. Polycystic, infantile (recessive)            65     0.0    22     50.8  75.4   21.5    3.1    0.0      9.2    13.8 
. Medullary cystic, inc nephronophthisis       90     0.0    25     58.9  83.3   13.3    1.1    1.1     25.6     4.4 
. Alports, other hereditary/familial dis      720     0.2    31     72.1  84.4   10.6    1.8    1.4     29.2     2.6 
. Tuberous sclerosis                          139     0.0    62     43.9  80.6   15.1    2.2    1.4      5.8    23.7 
. Cystinosis                                   57     0.0    14     59.6  91.2    7.0    0.0    1.8     45.6     3.5 
. Primary oxalosis                             92     0.0    56     55.4  91.3    6.5    1.1    0.0     17.4    12.0 
. Fabrys disease                               79     0.0    42     92.4  88.6    7.6    0.0    2.5     21.5     5.1 
. Congenital nephrotic syndrome                84     0.0    21     44.0  63.1   25.0    9.5    1.2     16.7     7.1 
. Drash syndrome, mesangial sclerosis          11     0.0    44     54.5  54.5   36.4    0.0    9.1      9.1     0.0 
. Congenital obstructive uropathy             769     0.2    26     75.2  75.0   17.3    2.9    0.9     28.7     8.8 
. Renal hypoplasia, dysplasia                 734     0.2    15     58.9  75.7   18.7    1.5    1.5     36.2     4.5 
. Prune belly syndrome                         54     0.0    12    100.0  75.9   20.4    1.9    0.0     38.9     1.9 
Neoplasms/Tumors                            5,428     1.7    68     61.8  79.0   18.0    1.5    0.9      0.8    43.6 
. Renal or Urological Neoplasms             1,457     0.5    68     70.7  80.6   16.5    1.2    1.0      1.2    36.3 
. Multiple myeloma                          2,809     0.9    69     59.7  76.5   20.4    1.6    0.9      0.2    49.6 
. Light chain nephropathy                     158     0.0    71     59.5  75.9   18.4    3.2    0.6      1.3    39.2 
. Amyloidosis                               1,004     0.3    66     55.4  83.8   13.4    1.5    0.8      1.8    37.9 
Miscellaneous Conditions                    8,765     2.7    50     66.5  52.2   44.3    1.0    0.8      2.6    35.4 
. Complication post bone marr/other txp       111     0.0    53     61.3  84.7   11.7    0.9    1.8     10.8    18.0 
. Sickle cell disease/anemia or trait         345     0.1    39     52.2   5.2   92.2    0.0    1.4      1.7    16.5 
. AIDS nephropathy                          3,264     1.0    38     76.9   9.3   87.7    0.2    0.5      0.1    43.2 
. Traumatic/surgical loss of kidney(s)        175     0.1    64     69.1  82.3   12.6    1.7    1.1      2.9    19.4 
