table with row headers in column A and column headers in rows 3 through 5 (leading dots indicate sub-parts),,,,,,,,,,,,,,,,
"Table 10. Population Change by Core Based Statistical Area (CBSA) Status for the United States, Regions, and Divisions: 1990 to 2000, and 2000 to 2005",,,,,,,,,,,,,,,,
Geographic area,"Change, April 1, 2000 estimates base to July 1, 2005",,,,,,,,"Change, April 1, 1990 to April 1, 2000 estimates base",,,,,,,
,Total,,Metropolitan,,Micropolitan,,Outside CBSAs,,Total,,Metropolitan,,Micropolitan,,Outside CBSAs,
,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent,Number,Percent
,,,,,,,,,,,,,,,,
United States,"14,985,802",5.3,"13,899,237",6.0,"875,529",3.0,"211,036",1.1,"32,714,729",13.2,"28,641,903",14.0,"2,701,413",10.1,"1,371,413",7.6
,,,,,,,,,,,,,,,,
Northeast Region,"1,047,111",2.0,"946,588",2.0,"78,178",2.0,"22,345",1.6,"2,785,555",5.5,"2,590,058",5.7,"136,917",3.7,"58,580",4.3
.New England Division,"317,162",2.3,"250,702",2.1,"49,098",4.4,"17,362",2.8,"715,619",5.4,"623,752",5.4,"64,214",6.1,"27,653",4.8
.Middle Atlantic Division,"729,949",1.8,"695,886",1.9,"29,080",1.1,"4,983",0.6,"2,069,936",5.5,"1,966,306",5.8,"72,703",2.8,"30,927",4.0
Midwest Region,"1,576,780",2.4,"1,504,827",3.1,"88,317",1.0,"-16,364",-0.2,"4,726,562",7.9,"3,944,814",8.8,"510,484",6.0,"271,264",4.3
.East North Central Division,"1,000,943",2.2,"910,402",2.5,"55,045",1.0,"35,496",1.2,"3,146,562",7.5,"2,613,379",7.7,"313,712",5.9,"219,471",7.8
.West North Central Division,"575,837",3.0,"594,425",4.8,"33,272",1.0,"-51,860",-1.5,"1,580,000",8.9,"1,331,435",12.1,"196,772",6.2,"51,793",1.5
South Region,"7,269,567",7.3,"6,693,445",8.5,"433,964",3.5,"142,158",1.6,"14,789,916",17.3,"12,720,342",19.2,"1,326,562",12.1,"743,012",8.9
.South Atlantic Division,"4,412,027",8.5,"4,020,024",9.3,"286,635",5.6,"105,368",3.0,"8,200,639",18.8,"7,165,557",19.9,"689,287",15.6,"345,795",11.1
.East South Central Division,"591,706",3.5,"485,967",4.5,"90,195",2.6,"15,544",0.6,"1,847,270",12.2,"1,287,306",13.6,"361,477",11.4,"198,487",7.7
.West South Central Division,"2,265,834",7.2,"2,187,454",8.8,"57,134",1.6,"21,246",0.7,"4,742,007",17.8,"4,267,479",20.6,"275,798",8.2,"198,730",7.5
West Region,"5,092,344",8.1,"4,754,377",8.4,"275,070",6.2,"62,897",2.8,"10,412,696",19.7,"9,386,689",19.9,"727,450",19.5,"298,557",15.3
.Mountain Division,"2,118,224",11.7,"1,936,902",13.5,"146,271",6.3,"35,051",2.4,"4,514,305",33.1,"3,860,566",36.7,"449,400",24.1,"204,339",16.0
.Pacific Division,"2,974,120",6.6,"2,817,475",6.7,"128,799",6.0,"27,846",3.6,"5,898,391",15.1,"5,526,123",15.1,"278,050",15.0,"94,218",14.0
"Note:  The April 1, 2000 population estimates base reflects changes to the Census 2000 population from the Count Question Resolution program and geographic program revisions.  Core based statistical areas (CBSAs) are defined by the Office of Management and Budget as of December 2005.",,,,,,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,,,,,
"Table 10. Population Change by Core Based Statistical Area (CBSA) Status for the United States, Regions, and Divisions: 1990 to 2000, and 2000 to 2005 (CBSA-EST2005-10)",,,,,,,,,,,,,,,,
"Source: Population Division, U.S. Census Bureau",,,,,,,,,,,,,,,,
"Release Date: August 21, 2006",,,,,,,,,,,,,,,,
