 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"ACENTA DISCOVERY, INC.","1R41CA102841-01A1","6783094","Toretsky, Jeffrey A","Akt Inhibitors to Treat Ewing's Sarcoma","","","$ 298,310","TUCSON","ARIZONA","85747","","","","  "
"ACENTA DISCOVERY, INC.","1R41NS047013-01A1","6785736","Yakovlev, Alexander G","Caspase Inhibitor for Neuroprotection","","","$ 185,515","TUCSON","ARIZONA","85747","","","","  "
"ACENTA DISCOVERY, INC.","5R41MH070083-02","6805845","Johnson, Kenneth M","NET - Selective Ligands for the Treatment of Depression","","","$ 153,136","TUCSON","ARIZONA","85747","","","","  "
"AMSEN TECHNOLOGIES, LLC","1R43ES013614-01","6882832","Hu, Hongxing ","Low-temperature Electrocatalytic Oxidation of VOCs","","","$ 100,000","TUCSON","ARIZONA","85710","","","","  "
"ARETE ASSOCIATES","1R44CA110218-01","6831241","Fetzer, Gregory J","Enhanced digital imaging for improved vascular access","","","$ 95,929","TUCSON","ARIZONA","85711","","","","  "
"ARETE ASSOCIATES","5R44HL068305-03","6795087","Fetzer, Gregory J","A Laser-Based Exhaled Breath Nitric Oxide Analyzer","","","$ 312,445","TUCSON","ARIZONA","85711","","","","  "
"ARIZONA STATE UNIVERSITY","1F32DC006538-01A1","6791610","Gifford, Rene H","Cochlear Implants: Electric and Acoustic Stimulation","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 41,068","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1K25HL074968-01","6704884","Panitch, Alyssa ","A Peptide Approach to Improve Vein Graft Efficacy","BIOMEDICAL ENGINEERING","BIOMED ENGR/COL ENGR/ENGR STA","$ 131,287","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R01AG020705-01A2","6723277","Gratton, Brian ","Immigrant Elders: Living Arrangements, 1850-2000","MISCELLANEOUS","SCHOOLS OF ARTS AND SCIENCES","$ 210,016","TEMPE","ARIZONA","85287-3503","","","","  "
"ARIZONA STATE UNIVERSITY","1R01DC006859-01","6806863","Liss, Julie M","Perception of Dysarthric Speech","OTHER HEALTH PROFESSIONS","SCHOOLS OF ARTS AND SCIENCES","$ 305,064","TEMPE","ARIZONA","85287-3503","","","","  "
