"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B07401",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",,,,
"B07401",.,"Universe:  Population 1 year and over in the United States",,,,
"B07401",1.0000,"Total living in area 1 year ago:","347,962","+/-5,921","342,041","353,883"
"B07401",2.0000,"1 to 4 years","18,856","+/-1,111","17,745","19,967"
"B07401",3.0000,"5 to 17 years","65,043","+/-2,607","62,436","67,650"
"B07401",4.0000,"18 and 19 years","10,536","+/-1,328","9,208","11,864"
"B07401",5.0000,"20 to 24 years","23,150","+/-1,720","21,430","24,870"
"B07401",6.0000,"25 to 29 years","25,652","+/-1,329","24,323","26,981"
"B07401",7.0000,"30 to 34 years","24,449","+/-1,217","23,232","25,666"
"B07401",8.0000,"35 to 39 years","24,350","+/-1,903","22,447","26,253"
"B07401",9.0000,"40 to 44 years","24,265","+/-1,868","22,397","26,133"
"B07401",10.0000,"45 to 49 years","26,392","+/-1,490","24,902","27,882"
"B07401",11.0000,"50 to 54 years","24,239","+/-1,022","23,217","25,261"
"B07401",12.0000,"55 to 59 years","19,504","+/-1,464","18,040","20,968"
"B07401",13.0000,"60 to 64 years","17,855","+/-1,707","16,148","19,562"
"B07401",14.0000,"65 to 69 years","12,534","+/-1,341","11,193","13,875"
"B07401",15.0000,"70 to 74 years","9,334","+/-1,143","8,191","10,477"
"B07401",16.0000,"75 years and over","21,803","+/-750","21,053","22,553"
"B07401",17.0000,"Same house:","298,505","+/-5,185","293,320","303,690"
"B07401",18.0000,"1 to 4 years","15,436","+/-1,267","14,169","16,703"
"B07401",19.0000,"5 to 17 years","57,090","+/-1,924","55,166","59,014"
"B07401",20.0000,"18 and 19 years","7,651","+/-1,197","6,454","8,848"
"B07401",21.0000,"20 to 24 years","17,999","+/-1,493","16,506","19,492"
"B07401",22.0000,"25 to 29 years","18,595","+/-1,334","17,261","19,929"
"B07401",23.0000,"30 to 34 years","19,799","+/-1,419","18,380","21,218"
