"                   ","        YTD         "," ","        YTD         "," ","        YTD         "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," ","       Total        "," ","      December      "," ","      November      "," ","      October       "," ","     September      "," ","       August       "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," ","       Total        "," ","      December      "," ","      November      "," ","      October       "," ","     September      "," ","       August       "," ","        July        "," ","        June        "," ","        May         "," ","       April        "," ","       March        "," ","      February      "," ","      January       "," "
"State                   ","        2008        "," ","        2007        "," ","        2006        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2008        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2007        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," ","        2006        "," "
"Alabama                                 ","16480","  ","15780","  ","15714","  ","1176","  ","1198","  ","1473","  ","2031","  ","3090","  ","3878","  ","3634","  ","23522","  ","2512","  ","1771","  ","1305","  ","1088","  ","1065","  ","1134","  ","1194","  ","1490","  ","1852","  ","2912","  ","3937","  ","3261","  ","24370","  ","3035","  ","2007","  ","1350","  ","1132","  ","1131","  ","1233","  ","1295","  ","1327","  ","1947","  ","2876","  ","3279","  ","3757","  ",
"Alaska                                  ","10976","  ","11210","  ","10595","  ","676","  ","876","  ","1070","  ","1508","  ","1927","  ","2296","  ","2622","  ","18430","  ","2282","  ","1891","  ","1391","  ","921","  ","735","  ","703","  ","780","  ","1115","  ","1484","  ","2548","  ","2259","  ","2321","  ","18544","  ","2353","  ","2580","  ","1263","  ","924","  ","828","  ","616","  ","748","  ","1003","  ","1504","  ","2155","  ","2022","  ","2547","  ",
"Arizona                                 ","0","NA","20947","  ","20365","  ","1815","  ","2083","  ","2396","  ","2479","  ","3533","  ","4167","  ","0","NA","32894","  ","3689","  ","2557","  ","2122","  ","1818","  ","1762","  ","1837","  ","2023","  ","2301","  ","2576","  ","3398","  ","4103","  ","4708","  ","32792","  ","3978","  ","2686","  ","2130","  ","1860","  ","1773","  ","1844","  ","2021","  ","2245","  ","2928","  ","3597","  ","3764","  ","3966","  ",
"Arkansas                                ","23440","  ","21069","  ","19768","  ","1859","  ","1948","  ","2357","  ","3085","  ","3981","  ","5122","  ","5087","  ","32186","  ","3735","  ","2545","  ","1779","  ","1590","  ","1470","  ","1476","  ","1623","  ","1910","  ","2409","  ","3613","  ","5363","  ","4675","  ","31286","  ","3731","  ","2646","  ","2010","  ","1549","  ","1583","  ","1441","  ","1583","  ","1719","  ","2463","  ","3902","  ","4253","  ","4408","  ",
"California                              ","0","NA","150582","  ","145536","  ","15839","  ","0","NA","20867","  ","20703","  ","24539","  ","29229","  ","28235","  ","251090","  ","27530","  ","19715","  ","18673","  ","17315","  ","17276","  ","16280","  ","17720","  ","19244","  ","19136","  ","21119","  ","27402","  ","29681","  ","244432","  ","25383","  ","20041","  ","18536","  ","16993","  ","17944","  ","15204","  ","16958","  ","18659","  ","21985","  ","24062","  ","23938","  ","24730","  ",
"Colorado                                ","40401","  ","39699","  ","36181","  ","1994","  ","2197","  ","3481","  ","5275","  ","7704","  ","8907","  ","10843","  ","64071","  ","10799","  ","6096","  ","3611","  ","2089","  ","1777","  ","1778","  ","2032","  ","2973","  ","5098","  ","6372","  ","9106","  ","12341","  ","59851","  ","8414","  ","6672","  ","4056","  ","2647","  ","1882","  ","1809","  ","2015","  ","2952","  ","4568","  ","7887","  ","8788","  ","8162","  ",
"Connecticut                             ","24583","  ","23673","  ","21703","  ","1568","  ","1551","  ","2250","  ","3357","  ","5010","  ","5408","  ","5439","  ","35965","  ","5011","  ","2960","  ","1623","  ","1381","  ","1317","  ","1360","  ","1402","  ","2061","  ","3636","  ","5125","  ","5624","  ","4466","  ","32660","  ","3585","  ","2608","  ","2017","  ","1388","  ","1360","  ","1402","  ","1463","  ","1970","  ","2874","  ","4590","  ","4598","  ","4805","  ",
"Delaware                                ","5946","  ","5986","  ","5041","  ","391","  ","478","  ","542","  ","699","  ","1102","  ","1326","  ","1408","  ","9402","  ","1280","  ","912","  ","487","  ","366","  ","371","  ","350","  ","437","  ","459","  ","780","  ","1168","  ","1541","  ","1250","  ","8134","  ","1077","  ","789","  ","577","  ","327","  ","323","  ","321","  ","358","  ","410","  ","574","  ","964","  ","1248","  ","1166","  ",
"District of Columbia                    ","11213","  ","11778","  ","10403","  ","857","  ","936","  ","1058","  ","1432","  ","1968","  ","2394","  ","2568","  ","18948","  ","2543","  ","1812","  ","1033","  ","920","  ","862","  ","853","  ","861","  ","1003","  ","1634","  ","2068","  ","2788","  ","2571","  ","17107","  ","2098","  ","1609","  ","1232","  ","928","  ","837","  ","889","  ","812","  ","933","  ","1195","  ","1983","  ","2250","  ","2341","  ",
"Florida                                 ","31412","  ","31793","  ","31094","  ","3715","  ","3731","  ","4186","  ","4619","  ","4932","  ","5047","  ","5182","  ","51241","  ","4653","  ","4007","  ","3669","  ","3560","  ","3559","  ","3762","  ","3948","  ","4238","  ","4794","  ","5073","  ","4990","  ","4988","  ","50625","  ","4723","  ","4008","  ","3633","  ","3612","  ","3555","  ","3836","  ","3810","  ","4037","  ","4421","  ","4803","  ","4990","  ","5197","  ",
"Georgia                                 ","31837","  ","31393","  ","28565","  ","1969","  ","1957","  ","2365","  ","3463","  ","5544","  ","7059","  ","9480","  ","49417","  ","6400","  ","5188","  ","2550","  ","1978","  ","1908","  ","2050","  ","2122","  ","2379","  ","3857","  ","4499","  ","8062","  ","8424","  ","48137","  ","6855","  ","5418","  ","3305","  ","2050","  ","1943","  ","1995","  ","2056","  ","2293","  ","2639","  ","5145","  ","7433","  ","7005","  ",
