 
"Organization Name - Effective 29-JUN-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"AVEDRO, INC.","5R44EY015085-03","6948453","Muller, David ","Commercialization of microwave thermokeratoplasty","","","","$ 379,031","HANOVER","NEW HAMPSHIRE","03755","","","","None","N","","  "
"CREARE, INC.","5R44DC005112-03","7174641","Klineschoder, Robert J","Narrow-Band Active Noise Reduction for DPOAE Measurement","","","","$ 305,873","HANOVER","NEW HAMPSHIRE","03755","","","","None","N","","  "
"CREARE, INC.","5R44DK061279-04","7289885","Kynor, David B","Morphological Lesion Detection in CT Colonography","","","","$ 270,291","HANOVER","NEW HAMPSHIRE","03755","","","","None","N","","  "
"CREARE, INC.","5R44HL079678-03","7221234","Rozzi, Jay C","A Novel Liquid Oxygen Recharger for Home Oxygen Therapy","","","","$ 508,233","HANOVER","NEW HAMPSHIRE","03755","","","","None","N","","  "
"CRECARE, LLC","1R41AG027620-01A1","7160615","Jette, Alan Maurice","Innovative Methods for Function and Disability Assessment","","","","$ 100,000","GILFORD","NEW HAMPSHIRE","03249","","","","None","N","","  "
"DARTMOUTH COLLEGE","1F31NS056720-01A1","7221645","Cross, Emily S","Mapping the Junction of Action Perception and Production","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 40,972","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1F32AR054653-01","7220165","Cochran, Jared C","Structural Analysis of the Actomyosin System by X-ray Crystallography","CHEMISTRY","CHEMISTRY","SCHOOLS OF ARTS AND SCIENCES","$ 46,826","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1K22MH071756-01","6817654","Kralik, Jerald D","Neurophysiology of Inhibitory Control in Decision-Making","PSYCHOLOGICAL & BRAIN SCIS","PSYCHOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 164,337","HANOVER","NEW HAMPSHIRE","03755","","","","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1K23AG028947-01A1","7337443","Bynum, Julie Pw","Improving the Quality of Health Systems for the Very Old","MEDICINE","INTERNAL MEDICINE/MEDICINE","SCHOOLS OF MEDICINE","$ 186,786","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
"DARTMOUTH COLLEGE","1P60MH082598-01","7413825","Norris, Fran H","National Center for Disaster Mental Health Research","PSYCHIATRY","PSYCHIATRY","SCHOOLS OF MEDICINE","$ 378,266","HANOVER","NEW HAMPSHIRE","03755","Y","DARTMOUTH MEDICAL SCHOOL","HANOVER, NEW HAMPSHIRE 03755","Domestic Higher Education","N","","  "
