CRUISE	SHIP	JUL_DAY	GREG_DAY	PRIN_IN	RECOR_BY	INST	TIME_ZULU	STATION	GROUP	DEG_LAT	MIN_LAT	LAT_HEMI	DEG_LONG	MIN_LONG	LONG_HEMI	SAMP_TYPE	DEPTH_ALT	DEP_OR_ALT	SAMP_NUMB	COMMENTS
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	201	930980201		29	1.31	N	89	31.58	W	B09		D	ZM 014	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	231	930980231		29	0.00	N	89	30.07	W	B09		D	PE93V09	OPTICAL PARTICLE COUNTER TAPE 9
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	400	930980400		28	55.21	N	89	30.15	W	B09		D	ZM 015	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	431	930980431		28	52.23	N	89	30.33	W	B09		D	PE93V10	OPTICAL PARTICLE COUNTER TAPE 10
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	500	930980500		28	50.45	N	89	30.18	W	B09		D	ZM 016	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	600	930980600		28	45.93	N	89	29.91	W	B09		D	ZM 017	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	658	930980658		28	41.87	N	89	30.77	W	B09		D	PE93V11	OOPTICAL PARTICLE COUNTER TAPE 11
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	704	930980704		28	41.90	N	89	31.10	W	B09		D	ZM 018	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	807	930980807		28	44.32	N	89	34.96	W	B09		D	ZM 019	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	900	930980900		28	48.90	N	89	35.25	W	B09		D	ZM 020	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	902	930980902		28	49.55	N	89	35.52	W	B09		D	PE93V12	OPTICAL PARTICLE COUNTER TAPE 12
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	1002	930981002		28	54.50	N	89	35.78	W	B09		D	ZM 021	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	1104	930981104		28	59.56	N	89	35.15	W	B09		D	ZM 022	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	98	4/8/93	PETER ORTNER	PETER ORTNER (RDC)	AOML	1127	930981127		29	0.90	N	89	35.00	W	B09		D	ZM 023	ZOOPLANKTON SAMPLE
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1356	930931356		28	51.08	N	91	16.05	W	"H10,H22,H24,H25,H26,B02"	"8,4,0"	D	1	"CTD #1, NUTS, CHL, DO"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1533	930931533		28	55.28	N	91	20.84	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1601	930931601		28	57.09	N	91	22.16	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1630	930931630		28	54.23	N	91	23.65	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1700	930931700		28	9.03	N	91	25.06	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1730	930931730		28	3.13	N	91	26.31	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1800	930931800		28	5.71	N	91	28.31	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1830	930931830		29	8.79	N	91	30.67	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1900	930931900		29	10.97	N	91	23.02	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	1930	930931930		29	11.06	N	91	35.26	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	2000	930932000		29	10.97	N	91	38.41	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	2030	930932030		29	10.88	N	91	41.70	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	2100	930932100		29	10.79	N	91	45.19	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	2130	930932130		29	10.69	N	91	48.30	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	2200	930932200		29	10.82	N	91	51.59	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	2230	930932230		29	10.96	N	91	54.88	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	2300	930932300		29	10.94	N	91	57.34	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	2325	930932325		29	11.00	N	92	0.01	W	"H22,H24,H25,H26,B02"		D		"MIDAS NUTS, CHL"
PE930403	R V PELICAN	93	4/3/93	MIKE DAGG	RORY TOON	LUMCON	2333	930932333		29	11.00	N	92	0.00	W	"H22,H24,H25,H26,B02,H10"	"7,4,0"	D	2	"CTD 2, NUTS, CHL, DO"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	0	930940000		29	10.22	N	92	0.82	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	30	930940030		29	8.07	N	92	0.54	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	100	930940100		29	5.61	N	92	0.18	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	130	930940130		29	3.25	N	91	59.99	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	140	930940140		29	3.04	N	91	59.93	W	"H22,H24,H25,H26,B02,H10"	"16,10,5,0"	D	3	"CTD 3, NUTS, CHL, DO"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	300	930940300		29	2.35	N	91	57.72	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	330	930940330		29	2.08	N	91	56.27	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	400	930940400		29	1.19	N	91	53.71	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	430	930940430		29	0.05	N	91	50.87	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	500	930940500		28	59.11	N	91	48.19	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	530	930940530		28	57.90	N	91	45.25	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	600	930940600		28	56.76	N	91	42.45	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	630	930940630		28	55.61	N	91	39.50	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	700	930940700		28	54.38	N	91	36.44	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	730	930940730		28	53.45	N	91	33.81	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	800	930940800		28	52.34	N	91	30.61	W	"H22,H24,H25,H26,B02"		D		"NUTS, CHL FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	811	930940811		28	51.89	N	91	29.93	W	"H22,H24,H25,H26,B02,H10"	"17,10,5,0"	D	4	"CTD 4, CHL, NUTS, DO"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	836	930940836		28	51.66	N	91	28.90	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	900	930940900		28	50.81	N	91	26.39	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	930	930940930		28	49.95	N	91	23.88	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1000	930941000		28	48.23	N	91	21.69	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1030	930941030		28	47.09	N	91	19.31	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1100	930941100		28	46.33	N	91	17.33	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1130	930941130		28	45.85	N	91	15.20	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1200	930941200		28	45.56	N	91	13.30	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1230	930941230		28	46.26	N	91	11.10	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1300	930941300		28	44.60	N	91	9.04	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1330	930941330		28	43.86	N	91	6.93	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1400	930941400		28	42.96	N	91	4.51	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1430	930941430		28	42.15	N	91	2.53	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1500	930941500		28	41.30	N	91	0.09	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	94	4/4/93	MIKE DAGG	RORY TOON	LUMCON	1515	930941515		28	40.95	N	91	0.03	W	"H22,H24,H25,H26,B02,H10"	"12,8,4,0"	D	5	"CTD 5, NUTS, CHL, DO"
PE930403	R V PELICAN	95	4/5/93	MIKE DAGG	RORY TOON	LUMCON	826	930950826		28	46.83	N	90	5.10	W	"H22,H24,H25,H26,B02,H10"	"32,15,5,0"	D	6	"CTD 6, NUTS, CHL, DO"
PE930403	R V PELICAN	95	4/5/93	MIKE DAGG	RORY TOON	LUMCON	1335	930951335		28	46.83	N	90	5.15	W	"H22,H24,H25,H26,B02,H10"	"35,30,25,20,15,10,5,0"	D	7	"CTD 7, NUTS, CHL, DO"
PE930403	R V PELICAN	95	4/5/93	MIKE DAGG	RORY TOON	LUMCON	1609	930951609		28	46.78	N	90	5.16	W	"B08,B04"	"7,0"	D	8	"CTD 8, MICRO GRAZING"
PE930403	R V PELICAN	95	4/5/93	MIKE DAGG	RORY TOON	LUMCON	1738	930951738		28	46.68	N	90	5.53	W	"H22,H24,H25,H26,B02,H10"	"35,30,25,20,15,10,5,0"	D	9	"CTD 9, CHL, NUTS, DO"
PE930403	R V PELICAN	95	4/5/93	MIKE DAGG	RORY TOON	LUMCON	2316	930952316		28	44.85	N	90	5.84	W	"H22,H24,H25,H26,B02,H10"	"35,30,25,20,15,10,5,0"	D	10	"CTD 10, CHL, NUTS, DO"
PE930403	R V PELICAN	95	4/5/93	MIKE DAGG	AMY GORMAN	LUMCON	1645	930951645		28	0.00	N	90	0.00	W	B09	35	D		NET TOW
PE930403	R V PELICAN	96	4/6/93	MIKE DAGG	RORY TOON	LUMCON	315	930960315		28	43.88	N	90	8.12	W	B09		D		NET TOW
PE930403	R V PELICAN	96	4/6/93	MIKE DAGG	RORY TOON	LUMCON	330	930960330		28	43.88	N	90	8.12	W	B09		D		NET TOW
PE930403	R V PELICAN	96	4/6/93	MIKE DAGG	RORY TOON	LUMCON	455	930960455		28	43.84	N	90	8.97	W	"H22,H24,H25,H26,B02,H10"	"35,30,25,20,15,10,5,0"	D	11	"CTD 11, CHL, NUTS"
PE930403	R V PELICAN	96	4/6/93	MIKE DAGG	RORY TOON	LUMCON	922	930960922		28	44.32	N	90	11.80	W	"H22,H24,H25,H26,B02,H10"	"22,15,7,0"	D	12	"CTD 12, CHL, NUTS"
PE930403	R V PELICAN	96	4/6/93	MIKE DAGG	RORY TOON	LUMCON	1315	930961315		28	45.55	N	90	13.45	W	"H22,H24,H25,H26,B02,H10"	"29,25,20,15,10,5,0"	D	13	"CTD 13, CHL, NUTS"
PE930403	R V PELICAN	96	4/6/93	MIKE DAGG	RORY TOON	LUMCON	1715	930961715		28	45.93	N	90	14.40	W	"H22,H24,H25,H26,B02,H10"	"28,25,20,15,10,5,0"	D	14	"CTD 14, CHL, NUTS"
PE930403	R V PELICAN	96	4/6/93	MIKE DAGG	RORY TOON	LUMCON	1828	930961828		28	46.40	N	90	14.29	W	B09		D		NET TOW
PE930403	R V PELICAN	96	4/6/93	MIKE DAGG	RORY TOON	LUMCON	2304	930962304		28	46.43	N	90	14.43	W	"H22,H24,H25,H26,B02,H10"	"26,20,15,10,5,0"	D	15	"CTD 15, CHL, NUTS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	359	930970359		28	46.29	N	90	17.67	W	"H22,H24,H25,H26,B02,H10"	"22,15,10,5,0"	D	16	"CTD 16, CHL, NUTS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	910	930970910		28	46.98	N	90	18.78	W	"H22,H24,H25,H26,H10"	"20,15,10,5,0"	D	17	"CTD 17, CHL, NUTS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	1502	930971502		28	37.10	N	89	48.99	W	"H22,H24,H25,H26,B02,H10"	"150,100,75,50,30,20,10,0"	D	18	"CTD 18, CHL, NUTS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	1633	930971633		28	41.54	N	89	49.22	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	1700	930971700		28	44.07	N	89	49.16	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	1730	930971730		28	46.94	N	89	49.09	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	1800	930971800		28	49.81	N	89	49.01	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	1830	930971830		28	51.59	N	89	49.09	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	1900	930971900		28	53.45	N	89	49.24	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	1925	930971925		28	55.83	N	89	49.49	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	2000	930972000		28	58.12	N	89	49.80	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	2030	930972030		29	0.74	N	89	49.73	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	2100	930972100		29	2.98	N	89	49.62	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	2130	930972130		29	5.29	N	89	49.59	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	2200	930972200		29	8.06	N	89	49.13	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	2222	930972222		29	9.02	N	89	30.00	W	"H22,H24,H25,H26,H10"	"18,15,10,5,0"	D	19	"CTD 19, CHL, NUTS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	2300	930972300		29	8.29	N	89	47.85	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	97	4/7/93	MIKE DAGG	AMY GORMAN	LUMCON	2330	930972330		29	7.21	N	89	45.66	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
PE930403	R V PELICAN	98	4/8/93	MIKE DAGG	AMY GORMAN	LUMCON	0	930980000		29	6.12	N	89	43.46	W	"H22,H24,H25,H26,B02"		D		"CHL, NUTS FROM MIDAS"
