(CO-99-13) Population Estimates for Counties by Age Group:  July 1, 1993
  
Source:  Population Estimates Program, Population Division, U.S. Census Bureau, Washington, DC  20233
Contact:  Statistical Information Staff, Population Division, U.S. Census Bureau (301-457-2422)
          pop@census.gov (please include a phone number with email correspondence)
  
Internet Release Date:  August 30, 2000

                                        Total      Ages     Ages     Ages     Ages     Ages     Ages     Ages     Ages     Ages
Area Name                          Population       0-4     5-17    18-24    25-44    45-64      16+      21+      65+      85+
                                                                                                                               
    WISCONSIN                         5055318    353837   979486   493627  1591340   962194  3864836  3516092   674834    81703
Adams County                            16663       850     2624      992     4714     4185    13584    12798     3298      253
Ashland County                          16572      1147     3365     1653     4644     2961    12509    11286     2802      392
Barron County                           42054      2820     8885     3174    12153     8090    31617    28938     6932      964
Bayfield County                         14526       906     2973      832     4225     3173    11046    10295     2417      233
Brown County                           204417     14992    40404    21220    68995    36586   154896   140276    22220     2547
Buffalo County                          13753       929     2791      964     4025     2812    10454     9649     2232      333
Burnett County                          13595       788     2591      785     3563     3161    10621     9875     2707      280
Calumet County                          35935      2796     8197     2779    11713     6522    26106    23798     3928      455
Chippewa County                         53632      3734    11397     4076    16363    10256    40202    36760     7806      984
Clark County                            32249      2333     7412     2242     8669     6108    23542    21522     5485      703
Columbia County                         47561      3113     9427     3526    14506     9752    36457    33540     7237      944
Crawford County                         16219      1118     3559     1115     4451     3248    12115    11066     2728      357
Dane County                            395947     26475    63813    57824   144076    66447   314679   281894    37312     4623
Dodge County                            78816      5339    15720     6227    24840    15323    60035    55242    11367     1550
Door County                             26200      1643     5067     1561     7893     5230    20210    18844     4806      602
Douglas County                          42906      2753     8363     3836    12973     8338    33060    30099     6643      869
Dunn County                             37212      2339     7009     6992    10362     6100    28885    24727     4410      602
Eau Claire County                       87256      5881    15878    14097    25675    14754    67813    58806    10971     1345
Florence County                          5089       313     1050      302     1466     1119     3910     3614      839       98
Fond du Lac County                      92194      6098    18995     8395    27887    17714    69911    63471    13105     1794
Forest County                            9245       677     1890      767     2346     1933     7060     6321     1632      168
Grant County                            49399      3211    10046     6467    13247     9101    37595    33089     7327      973
Green County                            31550      2111     6473     2284     9798     6107    23930    22014     4777      656
Green Lake County                       19074      1136     3815     1269     5342     3867    14680    13575     3645      483
Iowa County                             20993      1532     4468     1580     6612     3863    15634    14351     2938      371
Iron County                              6363       310     1064      370     1681     1443     5158     4826     1495      169
Jackson County                          16871      1117     3473     1241     4798     3412    12818    11711     2830      311
Jefferson County                        70095      4530    13634     7751    21299    13726    53998    47843     9155     1017
Juneau County                           22644      1523     4653     1514     6215     4793    17181    15808     3946      457
Kenosha County                         135833     10328    26321    13112    43173    26372   103093    93581    16527     1833
Kewaunee County                         19178      1272     4106     1536     5570     3658    14410    13178     3036      345
La Crosse County                       100170      6731    18125    14668    30569    17263    77865    68624    12814     1680
Lafayette County                        16093      1130     3545     1108     4588     3155    11895    10918     2567      275
Langlade County                         20010      1271     4073     1319     5451     4165    15294    14101     3731      422
Lincoln County                          28334      1753     5870     2112     8044     6069    21712    19832     4486      539
Manitowoc County                        81610      5369    16235     6479    24041    16238    62350    57312    13248     1647
Marathon County                        119479      8404    25202    10186    37476    22824    89575    81571    15387     1642
Marinette County                        41558      2665     8421     3010    11755     8432    31710    29134     7275      935
Marquette County                        13301       746     2485      812     3443     3086    10430     9758     2729      257
Menominee County                         4452       530     1350      411     1135      686     2747     2421      340       27
Milwaukee County                       951135     72911   173584    97451   306925   169506   729014   667247   130758    15747
Monroe County                           37991      2852     8272     2806    11219     7389    28064    25692     5453      633
Oconto County                           31262      2108     6430     2148     9096     6403    23682    21871     5077      544
Oneida County                           33924      2017     5987     2106     9644     8143    26793    25013     6027      607
Outagamie County                       145617     11240    30436    13500    48422    26586   108146    98592    15433     1862
Ozaukee County                          76954      5204    15212     5984    24535    17002    58791    53988     9017      901
Pepin County                             7067       476     1564      448     1981     1327     5237     4820     1271      201
Pierce County                           33817      2309     6829     5125    10340     5569    25682    22198     3645      458
Polk County                             36184      2499     7769     2296    10849     7063    27055    24936     5708      763
Portage County                          63309      4148    12224    10198    19227    10696    48702    42403     6816      774
Price County                            15724       973     3168     1000     4259     3211    12087    11184     3113      383
Racine County                          181128     13395    36647    15415    57897    35431   136366   125027    22343     2499
Richland County                         17750      1183     3628     1350     4923     3491    13444    12290     3175      428
Rock County                            144340     10556    28599    13178    44477    29303   109522    99785    18227     2193
Rusk County                             15170       999     3137     1170     4125     2938    11532    10503     2801      318
St. Croix County                        53120      4129    11787     4204    18009     9647    38859    35517     5344      826
Sauk County                             49552      3467    10012     3814    15088     9537    37536    34515     7634      983
Sawyer County                           14986       983     2988      857     4001     3356    11468    10655     2801      260
Shawano County                          37641      2477     7567     2759    10283     7744    28798    26476     6811      817
Sheboygan County                       106058      7142    21275     8665    33092    20385    80794    74165    15499     1903
Taylor County                           19212      1444     4366     1438     5555     3464    14031    12798     2945      356
Trempealeau County                      25693      1687     5055     1949     7359     5124    19768    18134     4519      648
Vernon County                           26560      1819     5459     1653     7441     5303    20099    18579     4885      654
Vilas County                            19004      1081     3119      962     4743     4760    15308    14409     4339      401
Walworth County                         78876      4936    14078    10219    23296    15305    61927    55508    11042     1442
Washburn County                         14464       891     2880      819     3964     3180    11111    10318     2730      298
Washington County                      104547      7406    22074     8798    34401    20834    78318    71516    11034     1255
Waukesha County                        324802     21438    65792    24950   107083    71088   247773   226906    34451     3874
Waupaca County                          48312      3204     9873     3530    14146     9318    36727    33709     8241     1256
Waushara County                         20274      1208     3796     1238     5464     4600    15828    14751     3968      441
Winnebago County                       146464      9654    25500    17036    46665    27912   114877   104130    19697     2474
Wood County                             75333      5288    15610     5973    23055    14507    56710    51989    10900     1369


The estimates presented here were produced by a method which is still in a developmental stage.  They
may not be accurate for populations which are very small or have unusual distributions.  These figures
should be used with caution.
