station name,"latitude, degree","latitude, minutes","longitude, degree","longitude, minutes","elevation, feet","observed gravity, mGal","free-air anomaly, mGal","simple bouguer anomaly, mGal",inner terrain correction,"total terrain correction, mGal",D=590 m for inner terrain correction,"complete bouguer anomaly, mGal","isostatic anomaly, mGal"
INDIO,33,42.87,116,13.11,-8.7,979522.76,-102.71,-102.41,0,1.65,D,-100.75,-42.69
ALT,33,34.16,116,12.78,-69,979553.71,-65.34,-62.98,0.16,4.55,D,-58.4,-5.69
PB1716,33,34.19,116,12.86,-60,979554.34,-63.9,-61.85,0.68,5.13,D,-56.7,-3.9
SGP563,33,35.27,116,14.54,-13.6,979550.1,-65.27,-64.81,0.02,4.89,D,-59.91,-5
SGP564,33,35.89,116,16.02,214,979539.92,-54.9,-62.2,0.05,5.7,D,-56.6,0.03
SGP565,33,35.89,116,15.48,115.8,979544.93,-59.13,-63.08,0.05,4.95,D,-58.18,-2.1
SGP566,33,35.89,116,14.93,21,979548.46,-64.52,-65.24,0.04,4.38,D,-60.86,-5.35
SGP567,33,35.9,116,13.94,-82,979550.83,-71.85,-69.06,0,3.51,D,-65.51,-10.97
SGP568,33,36.31,116,16.03,202.8,979541.02,-55.44,-62.36,0.05,5.03,D,-57.42,-0.65
SGP569,33,36.32,116,15.52,93.8,979547.4,-59.33,-62.53,0.04,4.47,D,-58.09,-1.84
SGP570,33,36.43,116,15.07,13,979549.64,-64.84,-65.29,0.03,3.96,D,-61.33,-5.49
SGP571,33,35.57,116,13.95,-66.9,979550.86,-69.94,-67.66,0.01,3.79,D,-63.84,-9.42
SGP572,33,36.37,116,13.94,-83.6,979549.19,-74.3,-71.44,0.02,3.18,D,-68.22,-13.49
SGP573,33,36.37,116,14.53,-38.3,979549.46,-69.76,-68.46,0.02,3.56,D,-64.87,-9.58
SGP574,33,36.75,116,14.49,-66.7,979549.83,-72.59,-70.32,0.01,3.32,D,-66.97,-11.57
SGP575,33,36.82,116,15.53,-10,979553.42,-63.77,-63.43,0.08,4.33,D,-59.08,-2.64
SGP576,33,37.17,116,15.73,-30.4,979555.08,-64.51,-63.48,0.81,5.04,D,-58.42,-1.68
SGP485,33,52.02,116,29.89,509.8,979496.23,-93.21,-110.59,0.02,3.22,D,-107.59,-32.84
SGP486,33,51.42,116,29.63,472.1,979499.29,-92.86,-108.96,0.01,3.24,D,-105.92,-31.78
SGP487,33,51.13,116,29.29,449,979501,-92.91,-108.23,0.03,3.21,D,-105.21,-31.5
SGP488,33,51.39,116,28.51,442.6,979499.73,-95.15,-110.24,0.02,3.04,D,-107.39,-33.99
SGP489,33,50.26,116,27.98,388.8,979504.87,-93.5,-106.76,0.02,2.93,D,-103.99,-31.73
SGP490,33,50.58,116,27.48,371.5,979504.33,-96.11,-108.78,0.01,2.89,D,-106.04,-33.88
SGP491,33,51.29,116,27.39,433.4,979500.28,-95.32,-110.11,0.01,3.05,D,-107.24,-34.61
SGP492,33,51.73,116,26.95,756.1,979480.96,-84.9,-110.69,0.46,3.33,D,-107.67,-35.01
SGP493,33,51.83,116,26.57,1091.3,979459.07,-75.4,-112.62,0.57,3.51,D,-109.56,-37.07
SGP494,33,52.1,116,25.83,1487.8,979434.12,-63.44,-114.18,0.15,3.26,D,-111.51,-39.26
SGP495,33,52.25,116,27.63,526.9,979497.45,-90.7,-108.67,0.36,3.59,D,-105.3,-31.76
SGP496,33,51.9,116,27.84,813.4,979477.95,-82.76,-110.5,0.54,3.25,D,-107.59,-34.26
SGP497,33,52.19,116,28.18,774.8,979481.27,-83.48,-109.9,0.06,2.65,D,-107.58,-33.82
SGP498,33,52.47,116,28.53,687.9,979486.72,-86.59,-110.05,0.02,2.63,D,-107.71,-33.47
SGP499,33,52.74,116,28.87,614.8,979491.18,-89.38,-110.35,0.03,2.78,D,-107.83,-33.15
SGP500,33,53.02,116,29.22,570.3,979493.78,-91.36,-110.81,0.02,2.96,D,-108.09,-32.96
SGP501,33,53.31,116,29.58,598.8,979491.92,-90.94,-111.36,0.02,2.98,D,-108.64,-33.05
SGP577,33,37.82,116,16.65,20.3,979551.77,-63.96,-64.65,0.43,5.18,D,-59.48,-1.65
SGP578,33,38.38,116,15.59,-11.9,979548.26,-71.27,-70.87,0.02,3.03,D,-67.83,-10.79
SGP579,33,38.1,116,15.01,-32.5,979545.93,-75.15,-74.04,0.01,2.8,D,-71.22,-14.82
SGP580,33,39.09,116,15,-12.6,979538.8,-81.78,-81.35,0.01,2.36,D,-78.98,-22.14
SGP581,33,39.38,116,16.67,12.1,979550.49,-68.17,-68.59,0.64,5.13,D,-63.46,-5.08
SGP582,33,38.96,116,16.43,-4.1,979551.95,-67.65,-67.51,0.28,4.16,D,-63.35,-5.34
SGP583,33,38.88,116,15.7,-24.5,979545.49,-75.92,-75.09,0.01,2.9,D,-72.17,-14.83
SGP584,33,39.81,116,16.02,13,979543.48,-75.7,-76.14,0.01,2.64,D,-73.5,-15.49
SGP585,33,40.4,116,16.67,20.1,979546.54,-72.79,-73.47,0,2.71,D,-70.77,-11.97
SGP586,33,39.47,116,17.73,167.6,979541.9,-62.26,-67.98,1.16,5.72,D,-62.33,-2.96
SGP587,33,38.93,116,18.55,295,979535.53,-55.9,-65.96,0.16,4.98,D,-61.1,-1.12
SGP588,33,40.85,116,17.61,38.1,979545.46,-72.8,-74.1,0.02,2.86,D,-71.25,-11.48
SGP589,33,41.17,116,17.63,41.5,979544.18,-74.21,-75.62,0,2.69,D,-72.95,-13.02
SGP590,33,41.9,116,17.11,59.6,979538.96,-78.74,-80.77,0.03,2.21,D,-78.59,-18.72
SGP591,33,41.94,116,16.52,46.1,979535.45,-83.57,-85.15,0.02,2.03,D,-83.13,-23.68
SGP592,33,42.47,116,17.77,75.6,979546.28,-70.71,-73.28,1.15,3.48,D,-69.83,-9.17
SGP593,33,42.41,116,17.19,70.6,979539.51,-77.86,-80.27,0.03,2.11,D,-78.19,-17.99
SGP594,33,42.61,116,18.99,114.1,979545.13,-68.43,-72.32,1.16,4.63,D,-67.74,-6.09
SGP595,33,42.99,116,18.98,112.2,979542.57,-71.7,-75.52,0.01,2.6,D,-72.96,-11.15
SGP596,33,42.92,116,19.49,119,979543.38,-70.15,-74.21,0.03,2.88,D,-71.38,-9.21
SGP597,33,43.77,116,19.73,156.4,979535.82,-75.37,-80.71,0.02,2.19,D,-78.58,-15.82
SGP598,33,44.25,116,19.72,205.7,979529.2,-78.02,-85.04,0.01,2.02,D,-83.1,-20.09
SGP599,33,44.22,116,19.15,197.5,979529.74,-78.21,-84.95,0.02,1.95,D,-83.08,-20.5
SGP600,33,43.86,116,19.15,179.1,979532.55,-76.63,-82.74,0.02,2.04,D,-80.78,-18.4
SGP601,33,44.56,116,18.66,154.3,979528.91,-83.58,-88.84,0.02,1.88,D,-87.02,-24.55
SGP602,33,44.11,116,18.68,153.1,979531.76,-80.22,-85.44,0.01,1.93,D,-83.57,-21.38
SGP603,33,43.71,116,18.69,145.8,979534.43,-77.68,-82.65,0.01,2.02,D,-80.69,-18.72
SGP604,33,43.34,116,18.67,106.7,979539.36,-75.91,-79.55,0.05,2.24,D,-77.35,-15.59
SGP605,33,43.34,116,17.25,90.8,979536.14,-80.63,-83.72,0,1.88,D,-81.88,-21.1
SGP606,33,41.54,116,16.04,40,979533.83,-85.21,-86.58,0.02,1.99,D,-84.6,-25.71
SGP607,33,39.41,116,14,-29,979534.14,-88.43,-87.44,0,1.95,D,-85.48,-29.27
SGP608,33,47.25,116,11.21,473.8,979519.42,-66.76,-82.92,0.04,2.93,D,-80.19,-18.24
SGP609,33,47.25,116,11.66,489.2,979517.54,-67.19,-83.87,0.02,2.77,D,-81.31,-19.27
SGP610,33,47.27,116,12.27,542.6,979512.47,-67.26,-85.77,0.35,3.12,D,-82.88,-20.69
SGP611,33,47.61,116,11.67,565,979513.55,-64.55,-83.82,0.04,2.89,D,-81.16,-18.7
SGP612,33,49,116,13.57,1004.3,979486.8,-51.91,-86.17,0.16,2.67,D,-83.91,-19.49
SGP613,33,45.52,116,10.66,202.1,979532.16,-77.17,-84.06,0.27,2.66,D,-81.48,-21.61
SGP614,33,46.09,116,10.85,256.7,979528.09,-76.9,-85.65,0.03,2.63,D,-83.12,-22.56
SGP615,33,44.65,116,10.25,91.2,979535.46,-83.09,-86.2,0.01,2.26,D,-83.97,-25.16
SGP616,33,45.17,116,11.49,101.7,979531.23,-87.06,-90.52,0.08,2.35,D,-88.22,-28.53
