"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B07401",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",,,,
"B07401",.,"Universe:  Population 1 year and over in the United States",,,,
"B07401",1.0000,"Total living in area 1 year ago:","2,101,624","+/-9,298","2,092,326","2,110,922"
"B07401",2.0000,"1 to 4 years","119,588","+/-2,903","116,685","122,491"
"B07401",3.0000,"5 to 17 years","389,518","+/-3,277","386,241","392,795"
"B07401",4.0000,"18 and 19 years","60,909","+/-2,254","58,655","63,163"
"B07401",5.0000,"20 to 24 years","146,958","+/-3,047","143,911","150,005"
"B07401",6.0000,"25 to 29 years","139,451","+/-2,848","136,603","142,299"
"B07401",7.0000,"30 to 34 years","129,337","+/-2,371","126,966","131,708"
"B07401",8.0000,"35 to 39 years","148,612","+/-4,504","144,108","153,116"
"B07401",9.0000,"40 to 44 years","160,833","+/-4,004","156,829","164,837"
"B07401",10.0000,"45 to 49 years","171,435","+/-1,985","169,450","173,420"
"B07401",11.0000,"50 to 54 years","156,114","+/-1,492","154,622","157,606"
"B07401",12.0000,"55 to 59 years","125,408","+/-3,758","121,650","129,166"
"B07401",13.0000,"60 to 64 years","100,525","+/-3,603","96,922","104,128"
"B07401",14.0000,"65 to 69 years","73,324","+/-3,339","69,985","76,663"
"B07401",15.0000,"70 to 74 years","58,606","+/-2,981","55,625","61,587"
"B07401",16.0000,"75 years and over","121,006","+/-1,621","119,385","122,627"
"B07401",17.0000,"Same house:","1,764,785","+/-15,609","1,749,176","1,780,394"
"B07401",18.0000,"1 to 4 years","92,944","+/-3,763","89,181","96,707"
"B07401",19.0000,"5 to 17 years","333,938","+/-5,684","328,254","339,622"
"B07401",20.0000,"18 and 19 years","39,499","+/-1,899","37,600","41,398"
"B07401",21.0000,"20 to 24 years","94,233","+/-4,029","90,204","98,262"
"B07401",22.0000,"25 to 29 years","95,707","+/-4,051","91,656","99,758"
"B07401",23.0000,"30 to 34 years","100,397","+/-2,599","97,798","102,996"
