"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B07401",.,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR RESIDENCE 1 YEAR AGO IN THE UNITED STATES",,,,
"B07401",.,"Universe:  Population 1 year and over in the United States",,,,
"B07401",1.0000,"Total living in area 1 year ago:","122,105","+/-3,663","118,442","125,768"
"B07401",2.0000,"1 to 4 years","5,203","+/-740","4,463","5,943"
"B07401",3.0000,"5 to 17 years","20,970","+/-1,575","19,395","22,545"
"B07401",4.0000,"18 and 19 years","3,688","+/-886","2,802","4,574"
"B07401",5.0000,"20 to 24 years","21,637","+/-1,807","19,830","23,444"
"B07401",6.0000,"25 to 29 years","9,054","+/-983","8,071","10,037"
"B07401",7.0000,"30 to 34 years","8,463","+/-743","7,720","9,206"
"B07401",8.0000,"35 to 39 years","9,064","+/-1,173","7,891","10,237"
"B07401",9.0000,"40 to 44 years","7,442","+/-1,021","6,421","8,463"
"B07401",10.0000,"45 to 49 years","7,048","+/-483","6,565","7,531"
"B07401",11.0000,"50 to 54 years","7,253","+/-474","6,779","7,727"
"B07401",12.0000,"55 to 59 years","6,086","+/-911","5,175","6,997"
"B07401",13.0000,"60 to 64 years","5,072","+/-785","4,287","5,857"
"B07401",14.0000,"65 to 69 years","3,115","+/-552","2,563","3,667"
"B07401",15.0000,"70 to 74 years","3,113","+/-634","2,479","3,747"
"B07401",16.0000,"75 years and over","4,897","+/-384","4,513","5,281"
"B07401",17.0000,"Same house:","97,608","+/-3,091","94,517","100,699"
"B07401",18.0000,"1 to 4 years","4,539","+/-631","3,908","5,170"
"B07401",19.0000,"5 to 17 years","17,855","+/-1,231","16,624","19,086"
"B07401",20.0000,"18 and 19 years","2,167","+/-693","1,474","2,860"
"B07401",21.0000,"20 to 24 years","11,771","+/-1,655","10,116","13,426"
"B07401",22.0000,"25 to 29 years","6,137","+/-680","5,457","6,817"
"B07401",23.0000,"30 to 34 years","7,296","+/-747","6,549","8,043"
"B07401",24.0000,"35 to 39 years","7,795","+/-1,025","6,770","8,820"
