Time,F-Scale,Location,County,State,Lat,Lon,Comments
0212,UNK,2 SE OSAGE,OSAGE,OK,36.27,-96.39,*** 2 INJ *** A SHORT-LIVED,WEAK TORNADO ROLLED ONE MOBILE HOME...DAMAGED ANOTHER MOBILE HOME...DAMAGED THE ROOF OF A HOUSE...DAMAGED THE ROOF OF A STORAGE BUILDING AN (TSA)
0744,UNK,EAGLE ROCK,BARRY,MO,36.55,-93.75,EF1 TORNADO WITH ESTIMATED WINDS OF 100 TO 110 MPH DESTROYED BOAT DOCK AND METAL BOAT STORAGE SHED. DAMAGE PATH APPROXIATELY 100 YARDS WIDE. THE TORNADO TRACKED NORTHEA (SGF)
0756,UNK,5 ESE SHELL KNOB,STONE,MO,36.6,-93.55,AN EF0 TORNADO WITH MAXIMUM WIND SPEEDS OF 80 MPH...OCCURRED JUST EAST SOUTHEAST OF SHELL KNOB. THE PATH WAS ONE AND A HALF MILES LONG AND 100 YARDS WIDE WITH A SOUTHWE (SGF)
0756,UNK,2 E SHELL KNOB,BARRY,MO,36.63,-93.6,AN EF0 TORNADO WITH MAXIMUM WIND SPEEDS OF 80 MPH...OCCURRED JUST EAST OF SHELL KNOB. THE PATH WAS ONE AND A HALF MILES LONG AND 100 YARDS WIDE WITH A SOUTHWEST TO NORT (SGF)
Time,Speed,Location,County,State,Lat,Lon,Comments
2051,UNK,2 W COGAR,CADDO,OK,35.33,-98.17,THREE INCH DIAMETER OAK LIMBS DOWNED BY TSTM WINDS (OUN)
2150,70,KAW CITY,KAY,OK,36.76,-96.86,KAW CITY EM (OUN)
2220,60,4 S BARNES,WASHINGTON,KS,39.65,-96.87,(TOP)
2241,60,NORMAN,CLEVELAND,OK,35.22,-97.44,REPORTED AT 36TH AND TECUMSEH ROAD IN NW NORMAN (OUN)
2300,60,SEDAN,CHAUTAUQUA,KS,37.13,-96.18,(ICT)
2320,60,MARLOW,STEPHENS,OK,34.64,-97.96,(OUN)
2320,60,OILTON,CREEK,OK,36.08,-96.58,BLOWING DEBRIS/ITEMS ACROSS PARKING LOT (TSA)
0000,62,3 W SHAWNEE,POTTAWATOMIE,OK,35.34,-96.97,MEASURED 62 MPH GUST AT I-40 AND S.H. 102 SOUTH. (OUN)
0015,60,7 NNE KINGSLEY,PLYMOUTH,IA,42.69,-95.92,(FSD)
0026,60,3 WSW VERA,TULSA,OK,36.43,-95.93,(TSA)
0045,58,NORMAN,CLEVELAND,OK,35.22,-97.44,(OUN)
0050,UNK,6 NE PIEDMONT,CANADIAN,OK,35.7,-97.67,TREE LIMBS BLOWN DOWN (OUN)
0109,UNK,2 W LAMAR,BARTON,MO,37.49,-94.31,SEVERE THUNDERSTORM WIND GUSTS DOWNED SEVERAL POWER POLES ALONG HIGHWAY 160...APPROXIMATELY TWO MILES WEST OF LAMAR. (SGF)
0125,60,6 E MELVIN,OSCEOLA,IA,43.28,-95.49,SHINGLES BLOWN OFF GARAGE ROOF. ALSO PEA SIZE HAIL. (FSD)
0204,64,3 E TABLER,GRADY,OK,35.05,-97.77,(OUN)
0323,80,3 SSE DEL CITY,OKLAHOMA,OK,35.41,-97.42,(OUN)
0325,UNK,3 NW NORMAN,CLEVELAND,OK,35.25,-97.48,WEST FACING STOCKADE FENCE BLOWN OVER BY EST 60 MPH WIND (OUN)
0341,60,5 W COLLINSVILLE,TULSA,OK,36.36,-95.93,(TSA)
0350,UNK,7 SW NOWATA,NOWATA,OK,36.63,-95.73,TREE BLOWN DOWN (TSA)
0422,60,3 SE MOUNDS,OKMULGEE,OK,35.85,-96.02,(TSA)
0440,UNK,6 W OKEMAH,OKFUSKEE,OK,35.43,-96.41,OUTBUILDING DESTROYED ALONG HIGHWAY 56 (TSA)
0450,60,OKEMAH,OKFUSKEE,OK,35.43,-96.3,(TSA)
0454,60,10 N OKMULGEE,OKMULGEE,OK,35.77,-95.96,LARGE TREE ON ROADWAY (TSA)
0458,70,INOLA,ROGERS,OK,36.15,-95.51,(TSA)
0502,60,10 W COLUMBUS,CHEROKEE,KS,37.17,-95.03,10 X 10 ANCHORED METAL BUILDING BLOWN DOWN (SGF)
0540,UNK,TAFT,FRANKLIN,AR,35.67,-93.72,SEVERAL TREES DOWN (TSA)
0540,UNK,2 W LAMAR,BARTON,MO,37.49,-94.31,SEVERE THUNDERSTORM WIND GUSTS DOWNED SEVERAL POWER POLES ALONG HIGHWAY 160...APPROXIMATELY TWO MILES WEST OF LAMAR. (SGF)
0602,60,1 WNW LAMAR,BARTON,MO,37.5,-94.29,POWER POLE BLOWN OVER 1 MILE WEST OF LAMAR ON 160 (SGF)
0605,61,DENISON,GRAYSON,TX,33.76,-96.56,REPORTED AT KGYI. (FWD)
0606,UNK,2 ESE CARTHAGE,JASPER,MO,37.17,-94.28,TREE DOWN TWO MILES EAST SOUTHEAST OF CARTHAGE ON COUNTY ROAD 80 AND ELM ROAD. TIME ESTIMATED BASED ON RADAR. (SGF)
0624,UNK,10 NE PINEVILLE,MCDONALD,MO,36.7,-94.26,A FEW LARGE TREES LIMBS DOWN ALONG E 76 HIGHWAY NEAR LONGVIEW AND ALSO A FEW TREE LIMBS DOWN TO THE SOUTHWEST TOWARDS PINEVILLE. (SGF)
0625,UNK,COLCORD,DELAWARE,OK,36.26,-94.69,TREES DOWN (TSA)
0714,UNK,PEA RIDGE,BENTON,AR,36.45,-94.11,TREES DOWN (TSA)
0715,70,1 W MONETT,BARRY,MO,36.92,-93.95,WEST SIDE OF MONETT AT CLEVLAND HEIGHTS AND SUNSET TREES WERE DOWN AND A CARPORT BLOWN OFF AND TREE BLOWN ON HOUSE. (SGF)
0715,70,1 N MONETT,LAWRENCE,MO,36.94,-93.93,WEST SIDE OF MONETT AT CLEVLAND HEIGHTS AND SUNSET TREES WERE DOWN AND A CARPORT BLOWN OFF AND A TREE BLOWN ON HOUSE (SGF)
0715,UNK,1 N MONETT,LAWRENCE,MO,36.94,-93.93,NUMEROUS TREES...POWERLINES AND POLE DOWN. SEVERAL CAR PORTS DESTROYED. (SGF)
0715,UNK,5 SE HUMANSVILLE,POLK,MO,37.74,-93.51,POWER LINES WERE REPORTED BLOWN DOWN SOUTHEAST OF HUMANSVILLE (SGF)
0724,UNK,10 NE PINEVILLE,MCDONALD,MO,36.7,-94.26,A FEW LARGE TREES LIMBS DOWN ALONG E 76 HIGHWAY NEAR LONGVIEW AND ALSO A FEW TREE LIMBS DOWN TO THE SOUTHWEST TOWARDS PINEVILLE. (SGF)
0730,60,5 N FORDLAND,WEBSTER,MO,37.23,-92.94,OFFICER REPORTED TREES DOWN (SGF)
0735,60,CASSVILLE,BARRY,MO,36.68,-93.87,(SGF)
0740,60,REPUBLIC,GREENE,MO,37.12,-93.48,(SGF)
0746,64,SPRINGFIELD,GREENE,MO,37.2,-93.29,(SGF)
0755,60,3 SE SHELL KNOB,STONE,MO,36.6,-93.6,TREES DOWN ALONG YY HIGHWAY (SGF)
Time,Size,Location,County,State,Lat,Lon,Comments
1335,88,MORA,KANABEC,MN,45.88,-93.29,DIME TO NICKEL SIZE HAIL COVERED THE GROUND. (MPX)
1359,75,5 S RENVILLE,RENVILLE,MN,44.72,-95.22,(MPX)
2124,100,7 E CEDAR VALE,CHAUTAUQUA,KS,37.11,-96.37,(ICT)
2130,250,1 S PIEDMONT,CANADIAN,OK,35.63,-97.75,REPORTED BY KWTV. (OUN)
2130,75,4 SE YPSILANTI,STUTSMAN,ND,46.74,-98.51,(BIS)
2140,75,11 W BURBANK,OSAGE,OK,36.69,-96.93,REPORTED BY THE KAW LAKE COE (TSA)
2149,88,8 S STERLING,COMANCHE,OK,34.63,-98.17,(OUN)
2219,88,9 W STILLWATER,PAYNE,OK,36.12,-97.22,DIME TO NICKEL SIZE HAIL AT HIGHWAY 51 AND HIGHWAY 86. (OUN)
2224,100,7 E CEDAR VALE,CHAUTAUQUA,KS,37.11,-96.37,(ICT)
2225,200,2 N MERIDIAN,LOGAN,OK,35.87,-97.25,THE HAIL DENTED SEVERAL CARS NEAR HIGHWAY 102. THE HAIL COVERED THE ROADWAY. (OUN)
2230,100,CHICKASHA,GRADY,OK,35.04,-97.95,(OUN)
2235,100,NEWCASTLE,MCCLAIN,OK,35.25,-97.6,(OUN)
2240,88,OKLAHOMA CITY,OKLAHOMA,OK,35.47,-97.51,PENNY SIZE HAIL AT SW 149TH AND WESTERN IN SW OKC. (OUN)
2242,175,NORMAN,CLEVELAND,OK,35.22,-97.44,GOLFBALL SIZE HAIL AT 36TH AND TECUMSEH ROAD IN NORTHWEST NORMAN. (OUN)
2242,175,PERKINS,PAYNE,OK,35.98,-97.03,REPORTED AT HIGHWAY 33 AND UNION. WINDS ALSO PUSHED PICKUP TRUCK OFF THE ROAD. (OUN)
2245,100,5 W ARCHER CITY,ARCHER,TX,33.59,-98.71,REPORTED AT THE ROADSIDE PARK WEST OF ARCHER CITY (OUN)
2252,75,MARYSVILLE,MARSHALL,KS,39.84,-96.65,(TOP)
2255,75,10 E LAWTON,COMANCHE,OK,34.6,-98.25,REPORTED NEAR PUMPKIN CENTER (OUN)
2255,175,OKLAHOMA CITY,OKLAHOMA,OK,35.47,-97.51,REPORTED AT SOONER ROAD AND SE 134TH (OUN)
2257,75,3 ENE LONGTON,ELK,KS,37.39,-96.03,(ICT)
2302,75,TEKAMAH,BURT,NE,41.78,-96.22,(OAX)
2303,75,1 N ARTHUR,CASS,ND,47.12,-97.22,HAIL ESTIMATED TO BE PENNY SIZE. (FGF)
2306,175,SEDAN,CHAUTAUQUA,KS,37.13,-96.18,(ICT)
2307,75,7 S CHOCTAW,CLEVELAND,OK,35.38,-97.27,REPORTED AT LOVES STORE. HAIL COVERED THE GROUND. (OUN)
2318,100,4 ENE NOBLE,CLEVELAND,OK,35.16,-97.33,(OUN)
