Industry	SIC	Total_Code	Data_Type	Total	"0-49,999"	"50,000-99,999"	"100,000-499,999"	"500,000-999,999"	"1,000,000-2,999,999"	"<3,000,000"	"3,000,000-4,999,999"	"<5,000,000"	"5,000,000-7,499,999"	"<7,500,000"	"7,500,000-24,999,999"	"25,000,000-99,999,999"	"100,000,000+"
Total	1	1	Firms	5541918	693445	701839	2371725	729916	632993	5129918	151115	5281033	81169	5362202	124326	42402	12988
Total	1	1	Establishments	6894869	693833	702464	2386474	758704	722414	5263889	208128	5472017	131505	5603522	281576	204622	805149
Total	1	1	Employment	105299123	804728	1260405	9618518	6840366	11497199	30021216	5178499	35199715	3955855	39155570	10715784	10450405	44977364
Total	1	1	Ann. Payroll	3047907469	7200165	14320555	159386864	143326313	281025246	605259143	141584067	746843210	112920440	859763650	317417893	326756115	1543969811
Total	1	1	Est. Receipts	18242632687	18399355	51774171	581222000	511112889	1059895605	2222404020	577314688	2799718708	492532436	3292251144	1626644367	1927916981	11395820195
"Ag. Srv., Forestry, Fishing"	700	1	Firms	115039	19311	21107	53904	12731	6080	113133	826	113959	337	114296	469	138	136
"Ag. Srv., Forestry, Fishing"	700	1	Establishments	116973	19312	21109	53915	12751	6154	113241	874	114115	387	114502	709	332	1430
"Ag. Srv., Forestry, Fishing"	700	1	Employment	727465	17291	29936	212076	137688	129180	526171	35007	561178	17841	579019	         [k]	         [j]	79478
"Ag. Srv., Forestry, Fishing"	700	1	Ann. Payroll	15068445	171626	398828	3537707	2830085	3075955	10014201	836597	10850798	488899	11339697	         (D)	         (D)	2017700
"Ag. Srv., Forestry, Fishing"	700	1	Est. Receipts	51397639	521486	1549360	12732649	8809763	9523736	33136994	3056088	36193082	1956825	38149907	         (D)	         (D)	5656081
Mining	1000	1	Firms	20685	2376	2337	7318	2793	2851	17675	873	18548	498	19046	811	395	433
Mining	1000	1	Establishments	26853	2379	2341	7409	2922	3173	18224	1052	19276	660	19936	1334	1073	4510
Mining	1000	1	Employment	586239	3131	3613	24267	20774	42647	94432	24660	119092	17839	136931	48004	48893	352411
Mining	1000	1	Ann. Payroll	27818457	83655	54753	554846	583311	1375727	2652292	880688	3532980	667633	4200613	1969498	2231171	19417175
Mining	1000	1	Est. Receipts	172831908	64633	170433	1832498	1959380	4788751	8815695	3235249	12050944	2884506	14935450	9177311	11851278	136867869
Construction	1500	1	Firms	663082	68560	82042	296856	89620	80796	617874	19167	637041	9648	646689	12682	2953	758
Construction	1500	1	Establishments	669380	68563	82042	296869	89659	80959	618092	19307	637399	9793	647192	13479	4030	4679
Construction	1500	1	Employment	5513414	63553	116132	926673	641709	1104231	2852298	491190	3343488	350366	3693854	803701	480705	535154
Construction	1500	1	Ann. Payroll	175987014	597146	1544980	17815155	15760799	32733149	68451229	16906756	85357985	12870999	98228984	32276487	21061707	24419836
Construction	1500	1	Est. Receipts	835144376	1815179	6106611	72313290	63032850	135862125	279130055	72999197	352129252	57939947	410069199	157138532	117283295	150653350
Manufacturing	2000	1	Firms	333670	25466	26164	102425	49428	62895	266378	20386	286764	12338	299102	21052	8776	4740
Manufacturing	2000	1	Establishments	393840	25473	26168	102491	49536	63681	267349	21371	288720	13477	302197	26886	18470	46287
Manufacturing	2000	1	Employment	18633065	30784	45206	450028	483913	1224408	2234339	738554	2972893	641872	3614765	1964695	2140884	10912721
Manufacturing	2000	1	Ann. Payroll	688657210	483626	512947	7740219	10541932	32154952	51433676	21671253	73104929	19591298	92696227	62394614	69908237	463658132
