

"tblid","profln","totcest","totcme","cest","cme"
" ","           0"," "," "," "," "
" ","           1"," "," "," "," "
"S0201","           1","21,976,224","*****","           203,089","            +/-12,425"
" ","           2"," "," "," "," "
"S0201","           2","      48.4","               +/-0.1","              44.3","               +/-1.5"
"S0201","           3","      51.6","               +/-0.1","              55.7","               +/-1.5"
" ","           3"," "," "," "," "
"S0201","           4","       6.6","               +/-0.1","               4.2","               +/-0.8"
"S0201","           5","      17.4","               +/-0.1","              14.6","               +/-1.1"
"S0201","           6","       9.2","               +/-0.1","               7.2","               +/-0.8"
"S0201","           7","      12.9","               +/-0.1","              15.6","               +/-1.6"
"S0201","           8","      15.7","               +/-0.1","              18.1","               +/-1.4"
"S0201","           9","      14.8","               +/-0.1","              17.4","               +/-1.2"
"S0201","          10","      10.8","               +/-0.1","              12.7","               +/-1.3"
"S0201","          11","       6.4","               +/-0.1","               6.8","               +/-1.0"
"S0201","          12","       6.3","               +/-0.1","               3.3","               +/-0.6"
" ","          12"," "," "," "," "
"S0201","          13","      37.5","               +/-0.1","              39.6","               +/-0.9"
" ","          13"," "," "," "," "
"S0201","          14","      76.0","               +/-0.1","              81.2","               +/-1.3"
"S0201","          15","      72.0","               +/-0.1","              78.3","               +/-1.3"
"S0201","          16","      15.3","               +/-0.1","              13.0","               +/-1.3"
"S0201","          17","      12.7","               +/-0.1","              10.1","               +/-1.1"
" ","          17"," "," "," "," "
"S0201","          18"," 5,274,519","             +/-1,273","            38,271","             +/-3,693"
"S0201","          19","      51.2","               +/-0.1","              51.4","               +/-3.3"
"S0201","          20","      48.8","               +/-0.1","              48.6","               +/-3.3"
" ","          20"," "," "," "," "
"S0201","          21","16,701,705","             +/-1,273","           164,818","            +/-10,220"
"S0201","          22","      47.5","               +/-0.1","              42.7","               +/-1.6"
"S0201","          23","      52.5","               +/-0.1","              57.3","               +/-1.6"
" ","          23"," "," "," "," "
"S0201","          24"," 4,839,625","             +/-3,583","            46,396","             +/-4,755"
"S0201","          25","      50.1","               +/-0.1","              49.7","               +/-3.8"
"S0201","          26","      49.9","               +/-0.1","              50.3","               +/-3.8"
" ","          26"," "," "," "," "
"S0201","          27"," 9,067,263","             +/-3,429","            97,960","             +/-6,291"
"S0201","          28","      48.3","               +/-0.1","              40.2","               +/-1.8"
"S0201","          29","      51.7","               +/-0.1","              59.8","               +/-1.8"
" ","          29"," "," "," "," "
"S0201","          30"," 2,794,817","             +/-2,375","            20,462","             +/-2,600"
"S0201","          31","      40.7","               +/-0.1","              38.6","               +/-4.8"
"S0201","          32","      59.3","               +/-0.1","              61.4","               +/-4.8"
" ","          32"," "," "," "," "
" ","          33"," "," "," "," "
"S0201","          33","21,466,418","             +/-3,081","           201,266","            +/-12,372"
"S0201","          34","      53.9","               +/-0.1","              52.2","               +/-1.6"
