"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B08406",.,"SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK FOR WORKPLACE GEOGRAPHY",,,,
"B08406",.,"Universe:  Workers 16 years and over",,,,
"B08406",1.000,"Total:","N","N","N","N"
"B08406",2.000,"Car, truck, or van:","N","N","N","N"
"B08406",3.000,"Drove alone","N","N","N","N"
"B08406",4.000,"Carpooled:","N","N","N","N"
"B08406",5.000,"In 2-person carpool","N","N","N","N"
"B08406",6.000,"In 3-person carpool","N","N","N","N"
"B08406",7.000,"In 4-or-more-person carpool","N","N","N","N"
"B08406",8.000,"Public transportation (excluding taxicab):","N","N","N","N"
"B08406",9.000,"Bus or trolley bus","N","N","N","N"
"B08406",10.000,"Streetcar or trolley car (carro publico in Puerto Rico)","N","N","N","N"
"B08406",11.000,"Subway or elevated","N","N","N","N"
"B08406",12.000,"Railroad","N","N","N","N"
"B08406",13.000,"Ferryboat","N","N","N","N"
"B08406",14.000,"Bicycle","N","N","N","N"
"B08406",15.000,"Walked","N","N","N","N"
"B08406",16.000,"Taxicab, motorcycle, or other means","N","N","N","N"
"B08406",17.000,"Worked at home","N","N","N","N"
"B08406",18.000,"Male:","N","N","N","N"
"B08406",19.000,"Car, truck, or van:","N","N","N","N"
"B08406",20.000,"Drove alone","N","N","N","N"
"B08406",21.000,"Carpooled:","N","N","N","N"
"B08406",22.000,"In 2-person carpool","N","N","N","N"
"B08406",23.000,"In 3-person carpool","N","N","N","N"
"B08406",24.000,"In 4-or-more-person carpool","N","N","N","N"
"B08406",25.000,"Public transportation (excluding taxicab):","N","N","N","N"
"B08406",26.000,"Bus or trolley bus","N","N","N","N"
"B08406",27.000,"Streetcar or trolley car (carro publico in Puerto Rico)","N","N","N","N"
"B08406",28.000,"Subway or elevated","N","N","N","N"
"B08406",29.000,"Railroad","N","N","N","N"
"B08406",30.000,"Ferryboat","N","N","N","N"
"B08406",31.000,"Bicycle","N","N","N","N"
"B08406",32.000,"Walked","N","N","N","N"
"B08406",33.000,"Taxicab, motorcycle, or other means","N","N","N","N"
"B08406",34.000,"Worked at home","N","N","N","N"
"B08406",35.000,"Female:","N","N","N","N"
"B08406",36.000,"Car, truck, or van:","N","N","N","N"
"B08406",37.000,"Drove alone","N","N","N","N"
"B08406",38.000,"Carpooled:","N","N","N","N"
"B08406",39.000,"In 2-person carpool","N","N","N","N"
"B08406",40.000,"In 3-person carpool","N","N","N","N"
"B08406",41.000,"In 4-or-more-person carpool","N","N","N","N"
"B08406",42.000,"Public transportation (excluding taxicab):","N","N","N","N"
"B08406",43.000,"Bus or trolley bus","N","N","N","N"
"B08406",44.000,"Streetcar or trolley car (carro publico in Puerto Rico)","N","N","N","N"
"B08406",45.000,"Subway or elevated","N","N","N","N"
"B08406",46.000,"Railroad","N","N","N","N"
"B08406",47.000,"Ferryboat","N","N","N","N"
"B08406",48.000,"Bicycle","N","N","N","N"
"B08406",49.000,"Walked","N","N","N","N"
"B08406",50.000,"Taxicab, motorcycle, or other means","N","N","N","N"
"B08406",51.000,"Worked at home","N","N","N","N"
"B08412",.,"SEX OF WORKERS BY TRAVEL TIME TO WORK FOR WORKPLACE GEOGRAPHY",,,,
"B08412",.,"Universe: Workers 16 years and over who did not work at home",,,,
"B08412",1.000,"Total:","43,566","+/-2,140","41,426","45,706"
"B08412",2.000,"Less than 5 minutes","2,871","+/-642","2,229","3,513"
"B08412",3.000,"5 to 9 minutes","8,148","+/-1,280","6,868","9,428"
"B08412",4.000,"10 to 14 minutes","7,477","+/-1,271","6,206","8,748"
"B08412",5.000,"15 to 19 minutes","6,828","+/-1,058","5,770","7,886"
"B08412",6.000,"20 to 24 minutes","6,006","+/-1,287","4,719","7,293"
"B08412",7.000,"25 to 29 minutes","2,598","+/-736","1,862","3,334"
"B08412",8.000,"30 to 34 minutes","4,631","+/-1,005","3,626","5,636"
"B08412",9.000,"35 to 39 minutes","488","+/-238","250","726"
"B08412",10.000,"40 to 44 minutes","828","+/-399","429","1,227"
"B08412",11.000,"45 to 59 minutes","1,443","+/-564","879","2,007"
"B08412",12.000,"60 to 89 minutes","1,394","+/-553","841","1,947"
"B08412",13.000,"90 or more minutes","854","+/-353","501","1,207"
"B08412",14.000,"Male:","23,328","+/-1,553","21,775","24,881"
"B08412",15.000,"Less than 5 minutes","1,166","+/-415","751","1,581"
"B08412",16.000,"5 to 9 minutes","3,432","+/-818","2,614","4,250"
"B08412",17.000,"10 to 14 minutes","4,154","+/-986","3,168","5,140"
"B08412",18.000,"15 to 19 minutes","3,180","+/-738","2,442","3,918"
"B08412",19.000,"20 to 24 minutes","4,021","+/-970","3,051","4,991"
"B08412",20.000,"25 to 29 minutes","1,505","+/-542","963","2,047"
"B08412",21.000,"30 to 34 minutes","2,706","+/-883","1,823","3,589"
"B08412",22.000,"35 to 39 minutes","164","+/-112","52","276"
"B08412",23.000,"40 to 44 minutes","416","+/-227","189","643"
"B08412",24.000,"45 to 59 minutes","897","+/-407","490","1,304"
"B08412",25.000,"60 to 89 minutes","922","+/-376","546","1,298"
"B08412",26.000,"90 or more minutes","765","+/-347","418","1,112"
"B08412",27.000,"Female:","20,238","+/-1,442","18,796","21,680"
"B08412",28.000,"Less than 5 minutes","1,705","+/-511","1,194","2,216"
"B08412",29.000,"5 to 9 minutes","4,716","+/-790","3,926","5,506"
"B08412",30.000,"10 to 14 minutes","3,323","+/-615","2,708","3,938"
"B08412",31.000,"15 to 19 minutes","3,648","+/-760","2,888","4,408"
"B08412",32.000,"20 to 24 minutes","1,985","+/-591","1,394","2,576"
"B08412",33.000,"25 to 29 minutes","1,093","+/-418","675","1,511"
"B08412",34.000,"30 to 34 minutes","1,925","+/-479","1,446","2,404"
"B08412",35.000,"35 to 39 minutes","324","+/-222","102","546"
"B08412",36.000,"40 to 44 minutes","412","+/-341","71","753"
"B08412",37.000,"45 to 59 minutes","546","+/-367","179","913"
"B08412",38.000,"60 to 89 minutes","472","+/-435","37","907"
"B08412",39.000,"90 or more minutes","89","+/-86","3","175"
"B08501",.,"MEANS OF TRANSPORTATION TO WORK BY AGE FOR WORKPLACE GEOGRAPHY",,,,
"B08501",.,"Universe:  Workers 16 years and over",,,,
"B08501",1.000,"Total:","N","N","N","N"
"B08501",2.000,"16 to 19 years","N","N","N","N"
