

"tblid","profln","totcest","totcme","cest","cme"
" ","           0"," "," "," "," "
" ","           1"," "," "," "," "
"S0201","           1","2,795,377","*****","         2,022,339","             +/-2,227"
" ","           2"," "," "," "," "
"S0201","           2","     48.9","               +/-0.1","              48.7","               +/-0.1"
"S0201","           3","     51.1","               +/-0.1","              51.3","               +/-0.1"
" ","           3"," "," "," "," "
"S0201","           4","      6.2","               +/-0.1","               5.5","               +/-0.1"
"S0201","           5","     18.1","               +/-0.1","              17.4","               +/-0.1"
"S0201","           6","      9.1","               +/-0.1","               8.2","               +/-0.1"
"S0201","           7","     10.1","               +/-0.1","               7.9","               +/-0.1"
"S0201","           8","     15.2","               +/-0.1","              14.8","               +/-0.1"
"S0201","           9","     15.9","               +/-0.1","              17.0","               +/-0.1"
"S0201","          10","     11.8","               +/-0.1","              13.2","               +/-0.1"
"S0201","          11","      6.9","               +/-0.1","               7.9","               +/-0.1"
"S0201","          12","      6.6","               +/-0.1","               8.2","               +/-0.1"
" ","          12"," "," "," "," "
"S0201","          13","     39.5","               +/-0.2","              42.8","               +/-0.2"
" ","          13"," "," "," "," "
"S0201","          14","     75.6","*****","              77.1","               +/-0.1"
"S0201","          15","     71.5","               +/-0.1","              73.3","               +/-0.1"
"S0201","          16","     16.4","               +/-0.2","              19.4","               +/-0.2"
"S0201","          17","     13.5","               +/-0.1","              16.1","               +/-0.1"
" ","          17"," "," "," "," "
"S0201","          18","  681,735","*****","           462,558","             +/-1,180"
"S0201","          19","     51.3","               +/-0.1","              51.3","               +/-0.1"
"S0201","          20","     48.7","               +/-0.1","              48.7","               +/-0.1"
" ","          20"," "," "," "," "
"S0201","          21","2,113,642","*****","         1,559,781","             +/-1,436"
"S0201","          22","     48.2","               +/-0.1","              47.9","               +/-0.1"
"S0201","          23","     51.8","               +/-0.1","              52.1","               +/-0.1"
" ","          23"," "," "," "," "
"S0201","          24","  537,389","               +/-615","           325,146","               +/-473"
"S0201","          25","     51.2","               +/-0.1","              51.2","               +/-0.1"
"S0201","          26","     48.8","               +/-0.1","              48.8","               +/-0.1"
" ","          26"," "," "," "," "
"S0201","          27","1,198,190","               +/-657","           908,463","             +/-1,148"
"S0201","          28","     48.7","               +/-0.1","              48.8","               +/-0.1"
"S0201","          29","     51.3","               +/-0.1","              51.2","               +/-0.1"
" ","          29"," "," "," "," "
"S0201","          30","  378,063","               +/-341","           326,172","               +/-155"
"S0201","          31","     42.2","               +/-0.1","              42.3","               +/-0.1"
"S0201","          32","     57.8","               +/-0.1","              57.7","               +/-0.1"
" ","          32"," "," "," "," "
" ","          33"," "," "," "," "
"S0201","          33","2,745,618","             +/-1,309","         1,987,896","             +/-2,683"
"S0201","          34","     53.7","               +/-0.3","              58.1","               +/-0.4"
"S0201","          35","     34.4","               +/-0.4","              33.5","               +/-0.3"
