"tblid","profln","totcest","totcme","cest","cme"
,"0",,,,
,"1",,,,
"S0201","1","23,507,783","*****","148,171","+/-8,915"
,"2",,,,
"S0201","2","49.8","+/-0.1","51.0","+/-1.7"
"S0201","3","50.2","+/-0.1","49.0","+/-1.7"
,"3",,,,
"S0201","4","8.2","+/-0.1","7.1","+/-1.3"
"S0201","5","19.5","+/-0.1","21.5","+/-1.8"
"S0201","6","10.4","+/-0.1","9.9","+/-1.5"
"S0201","7","14.6","+/-0.1","12.5","+/-1.6"
"S0201","8","14.7","+/-0.1","14.3","+/-1.5"
"S0201","9","13.5","+/-0.1","18.3","+/-1.6"
"S0201","10","9.2","+/-0.1","9.9","+/-1.4"
"S0201","11","5.3","+/-0.1","4.3","+/-0.8"
"S0201","12","4.6","+/-0.1","2.1","+/-0.5"
,"12",,,,
"S0201","13","33.1","+/-0.1","33.9","+/-2.1"
,"13",,,,
"S0201","14","72.3","+/-0.1","71.4","+/-1.9"
"S0201","15","67.7","+/-0.1","66.9","+/-1.8"
"S0201","16","12.1","+/-0.1","8.6","+/-1.0"
"S0201","17","9.9","+/-0.1","6.4","+/-1.0"
,"17",,,,
"S0201","18","6,502,854","+/-3,409","42,412","+/-3,865"
"S0201","19","51.0","+/-0.1","52.5","+/-3.9"
"S0201","20","49.0","+/-0.1","47.5","+/-3.9"
,"20",,,,
"S0201","21","17,004,929","+/-3,409","105,759","+/-6,914"
"S0201","22","49.3","+/-0.1","50.4","+/-1.8"
"S0201","23","50.7","+/-0.1","49.6","+/-1.8"
,"23",,,,
"S0201","24","5,886,650","+/-8,648","33,151","+/-3,726"
"S0201","25","51.6","+/-0.1","47.4","+/-4.3"
"S0201","26","48.4","+/-0.1","52.6","+/-4.3"
,"26",,,,
"S0201","27","8,788,837","+/-9,987","63,095","+/-4,671"
"S0201","28","49.6","+/-0.1","51.8","+/-2.0"
"S0201","29","50.4","+/-0.1","48.2","+/-2.0"
,"29",,,,
"S0201","30","2,329,442","+/-3,768","9,513","+/-1,498"
"S0201","31","42.2","+/-0.1","50.7","+/-6.3"
"S0201","32","57.8","+/-0.1","49.3","+/-6.3"
,"32",,,,
,"33",,,,
"S0201","33","22,913,569","*****","146,401","+/-8,935"
"S0201","34","53.6","+/-0.2","57.5","+/-2.0"
"S0201","35","33.2","+/-0.2","35.1","+/-1.8"
"S0201","36","8.4","+/-0.1","3.5","+/-0.9"
"S0201","37","4.7","+/-0.1","3.9","+/-0.9"
"S0201","38","1.6","+/-0.1","1.4","+/-0.4"
,"38",,,,
,"39",,,,
"S0201","39","8,109,388","+/-19,850","52,324","+/-3,720"
"S0201","40","70.1","+/-0.3","69.7","+/-3.4"
"S0201","41","35.6","+/-0.3","33.8","+/-3.1"
"S0201","42","51.5","+/-0.3","60.3","+/-3.4"
"S0201","43","24.7","+/-0.2","28.6","+/-2.8"
