

"tblid","profln","totcest","totcme","cest","cme"
" ","           0"," "," "," "," "
" ","           1"," "," "," "," "
"S0201","           1","1,611,581","*****","           770,921","             +/-1,002"
" ","           2"," "," "," "," "
"S0201","           2","     47.6","               +/-0.1","              48.4","               +/-0.1"
"S0201","           3","     52.4","               +/-0.1","              51.6","               +/-0.1"
" ","           3"," "," "," "," "
"S0201","           4","      6.1","               +/-0.1","               5.0","               +/-0.1"
"S0201","           5","     11.0","               +/-0.1","               7.0","               +/-0.1"
"S0201","           6","      8.6","               +/-0.1","               6.4","               +/-0.1"
"S0201","           7","     19.0","               +/-0.1","              20.8","               +/-0.1"
"S0201","           8","     18.6","               +/-0.1","              21.5","               +/-0.1"
"S0201","           9","     13.6","               +/-0.1","              14.3","               +/-0.1"
"S0201","          10","     10.4","               +/-0.1","              11.6","               +/-0.1"
"S0201","          11","      6.5","               +/-0.1","               6.7","               +/-0.1"
"S0201","          12","      6.2","               +/-0.1","               6.7","               +/-0.1"
" ","          12"," "," "," "," "
"S0201","          13","     37.4","               +/-0.2","              39.4","               +/-0.3"
" ","          13"," "," "," "," "
"S0201","          14","     82.9","               +/-0.1","              88.0","               +/-0.1"
"S0201","          15","     79.3","               +/-0.2","              85.3","               +/-0.2"
"S0201","          16","     15.1","               +/-0.2","              16.0","               +/-0.3"
"S0201","          17","     12.7","               +/-0.1","              13.4","               +/-0.1"
" ","          17"," "," "," "," "
"S0201","          18","  275,832","               +/-389","            92,619","               +/-434"
"S0201","          19","     51.1","               +/-0.1","              50.8","               +/-0.2"
"S0201","          20","     48.9","               +/-0.1","              49.2","               +/-0.2"
" ","          20"," "," "," "," "
"S0201","          21","1,335,749","               +/-389","           678,302","               +/-886"
"S0201","          22","     46.9","               +/-0.1","              48.1","               +/-0.1"
"S0201","          23","     53.1","               +/-0.1","              51.9","               +/-0.1"
" ","          23"," "," "," "," "
"S0201","          24","  444,935","               +/-520","           209,465","               +/-659"
"S0201","          25","     46.8","               +/-0.1","              45.8","               +/-0.1"
"S0201","          26","     53.2","               +/-0.1","              54.2","               +/-0.1"
" ","          26"," "," "," "," "
"S0201","          27","  685,779","               +/-422","           365,584","               +/-475"
"S0201","          28","     49.0","               +/-0.1","              50.7","               +/-0.1"
"S0201","          29","     51.0","               +/-0.1","              49.3","               +/-0.1"
" ","          29"," "," "," "," "
"S0201","          30","  205,035","               +/-212","           103,253","               +/-287"
"S0201","          31","     40.4","               +/-0.1","              43.3","               +/-0.1"
"S0201","          32","     59.6","               +/-0.1","              56.7","               +/-0.1"
" ","          32"," "," "," "," "
" ","          33"," "," "," "," "
"S0201","          33","1,553,564","             +/-1,200","           742,054","             +/-1,981"
"S0201","          34","     59.9","               +/-0.7","              73.7","               +/-0.8"
"S0201","          35","     23.0","               +/-0.6","              14.5","               +/-0.3"
