"TBLID","PROFLN","STUB","cest_07","cest_06","pub_sig90"
"DP02",0.0,,,,
"DP02",0.5,,,,
"DP02",0.8,,,,
"DP02",1.0,"Total households","215,212","214,622",
"DP02",2.0,"Family households (families)","69.0%","69.7%",
"DP02",3.0,"With own children under 18 years","29.3%","29.4%",
"DP02",4.0,"Married-couple family","54.0%","53.6%",
"DP02",5.0,"With own children under 18 years","20.9%","20.3%",
"DP02",6.0,"Male householder, no wife present, family","3.7%","4.8%","*"
"DP02",7.0,"With own children under 18 years","1.9%","2.4%",
"DP02",8.0,"Female householder, no husband present, family","11.2%","11.3%",
"DP02",9.0,"With own children under 18 years","6.5%","6.7%",
"DP02",10.0,"Nonfamily households","31.0%","30.3%",
"DP02",11.0,"Householder living alone","27.6%","26.9%",
"DP02",12.0,"65 years and over","12.8%","12.3%",
"DP02",12.3,,,,
"DP02",13.0,"Households with one or more people under 18 years","33.8%","34.2%",
"DP02",14.0,"Households with one or more people 65 years and over","30.1%","29.8%",
"DP02",14.3,,,,
"DP02",15.0,"Average household size","2.49","2.51",
"DP02",16.0,"Average family size","3.03","3.02",
"DP02",16.3,,,,
"DP02",16.5,"RELATIONSHIP",,,
"DP02",17.0,"Population in households","535,302","537,825",
"DP02",18.0,"Householder","40.2%","39.9%",
"DP02",19.0,"Spouse","21.6%","21.4%",
"DP02",20.0,"Child","28.1%","28.0%",
"DP02",21.0,"Other relatives","6.5%","6.7%",
"DP02",22.0,"Nonrelatives","3.6%","4.0%",
"DP02",23.0,"Unmarried partner","1.8%","1.7%",
"DP02",23.3,,,,
"DP02",23.5,"MARITAL STATUS",,,
"DP02",24.0,"Males 15 years and over","221,973","221,976",
"DP02",25.0,"Never married","26.0%","27.0%",
"DP02",26.0,"Now married, except separated","56.8%","55.7%",
"DP02",27.0,"Separated","1.7%","1.9%",
"DP02",28.0,"Widowed","4.4%","3.6%","*"
"DP02",29.0,"Divorced","11.0%","11.9%",
"DP02",29.3,,,,
"DP02",30.0,"Females 15 years and over","226,440","229,960","*"
"DP02",31.0,"Never married","17.9%","18.1%",
"DP02",32.0,"Now married, except separated","53.5%","52.6%",
"DP02",33.0,"Separated","2.3%","2.7%",
"DP02",34.0,"Widowed","14.0%","14.3%",
"DP02",35.0,"Divorced","12.2%","12.3%",
"DP02",35.3,,,,
"DP02",35.5,"FERTILITY",,,
"DP02",36.0,"Number of women 15 to 50 years old who had a birth in the past 12 months","9,581","7,141","*"
"DP02",37.0,"Unmarried women (widowed, divorced, and never married)","34.3%","39.4%",
"DP02",38.0,"Per 1,000 unmarried women","61","49",
"DP02",39.0,"Per 1,000 women 15 to 50 years old","77","55","*"
"DP02",40.0,"Per 1,000 women 15 to 19 years old","36","33",
"DP02",41.0,"Per 1,000 women 20 to 34 years old","170","126","*"
"DP02",42.0,"Per 1,000 women 35 to 50 years old","13","6",
"DP02",42.3,,,,
"DP02",42.5,"GRANDPARENTS",,,
"DP02",43.0,"Number of grandparents living with own grandchildren under 18 years","15,047","12,179","*"
"DP02",44.0,"Responsible for grandchildren","63.7%","63.4%",
"DP02",44.9,"Years responsible for grandchildren",,,
"DP02",45.0,"Less than 1 year","9.7%","15.2%",
"DP02",46.0,"1 or 2 years","16.8%","20.1%",
"DP02",47.0,"3 or 4 years","12.2%","8.5%",
"DP02",48.0,"5 or more years","24.9%","19.6%",
"DP02",48.3,,,,
"DP02",48.5,"Characteristics of grandparents responsible for own grandchildren under 18 years",,,
"DP02",49.0,"Who are female","55.4","59.7",
"DP02",50.0,"Who are married","78.9","74.4",
"DP02",50.3,,,,
"DP02",50.5,"SCHOOL ENROLLMENT",,,
"DP02",51.0,"Population 3 years and over enrolled in school","129,007","133,575",
"DP02",52.0,"Nursery school, preschool","5.7%","6.7%",
"DP02",53.0,"Kindergarten","6.1%","6.4%",
"DP02",54.0,"Elementary school (grades 1-8)","47.1%","43.9%","*"
"DP02",55.0,"High school (grades 9-12)","23.9%","24.6%",
"DP02",56.0,"College or graduate school","17.2%","18.4%",
"DP02",56.3,,,,
"DP02",56.5,"EDUCATIONAL ATTAINMENT",,,
"DP02",57.0,"Population 25 years and over","372,500","370,902",
"DP02",58.0,"Less than 9th grade","7.0%","7.3%",
"DP02",59.0,"9th to 12th grade, no diploma","12.7%","12.7%",
"DP02",60.0,"High school graduate (includes equivalency)","41.2%","41.0%",
"DP02",61.0,"Some college, no degree","18.9%","18.8%",
"DP02",62.0,"Associate's degree","5.4%","5.4%",
"DP02",63.0,"Bachelor's degree","9.9%","10.3%",
"DP02",64.0,"Graduate or professional degree","4.9%","4.5%",
"DP02",64.3,,,,
"DP02",65.0,"Percent high school graduate or higher","80.3","80.0",
"DP02",66.0,"Percent bachelor's degree or higher","14.8","14.8",
"DP02",66.3,,,,
"DP02",66.5,"VETERAN STATUS",,,
"DP02",67.0,"Civilian population 18 years and over","424,113","427,098",
"DP02",68.0,"Civilian veterans","49,327","51,281",
"DP02",68.3,,,,
"DP02",68.5,"DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION",,,
"DP02",69.0,"Population 5 years and over","505,399","508,365",
"DP02",70.0,"With a disability","23.5%","24.4%",
"DP02",70.3,,,,
"DP02",71.0,"Population 5 to 15 years","82,080","82,407",
"DP02",72.0,"With a disability","7.3%","7.5%",
"DP02",72.3,,,,
"DP02",73.0,"Population 16 to 64 years","335,813","339,711",
"DP02",74.0,"With a disability","19.7%","21.4%","*"
"DP02",74.3,,,,
"DP02",75.0,"Population 65 years and over","87,506","86,247",
"DP02",76.0,"With a disability","53.1%","52.5%",
"DP02",76.3,,,,
"DP02",76.5,"RESIDENCE 1 YEAR AGO",,,
"DP02",77.0,"Population 1 year and over","550,471","554,200",
"DP02",78.0,"Same house","84.8%","82.6%","*"
"DP02",79.0,"Different house in the U.S.","15.1%","17.0%","*"
"DP02",80.0,"Same county","8.0%","9.3%",
"DP02",81.0,"Different county","7.0%","7.7%",
"DP02",82.0,"Same state","4.3%","4.9%",
"DP02",83.0,"Different state","2.8%","2.8%",
"DP02",84.0,"Abroad","0.1%","0.4%","*"
"DP02",84.3,,,,
"DP02",84.5,"PLACE OF BIRTH",,,
"DP02",85.0,"Total population","557,689","560,730",
"DP02",86.0,"Native","97.9%","97.7%",
"DP02",87.0,"Born in United States","97.6%","97.2%",
"DP02",88.0,"State of residence","66.0%","67.0%",
"DP02",89.0,"Different state","31.5%","30.2%",
