"Annual Estimates of the Population of Combined Statistical Areas: April 1, 2000 to July 1, 2004",,,,,,,,,
"CSA
Code",Geographic area,"Legal/statistical
area description",Population estimates,,,,,1-Apr-00,
,,,1-Jul-04,1-Jul-03,1-Jul-02,1-Jul-01,1-Jul-00,"Estimates
base",Census
102,"Albany-Corvallis-Lebanon, OR ",Combined Statistical Area,"186,767","185,608","184,144","181,682","181,172","181,222","181,222"
104,"Albany-Schenectady-Amsterdam, NY ",Combined Statistical Area,"1,141,637","1,135,354","1,127,376","1,121,535","1,118,810","1,118,095","1,118,095"
112,"Ames-Boone, IA ",Combined Statistical Area,"106,882","106,509","106,839","105,818","106,281","106,205","106,205"
118,"Appleton-Oshkosh-Neenah, WI ",Combined Statistical Area,"372,110","369,545","367,067","363,443","359,582","358,485","358,365"
120,"Asheville-Brevard, NC ",Combined Statistical Area,"416,773","412,002","407,480","403,247","399,802","398,505","398,505"
122,"Atlanta-Sandy Springs-Gainesville, GA-AL ",Combined Statistical Area,"5,034,362","4,925,218","4,819,345","4,712,221","4,583,927","4,548,419","4,548,344"
132,"Baton Rouge-Pierre Part, LA ",Combined Statistical Area,"751,965","744,719","738,341","733,577","730,782","729,355","729,361"
138,"Beckley-Oak Hill, WV ",Combined Statistical Area,"126,224","126,603","126,405","125,772","126,610","126,799","126,799"
140,"Bend-Prineville, OR ",Combined Statistical Area,"155,903","150,208","145,820","140,736","135,950","134,551","134,549"
142,"Birmingham-Hoover-Cullman, AL ",Combined Statistical Area,"1,161,382","1,152,467","1,143,818","1,138,398","1,130,966","1,128,784","1,129,721"
148,"Boston-Worcester-Manchester, MA-NH ",Combined Statistical Area,"5,809,111","5,805,451","5,795,542","5,776,005","5,729,912","5,715,706","5,715,698"
154,"Brownsville-Harlingen-Raymondville, TX ",Combined Statistical Area,"392,056","382,451","373,110","364,156","356,897","355,309","355,309"
160,"Buffalo-Niagara-Cattaraugus, NY ",Combined Statistical Area,"1,237,557","1,241,405","1,243,331","1,247,351","1,252,870","1,254,066","1,254,066"
164,"Cape Girardeau-Sikeston-Jackson, MO-IL ",Combined Statistical Area,"133,153","132,102","131,752","131,480","130,807","130,734","130,734"
172,"Charlotte-Gastonia-Salisbury, NC-SC ",Combined Statistical Area,"2,067,810","2,027,350","1,989,865","1,951,100","1,908,511","1,896,996","1,897,034"
174,"Chattanooga-Cleveland-Athens, TN-GA ",Combined Statistical Area,"647,827","643,361","639,088","635,111","630,668","629,528","629,561"
176,"Chicago-Naperville-Michigan City, IL-IN-WI ",Combined Statistical Area,"9,608,458","9,545,643","9,482,878","9,416,455","9,333,801","9,312,570","9,312,255"
178,"Cincinnati-Middletown-Wilmington, OH-KY-IN ",Combined Statistical Area,"2,100,501","2,088,785","2,077,211","2,067,962","2,055,174","2,050,197","2,050,175"
180,"Claremont-Lebanon, NH-VT ",Combined Statistical Area,"213,850","212,796","211,155","209,633","208,196","207,845","207,845"
184,"Cleveland-Akron-Elyria, OH ",Combined Statistical Area,"2,942,303","2,944,545","2,944,837","2,946,110","2,946,894","2,945,698","2,945,831"
188,"Clovis-Portales, NM ",Combined Statistical Area,"63,827","63,422","62,950","62,962","62,883","63,062","63,062"
192,"Columbia-Newberry, SC ",Combined Statistical Area,"716,665","708,079","699,341","691,885","685,157","683,266","683,266"
194,"Columbus-Auburn-Opelika, GA-AL ",Combined Statistical Area,"423,411","420,222","427,467","423,601","421,624","420,965","420,965"
198,"Columbus-Marion-Chillicothe, OH ",Combined Statistical Area,"1,920,601","1,903,294","1,882,525","1,863,757","1,841,593","1,835,327","1,835,189"
200,"Columbus-West Point, MS ",Combined Statistical Area,"82,137","82,156","82,799","82,940","83,497","83,565","83,565"
202,"Corbin-London, KY ",Combined Statistical Area,"93,559","92,594","91,244","90,048","88,888","88,580","88,580"
204,"Corpus Christi-Kingsville, TX ",Combined Statistical Area,"441,505","437,807","435,958","433,532","435,180","435,243","435,243"
206,"Dallas-Fort Worth, TX ",Combined Statistical Area,"5,931,956","5,813,625","5,696,274","5,569,376","5,413,219","5,377,335","5,377,361"
212,"Dayton-Springfield-Greenville, OH ",Combined Statistical Area,"1,081,164","1,080,965","1,081,244","1,082,104","1,084,928","1,085,093","1,085,094"
214,"Deltona-Daytona Beach-Palm Coast, FL ",Combined Statistical Area,"547,675","530,347","517,200","505,317","495,583","493,175","493,175"
216,"Denver-Aurora-Boulder, CO1",Combined Statistical Area,"2,609,063","2,579,328","2,554,587","2,521,695","2,464,890","2,449,134","2,449,054"
218,"Des Moines-Newton-Pella, IA ",Combined Statistical Area,"582,362","573,885","566,577","559,575","552,448","550,665","550,659"
220,"Detroit-Warren-Flint, MI ",Combined Statistical Area,"5,428,855","5,416,830","5,401,306","5,388,764","5,366,154","5,357,420","5,357,538"
222,"Dothan-Enterprise-Ozark, AL ",Combined Statistical Area,"229,408","227,435","225,260","224,181","223,736","223,605","223,605"
232,"Eau Claire-Menomonie, WI ",Combined Statistical Area,"194,627","192,412","191,156","189,905","188,579","188,195","188,195"
242,"Fairmont-Clarksburg, WV ",Combined Statistical Area,"148,376","148,244","147,925","147,895","148,628","148,742","148,742"
244,"Fargo-Wahpeton, ND-MN ",Combined Statistical Area,"205,930","203,513","201,440","200,504","199,754","199,503","199,503"
