"Table 5.  PAD District 1--Supply, Disposition, and Ending Stocks of Crude Oil and Petroleum Products,  September 2007",,,,,,,,,,,,
,,        (Thousand Barrels),,,,,,,,,,
Commodity,,,Supply,,,,,Disposition,,,,Ending Stocks
,,,Field Production,Refinery and Blender Net Production,Imports (PADD of Entry)a,Net Receipts,Adjust-mentsb,Stock Changec,Refinery and Blender Net Inputs,Exports,Products Suppliedd,
Crude Oil,,,674,-,"45,997",555,426,571,"46,419",663,0,"14,901"
Natural Gas Liquids and LRGs,,,592,"1,300","1,422","2,186",-,-825,682,56,"5,587","7,881"
,Pentanes Plus,,110,-,0,0,-,-12,0,1,121,33
,Liquefied Petroleum Gases,,482,"1,300","1,422","2,186",-,-813,682,55,"5,466","7,848"
,,Ethane/Ethylene,8,8,0,0,-,0,0,0,16,0
,,Propane/Propylene,318,"1,554","1,174","2,162",-,-407,0,16,"5,599","4,457"
,,Normal Butane/Butylene,107,-418,0,24,-,-456,167,38,-36,"2,983"
,,Isobutane/Isobutylene,49,156,248,0,-,50,515,0,-112,408
Other Liquids,,,-,-,"24,904","6,739",-436,"2,570","29,750",187,"-1,300","35,489"
,Other Hydrocarbons/Oxygenates,,-,-,470,0,"3,465",240,"3,555",140,0,"3,763"
,Unfinished Oils,,-,-,"5,134",294,-,"1,258","5,470",0,"-1,300","9,210"
,Motor Gasoline Blend. Comp. (MGBC),,-,-,"19,300","6,445","-3,902","1,072","20,725",46,0,"22,516"
,,Reformulated,-,-,"8,658","6,089","-2,710",165,"11,871",1,0,"13,898"
,,Conventional,-,-,"10,642",356,"-1,191",907,"8,854",46,0,"8,618"
,Aviation Gasoline Blend. Comp.,,-,-,0,0,-,0,0,0,0,0
Finished Petroleum Products,,,-,"77,811","29,948","70,146","4,110","5,155",-,"3,904","172,956","122,678"
,Finished Motor Gasoline,,-,"48,482","12,286","34,824","4,110",737,-,158,"98,806","28,483"
,,Reformulated,-,"33,494",1,0,"2,912",26,-,7,"36,374",180
,,Conventional,-,"14,988","12,285","34,824","1,198",711,-,151,"62,433","28,303"
,Finished Aviation Gasoline,,-,0,8,101,-,35,-,0,74,102
,Kerosene-Type Jet Fuel,,-,"2,375","2,809","13,298",-,"1,400",-,6,"17,076","11,083"
,Kerosene,,-,438,24,0,-,7,-,1,454,"1,492"
,Distillate Fuel Oile,,-,"14,882","7,152","19,473",0,"2,568",-,"1,529","37,410","57,249"
,,15 ppm sulfur and under,-,"7,848","3,887","9,521",-58,457,-,0,"20,741","16,151"
,,Greater than 15 ppm to 500 ppm sulfur,-,"1,407",299,"4,141",58,581,-,"1,264","4,060","8,473"
,,Greater than 500 ppm sulfur,-,"5,627","2,966","5,811",-,"1,530",-,265,"12,609","32,625"
,Residual Fuel Oilf,,-,"4,048","5,894",900,-,"1,530",-,"1,614","7,698","15,307"
,,Less than 0.31 percent sulfur,-,"1,360",723,135,-,692,-,-,-,"3,897"
,,0.31 to 1.00 percent sulfur,-,"1,914",849,0,-,-179,-,-,-,"5,782"
,,Greater than 1.00 percent sulfur,-,774,"4,322",765,-,"1,017",-,-,-,"5,628"
,Petrochemical Feedstocks,,-,510,119,91,-,-55,-,-,775,433
,,Naphtha for Petro. Feed. Use,-,510,112,108,-,-55,-,-,785,433
,,Other Oils for Petro. Feed. Use,-,0,7,-17,-,0,-,-,-10,0
,Special Naphthas,,-,19,44,11,-,-2,-,4,72,58
,Lubricants,,-,543,154,335,-,-33,-,138,927,"1,935"
,Waxes,,-,14,15,0,-,-9,-,29,9,80
,Petroleum Coke,,-,"1,720",818,-,-,32,-,330,"2,176",106
,,Marketable,-,672,818,-,-,32,-,330,"1,128",106
,,Catalyst,-,"1,048",-,-,-,-,-,-,"1,048",-
,Asphalt and Road Oil,,-,"2,678",621,"1,113",-,"-1,067",-,86,"5,393","6,222"
,Still Gas,,-,"2,014",-,-,-,-,-,-,"2,014",-
,Miscellaneous Products,,-,88,4,0,-,12,-,11,69,128
Total,,,"1,266","79,111","102,271","79,626","4,100","7,471","76,851","4,809","177,243","180,949"
