    "","Table 1.--U.S. International Transactions",
    "","[Millions of dollars]",
    "","",
    "","",
    "","",
"Line","(Credits +; debits -)/1/",
    "","",
    "","Current account ",
    "","",
   "1","Exports of goods and services and income receipts.......................................................................",
    "","",
   "2","  Exports of goods and services.........................................................................................",
    "","",
   "3","    Goods, balance of payments basis/2/.................................................................................",
    "","",
   "4","    Services/3/.........................................................................................................",
   "5","      Transfers under U.S. military agency sales contracts/4/...........................................................",
    "","",
   "6","      Travel............................................................................................................",
   "7","      Passenger fares...................................................................................................",
   "8","      Other transportation..............................................................................................",
    "","",
   "9","      Royalties and license fees/5/.....................................................................................",
  "10","      Other private services/5/.........................................................................................",
  "11","      U.S. Government miscellaneous services............................................................................",
    "","",
  "12","  Income receipts.......................................................................................................",
  "13","    Income receipts on U.S.-owned assets abroad.........................................................................",
  "14","      Direct investment receipts........................................................................................",
  "15","      Other private receipts............................................................................................",
  "16","      U.S. Government receipts..........................................................................................",
  "17","    Compensation of employees...........................................................................................",
    "","",
  "18","Imports of goods and services and income payments.......................................................................",
    "","",
  "19","  Imports of goods and services.........................................................................................",
    "","",
  "20","    Goods, balance of payments basis/2/.................................................................................",
    "","",
  "21","    Services/3/.........................................................................................................",
  "22","      Direct defense expenditures.......................................................................................",
    "","",
  "23","      Travel............................................................................................................",
  "24","      Passenger fares...................................................................................................",
  "25","      Other transportation..............................................................................................",
    "","",
  "26","      Royalties and license fees/5/.....................................................................................",
  "27","      Other private services/5/.........................................................................................",
  "28","      U.S. Government miscellaneous services............................................................................",
    "","",
  "29","  Income payments.......................................................................................................",
  "30","    Income payments on foreign-owned assets in the United States........................................................",
  "31","      Direct investment payments........................................................................................",
  "32","      Other private payments............................................................................................",
  "33","      U.S. Government payments..........................................................................................",
  "34","    Compensation of employees...........................................................................................",
    "","",
  "35","Unilateral current transfers, net.......................................................................................",
    "","",
  "36","  U.S. Government grants/4/.............................................................................................",
  "37","  U.S. Government pensions and other transfers..........................................................................",
  "38","  Private remittances and other transfers/6/............................................................................",
    "","",
    "","Capital and financial account",
    "","",
    "","Capital account",
    "","",
  "39","Capital account transactions, net ......................................................................................",
    "","",
    "","Financial account",
    "","",
  "40","U.S.-owned assets abroad, net (increase/financial outflow (-))..........................................................",
    "","",
  "41","  U.S. official reserve assets, net.....................................................................................",
  "42","    Gold/7/.............................................................................................................",
  "43","    Special drawing rights..............................................................................................",
  "44","    Reserve position in the International Monetary Fund.................................................................",
  "45","    Foreign currencies..................................................................................................",
    "","",
  "46","  U.S. Government assets, other than official reserve assets, net.......................................................",
  "47","    U.S. credits and other long-term assets.............................................................................",
  "48","    Repayments on U.S. credits and other long-term assets/8/...........................................................",
  "49","    U.S. foreign currency holdings and U.S. short-term assets, net......................................................",
    "","",
  "50","  U.S. private assets, net..............................................................................................",
  "51","    Direct investment...................................................................................................",
  "52","    Foreign securities..................................................................................................",
  "53","    U.S. claims on unaffiliated foreigners reported by U.S. nonbanking concerns.........................................",
  "54","    U.S. claims reported by U.S. banks, not included elsewhere..........................................................",
    "","",
  "55","Foreign-owned assets in the United States, net (increase/financial inflow (+))..........................................",
    "","",
  "56","  Foreign official assets in the United States, net.....................................................................",
  "57","    U.S. Government securities..........................................................................................",
  "58","      U.S. Treasury securities/9/......................................................................................",
