SUMLEV,STATE,COUNTY,CTYNAME,HUCENSUS2000,HUESTBASE2000,HUEST_2000,HUEST_2001,HUEST_2002,HUEST_2003,HUEST_2004,HUEST_2005,HUEST_2006
050,27,001,Aitkin County,14168,14168,14223,14429,14734,15053,15410,15728,16043
050,27,003,Anoka County,108091,108091,108593,110574,112854,115250,118013,121187,123308
050,27,005,Becker County,16612,16612,16667,16876,17104,17354,17658,17969,18224
050,27,007,Beltrami County,16989,16989,17045,17233,17445,17643,17958,18241,18388
050,27,009,Benton County,13460,13461,13579,14045,14617,14977,15369,15706,16035
050,27,011,Big Stone County,3171,3171,3173,3181,3191,3211,3236,3253,3269
050,27,013,Blue Earth County,21971,21970,22051,22365,22765,23357,24185,24579,25024
050,27,015,Brown County,11163,11163,11170,11193,11250,11323,11478,11568,11604
050,27,017,Carlton County,13721,13721,13797,14094,14308,14540,14794,15007,15322
050,27,019,Carver County,24883,24883,25219,26555,27693,29105,30506,31686,32616
050,27,021,Cass County,21286,21287,21393,21800,22280,22941,23472,23816,25183
050,27,023,Chippewa County,5855,5855,5865,5903,5927,5939,5959,5976,5984
050,27,025,Chisago County,15533,15533,15697,16345,17012,17598,18232,18692,19004
050,27,027,Clay County,19746,19746,19799,20007,20224,20695,21195,21891,22508
050,27,029,Clearwater County,4114,4114,4125,4160,4194,4229,4260,4279,4279
050,27,031,Cook County,4708,4708,4736,4849,4960,5073,5175,5305,5408
050,27,033,Cottonwood County,5376,5376,5377,5383,5409,5411,5419,5425,5434
050,27,035,Crow Wing County,33483,33483,33686,34476,35256,36188,37207,38237,39130
050,27,037,Dakota County,133750,133750,134517,137561,140577,143992,147976,151318,153598
050,27,039,Dodge County,6642,6642,6687,6864,7064,7254,7444,7592,7747
050,27,041,Douglas County,16694,16694,16783,17130,17645,18163,18725,19249,19687
050,27,043,Faribault County,7247,7247,7248,7250,7251,7262,7272,7284,7297
050,27,045,Fillmore County,8908,8908,8936,9047,9209,9322,9441,9556,9657
050,27,047,Freeborn County,13996,13996,14000,14090,14100,14139,14171,14165,14145
050,27,049,Goodhue County,17879,17879,17951,18243,18545,18853,19206,19561,19872
050,27,051,Grant County,3098,3098,3104,3123,3134,3151,3165,3174,3178
050,27,053,Hennepin County,468824,468826,469822,473798,477431,483318,487947,492083,495993
050,27,055,Houston County,8168,8168,8185,8250,8307,8372,8452,8554,8620
050,27,057,Hubbard County,12229,12228,12271,12413,12540,12676,12796,12915,12985
050,27,059,Isanti County,12062,12061,12142,12460,13241,13754,14194,14871,15380
050,27,061,Itasca County,24528,24528,24624,24991,25316,25640,25991,26368,26787
050,27,063,Jackson County,5092,5092,5096,5111,5122,5139,5150,5162,5176
050,27,065,Kanabec County,6846,6847,6877,6988,7104,7244,7366,7469,7573
050,27,067,Kandiyohi County,18415,18415,18466,18665,18828,19065,19296,19525,19717
050,27,069,Kittson County,2719,2719,2722,2732,2740,2746,2746,2750,2746
050,27,071,Koochiching County,7719,7719,7734,7787,7857,7913,7955,7993,8060
050,27,073,Lac qui Parle County,3774,3774,3776,3782,3786,3789,3788,3788,3785
050,27,075,Lake County,6840,6840,6872,6996,7077,7163,7239,7335,7411
050,27,077,Lake of the Woods County,3238,3238,3251,3293,3327,3360,3405,3473,3486
050,27,079,Le Sueur County,10858,10858,10908,11116,11369,11556,11796,12073,12325
050,27,081,Lincoln County,3043,3043,3048,3066,3072,3081,3095,3108,3145
050,27,083,Lyon County,10298,10298,10307,10395,10495,10661,10779,10831,10958
050,27,085,McLeod County,14087,14087,14132,14310,14528,14773,15039,15334,15562
050,27,087,Mahnomen County,2700,2700,2707,2727,2755,2775,2800,2816,2812
050,27,089,Marshall County,4791,4791,4801,4832,4868,4906,4932,4950,4942
050,27,091,Martin County,9800,9800,9820,9898,9924,9941,9979,9997,10061
050,27,093,Meeker County,9821,9820,9856,9996,10156,10272,10439,10614,10732
050,27,095,Mille Lacs County,10467,10467,10518,10712,10934,11216,11537,11826,12043
050,27,097,Morrison County,13870,13870,13945,14237,14563,14875,15194,15467,15738
050,27,099,Mower County,16251,16251,16274,16364,16570,16676,16780,16894,16945
050,27,101,Murray County,4357,4357,4367,4404,4430,4458,4500,4525,4550
050,27,103,Nicollet County,11240,11240,11274,11407,11570,11919,12193,12431,12597
050,27,105,Nobles County,8465,8465,8468,8477,8503,8506,8524,8544,8558
050,27,107,Norman County,3455,3455,3458,3467,3474,3478,3486,3508,3510
