Bureau of Justice Statistics,,,,,,,,,,,,,,,,
Filename:  fjs05st703.csv,,,,,,,,,,,,,,,,
"Table 7.3. Outcomes of probation supervision, by offense, October 1, 2004 - September 30, 2005",,,,,,,,,,,,,,,,
"Report title:  Compendium of Federal Justice Statistics, 2005  NCJ # 220383",,,,,,,,,,,,,,,,
Data source:  Federal Justice Statistics Program  ,,,,,,,,,,,,,,,,
Author:  Urban Institute under the supervision of BJS,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov  202-307-0765,,,,,,,,,,,,,,,,
Date of version: 8/29/08,,,,,,,,,,,,,,,,

"Table 7.3. Outcomes of probation supervision, by offense, October 1, 2004 - September 30, 2005",,,,,,,,,,,,,,,,

,,,,,Percent of probation supervisions terminating with--,,,,,,,,,,,
,,,,,,,Technical violations/a,,,,,,,,,
Most serious offense of conviction,,,,Number of probation terminations,No violation,,Drug use,,Fugitive Status,,Other,,New crime/b,,Administrative case closures,
,All offenses,,,"15,014",82.1,%,2.9,%,2.1,%,4.6,%,5.7,%,2.7,%
Felonies,,,,"7,737",84.6,%,2.3,%,1.7,%,4.1,%,5.2,%,2,%
,Violent offenses,,,165,70.9,%,2.4,%,6.7,%,9.1,%,8.5,%,2.4,%
,,Murder/c,,9,^ ,,^ ,,^ ,,^ ,,^ ,,^ ,
,,Assault,,49,71.4,,0,,10.2,,8.2,,10.2,,0,
,,Robbery,,63,87.3,,3.2,,0,,3.2,,1.6,,4.8,
,,Sexual abuse/c,,36,41.7,,5.6,,13.9,,19.4,,16.7,,2.8,
,,Kidnapping,,5,^ ,,^ ,,^ ,,^ ,,^ ,,^ ,
,,Threats against the President,,3,^ ,,^ ,,^ ,,^ ,,^ ,,^ ,
,Property offenses,,,"4,139",84.9,%,2.1,%,1.9,%,4.1,%,4.8,%,2.2,%
,,Fraudulent,,"3,390",86.1,%,1.8,%,1.7,%,3.9,%,4.3,%,2.1,%
,,,Embezzlement,301,90.4,,0.7,,0.7,,2.7,,3,,2.7,
,,,Fraud/c,"2,607",87.2,,1.6,,1.6,,3.3,,4,,2.2,
,,,Forgery,62,77.4,,3.2,,1.6,,9.7,,4.8,,3.2,
,,,Counterfeiting,420,77.6,,4,,2.6,,7.6,,7.1,,1,
,,Other,,749,79.3,%,3.5,%,2.9,%,5.1,%,6.8,%,2.4,%
,,,Burglary,16,56.3,,6.3,,6.3,,25,,6.3,,0,
,,,Larceny/c,609,80,,3.8,,3,,5.3,,6.1,,2,
,,,Motor vehicle theft,28,75,,0,,3.6,,3.6,,14.3,,3.6,
,,,Arson and explosives,26,73.1,,3.8,,0,,3.8,,19.2,,0,
,,,Transportation of stolen property,54,85.2,,1.9,,3.7,,0,,3.7,,5.6,
,,,Other property offenses/c,16,75,,0,,0,,0,,12.5,,12.5,
,Drug offenses,,,"1,315",84.1,%,3.3,%,1,%,4.3,%,6.1,%,1.3,%
,,Trafficking,,"1,167",83.6,,3.3,,1.1,,4.5,,6.3,,1.2,
,,Possession and other drug offenses,,148,87.8,,2.7,,0,,2.7,,4.7,,2,
