 
"Organization Name - Effective 27-JUN-05","Grant Number","NIH Reference","PI Name","Project Title","NIH Dept Combining Name","NIH MC Combining Name","Award","City","Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","  "
"ACTIVE PASS PHARMACEUTICALS, INC.","1UC1AI062530-01","6845456","Macdonald, Ian David","Development of a treatment for secretory diarrhea","","","$ 2,840,747","VANCOUVER","CANADA","000V6-S 2L","","","","  "
"AFFINIUM PHARMACEUTICALS, INC.","5U01AI057291-02","6806451","Kaplan, Nachum ","Novel antibacterial agents for treatment of Tularemia","","","$ 2,995,855","TORONTO","CANADA","0","","","","  "
"AIN SHAMS UNIVERSITY","5R21AI054887-02","6743172","Kamal, Sanaa M","Features of HCV and Schistosoma mansoni coinfection","","","$ 162,000","CAIRO","EGYPT","0","","","","  "
"ALL-INDIA INSTITUTE OF MEDICAL SCIENCES","5U01AI053719-02","6707551","Bhan, Maharaj K","INDO-US Collaboration to Develop Rotavirus Vaccines","","","$ 526,593","NEW DELHI","INDIA","0","","","","  "
"ARGENTINA INST OF NEUROLOGICAL RESEARCH","5R01NS046094-03","6801828","Fridman, Esteban A","Novel brain stimulation to enhance stroke recovery","","","$ 54,000","BUENOS AIRES","ARGENTINA","0","","","","  "
"ARGENTINEAN NATIONAL REFERENCE CTR/AIDS","5R03AI056321-02","6798310","Salomon, Eduardo H","ARGENTINEAN INTEGRATED PROGRAM FOR HIV/AIDS RESEARCH","","","$ 49,680","BUENOS AIRES","ARGENTINA","0","","","","  "
"ART ADVANCED RESEARCH TECHNOLOGIES","1R21CA110173-01","6830043","Intes, Xavier ","Fast Optical Imager for tumor detection","","","$ 212,110","SAINT-LAURENT","CANADA","000H4-S 2A","","","","  "
"ASOCIACION CIVIL IMPACTA SALUD Y EDUCACN","1R03AI058811-01A1","6844593","Sanchez, Sixto E","Feasibility of CBVCT in Lima Peru","","","$ 53,996","LIMA","PERU","0","","","","  "
"ASOCIACION CIVIL IMPACTA SALUD Y EDUCACN","1U19AI053218-01A2","6785640","Sanchez, Jorge L","HIV pathogenesis, prevention and treatment in the Andes","","","$ 1,000,000","LIMA","PERU","0","","","","  "
"AUSTRALIAN NATIONAL UNIVERSITY","5R01AI052127-03","6761776","Goodnow, Christopher C","Genes for Tolerance and Immunity Consortium","","","$ 1,653,757","CANBERRA","AUSTRALIA","00200","","","","  "
"AVECIA, LTD","N01AI030052","","Duchars, Matthew","PROD & TEST OF ANTHRAX RECOMBINANT PROTECTIVE ANTIGEN (RPA) VACCINE","","","$ 26,000,000","MANCHESTER","UNITED KINGDOM","0","","","","  "
"AVECIA, LTD","N01AI400034","","Carver, Mark","DEV, TEST & EVAL OF CANDIDATE VACCINES AGAINST PLAGUE","","","$ 21,067,201","MANCHESTER","UNITED KINGDOM","0","","","","  "
"BANGLADESH MEDICAL RESEARCH COUNCIL","5R25TW006058-03","6774801","Rashid, Harun A","TRAINING ON RESEARCH BIOETHICS (TORB)","","","$ 150,000","DHAKA","BANGLADESH","0","","","","  "
"BAR-ILAN UNIVERSITY","1R01AI061062-01","6808148","Louzoun, Yoram ","Analysis of T cell epitope repertoire","","","$ 158,000","RAMAT GAN","ISRAEL","0","","","","  "
