

"tblid","profln","totcest","totcme","cest","cme"
" ","           0"," "," "," "," "
" ","           1"," "," "," "," "
"S0201","           1","2,705,092"," +/-5,452","         2,671,001","             +/-5,925"
" ","           2"," "," "," "," "
"S0201","           2","     47.7","   +/-0.1","              47.6","               +/-0.1"
"S0201","           3","     52.3","   +/-0.1","              52.4","               +/-0.1"
" ","           3"," "," "," "," "
"S0201","           4","      6.4","   +/-0.1","               6.4","               +/-0.1"
"S0201","           5","     19.4","   +/-0.1","              19.5","               +/-0.1"
"S0201","           6","     10.3","   +/-0.1","              10.4","               +/-0.1"
"S0201","           7","     14.0","   +/-0.1","              14.0","               +/-0.1"
"S0201","           8","     13.7","   +/-0.1","              13.7","               +/-0.1"
"S0201","           9","     12.5","   +/-0.1","              12.5","               +/-0.1"
"S0201","          10","     10.8","   +/-0.1","              10.7","               +/-0.1"
"S0201","          11","      7.2","   +/-0.1","               7.2","               +/-0.1"
"S0201","          12","      5.6","   +/-0.1","               5.6","               +/-0.1"
" ","          12"," "," "," "," "
"S0201","          13","     34.8","   +/-0.2","              34.7","               +/-0.2"
" ","          13"," "," "," "," "
"S0201","          14","     74.1","   +/-0.1","              74.1","               +/-0.1"
"S0201","          15","     69.6","   +/-0.1","              69.5","               +/-0.1"
"S0201","          16","     15.7","   +/-0.1","              15.6","               +/-0.1"
"S0201","          17","     12.8","   +/-0.1","              12.8","               +/-0.1"
" ","          17"," "," "," "," "
"S0201","          18","  699,429"," +/-2,276","           692,994","             +/-2,364"
"S0201","          19","     50.9","   +/-0.3","              50.9","               +/-0.3"
"S0201","          20","     49.1","   +/-0.3","              49.1","               +/-0.3"
" ","          20"," "," "," "," "
"S0201","          21","2,005,663"," +/-4,200","         1,978,007","             +/-4,949"
"S0201","          22","     46.6","   +/-0.1","              46.5","               +/-0.1"
"S0201","          23","     53.4","   +/-0.1","              53.5","               +/-0.1"
" ","          23"," "," "," "," "
"S0201","          24","  658,645"," +/-2,328","           651,793","             +/-2,400"
"S0201","          25","     49.0","   +/-0.1","              49.0","               +/-0.2"
"S0201","          26","     51.0","   +/-0.1","              51.0","               +/-0.2"
" ","          26"," "," "," "," "
"S0201","          27","1,001,122"," +/-2,612","           984,840","             +/-3,531"
"S0201","          28","     46.3","   +/-0.1","              46.2","               +/-0.1"
"S0201","          29","     53.7","   +/-0.1","              53.8","               +/-0.1"
" ","          29"," "," "," "," "
"S0201","          30","  345,896"," +/-1,128","           341,374","             +/-1,569"
"S0201","          31","     42.7","   +/-0.1","              42.5","               +/-0.2"
"S0201","          32","     57.3","   +/-0.1","              57.5","               +/-0.2"
" ","          32"," "," "," "," "
" ","          33"," "," "," "," "
"S0201","          33","2,669,628"," +/-5,527","         2,636,002","             +/-5,848"
"S0201","          34","     47.5","   +/-0.4","              47.4","               +/-0.4"
