-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
WES2        49718.000    1995     1     1     0
WES2        52274.750    2001    12    31    18
WES2      1492233.369 -4458089.483  4296046.010
WES2           42.613      -71.493       85.021
WES2     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.536401    -0.540362    -1.788460
49718.25     0.513466    -0.345972    -0.710317
49718.50     0.632880     0.090709     0.877070
49718.75     0.329080     0.121424     1.998907
49719.00     0.453361     0.125991     2.198422
49719.25     0.453547     0.269134     2.711673
49719.50     0.313314     0.407724     3.089105
49719.75    -0.080529     0.109583     2.703058
49720.00     0.014928    -0.120495     1.946660
49720.25    -0.049608    -0.246268     0.924190
49720.50    -0.102606    -0.218834     0.119083
49720.75    -0.142189    -0.329770    -0.336264
49721.00     0.190592    -0.317438    -0.202414
49721.25     0.095853    -0.294079     0.081585
49721.50     0.289706    -0.119321     0.781946
49721.75     0.185930    -0.265583     1.509362
49722.00     0.480639    -0.372046     1.685283
49722.25     0.575451    -0.452351     1.730555
49722.50     0.818165    -0.335788     1.800844
49722.75     0.780490    -0.433462     1.833401
49723.00     1.173223    -0.322744     2.532683
49723.25     1.208884    -0.285578     2.789973
49723.50     1.277090    -0.193522     2.755234
49723.75     0.881194    -0.223532     3.009720
49724.00     0.824592    -0.155165     3.654327
49724.25     0.432933     0.055337     4.740927
49724.50     0.114394     0.347031     6.348274
49724.75    -0.344518    -0.094178     5.406783
49725.00    -0.010185    -0.319337     3.552448
49725.25    -0.204155    -0.444444     1.673577
49725.50    -0.183159    -0.340922     0.888524
49725.75    -0.404568    -0.424539     0.474176
49726.00    -0.095413    -0.457203     0.182752
49726.25    -0.138586    -0.446523    -0.053451
49726.50     0.043688    -0.331610    -0.420501
49726.75    -0.125249    -0.462200    -1.063950
49727.00     0.325942    -0.518829    -1.765027
49727.25     0.402519    -0.544799    -2.665013
49727.50     0.607155    -0.448753    -3.290718
49727.75     0.613002    -0.550966    -3.769878
49728.00     1.123635    -0.489327    -3.843869
49728.25     1.278517    -0.435848    -4.103360
49728.50     1.439579    -0.190921    -3.897269
49728.75     1.261463    -0.217841    -3.746619
49729.00     1.444004    -0.122020    -3.329855
49729.25     1.098606    -0.039741    -2.885993
49729.50     0.919816     0.264081    -1.813745
49729.75     0.407644     0.199888    -1.057640
49730.00     0.326949     0.176549    -0.510919
49730.25    -0.048386     0.075212    -0.320265
49730.50    -0.088883     0.060782    -0.533522
49730.75    -0.293240    -0.226925    -1.660574
49731.00    -0.061730    -0.308661    -2.205029
49731.25    -0.153060    -0.372944    -2.520796
49731.50    -0.116744    -0.212758    -2.435569
49731.75    -0.400278    -0.306459    -2.484651
49732.00    -0.258454    -0.275268    -2.080021
49732.25    -0.532573    -0.252250    -1.444528
49732.50    -0.660206    -0.101145    -0.566116
49732.75    -0.934738    -0.233327    -0.088124
49733.00    -0.759095    -0.281094     0.217873
49733.25    -0.922982    -0.279640     0.202911
49733.50    -0.835348    -0.119064     0.210055
49733.75    -0.860634    -0.252959    -0.402687
49734.00    -0.593726    -0.319996    -0.485366
49734.25    -0.576452    -0.396953    -0.728634
49734.50    -0.365477    -0.332530    -0.859284
49734.75    -0.465624    -0.520347    -1.658263
49735.00    -0.100027    -0.582587    -2.267609
49735.25    -0.041359    -0.604328    -2.939337
49735.50     0.026226    -0.473819    -3.355370
49735.75    -0.136948    -0.618861    -3.781999
49736.00     0.096084    -0.626830    -3.540425
49736.25    -0.050404    -0.581484    -2.952269
49736.50    -0.002812    -0.321985    -2.108442
49736.75    -0.327236    -0.281773    -1.392724
49737.00    -0.390228    -0.194599    -0.816332
49737.25    -0.507616     0.031315     0.335540
49737.50    -0.590994     0.452118     1.605157
49737.75    -0.894319     0.581858     2.739995
49738.00    -0.889458     0.656082     3.741728
49738.25    -0.984791     0.699687     4.346325
49738.50    -1.045440     0.810253     4.394942
49738.75    -1.211202     0.593649     3.814156
49739.00    -1.008867     0.446140     3.309343
49739.25    -1.062299     0.369823     2.992864
49739.50    -1.004688     0.433953     2.956321
49739.75    -1.134457     0.276414     2.770622
49740.00    -0.869786     0.164634     2.552985
49740.25    -0.913928     0.104773     2.448892
49740.50    -0.800616     0.194023     2.376260
49740.75    -0.974639     0.062501     1.934281
49741.00    -0.823408     0.029527     1.498636
49741.25    -0.950190     0.029835     1.640852
49741.50    -0.961568     0.144846     1.801393
49741.75    -1.323333    -0.128501     1.388624
49742.00    -1.233150    -0.319730     0.966537
49742.25    -1.348942    -0.427368     0.687433
49742.50    -1.299775    -0.357667     0.584206
49742.75    -1.560761    -0.491412     0.455694
49743.00    -1.343671    -0.498053     0.581085
49743.25    -1.481883    -0.520534     0.657573
49743.50    -1.525803    -0.362988     0.968683
49743.75    -1.846292    -0.469089     1.026641
49744.00    -1.600196    -0.425247     1.303681
49744.25    -1.762814    -0.446075     1.188048
49744.50    -1.701534    -0.276101     1.258216
49744.75    -1.890583    -0.450457     1.097767
49745.00    -1.710417    -0.559303     0.681510
49745.25    -1.794488    -0.650745     0.385582
49745.50    -1.474365    -0.521778     0.348223
49745.75    -1.470900    -0.674947    -0.191689
49746.00    -1.104993    -0.749483    -0.382556
49746.25    -0.988211    -0.875553    -0.998465
49746.50    -0.879712    -0.821694    -1.071250
49746.75    -1.130451    -1.033210    -1.304877
49747.00    -1.028895    -1.023798    -0.644910
49747.25    -1.378866    -0.957527     0.211580
49747.50    -1.531206    -0.731059     1.401272
49747.75    -1.872969    -0.708919     2.262589
49748.00    -1.793673    -0.577397     3.308687
49748.25    -2.037369    -0.469022     3.921257
49748.50    -2.177883    -0.278791     4.528395
49748.75    -2.382920    -0.287233     4.909514
49749.00    -2.207012    -0.244604     5.613607
49749.25    -2.220649    -0.183586     6.141640
49749.50    -2.097408     0.013096     6.320243
49749.75    -1.982128    -0.106576     5.803933
49750.00    -1.507200    -0.095854     5.382563
49750.25    -1.259018    -0.065225     5.039937
49750.50    -1.115358     0.015493     4.406711
49750.75    -1.184901    -0.167450     3.130106
49751.00    -0.853306    -0.317267     1.840376
49751.25    -0.736202    -0.366030     0.778145
49751.50    -0.562678    -0.258084     0.215114
49751.75    -0.597265    -0.298896    -0.016276
49752.00    -0.256056    -0.201152     0.466736
49752.25    -0.184224     0.065785     1.268380
49752.50     0.023616     0.578555     2.895659
49752.75    -0.054256     0.880808     5.065444
49753.00     0.010783     1.061436     7.785370
49753.25    -0.419413     0.944157     9.367946
49753.50    -0.336419     0.771674     9.221355
49753.75    -0.376928     0.479061     8.421399
49754.00     0.020844     0.254290     7.271756
49754.25     0.280194     0.262149     6.799986
49754.50     0.476641     0.496536     6.725717
49754.75     0.449283     0.457220     6.295718
49755.00     0.893716     0.428024     5.861796
49755.25     0.949186     0.374518     5.196981
49755.50     1.095136     0.518894     4.845667
49755.75     0.871052     0.410780     4.476781
49756.00     1.047100     0.386757     4.457294
49756.25     0.896454     0.388229     4.209489
49756.50     0.892868     0.546919     4.663676
49756.75     0.607726     0.371305     4.519845
49757.00     0.649299     0.372317     4.970816
49757.25     0.477437     0.376004     5.069219
49757.50     0.435479     0.596974     5.356342
49757.75     0.042024     0.599253     5.548688
49758.00     0.202192     0.664623     6.062232
49758.25     0.071735     0.576948     5.402494
49758.50     0.135394     0.776123     5.143880
49758.75    -0.093617     0.769557     4.651642
49759.00    -0.053034     0.894603     5.330023
49759.25    -0.476655     0.821478     5.666451
49759.50    -0.667426     0.771413     5.569217
49759.75    -1.079357     0.521656     5.234366
49760.00    -1.048819     0.376515     5.114746
49760.25    -1.462133     0.051949     4.373191
49760.50    -1.665787    -0.064233     3.575945
49760.75    -2.020291    -0.451888     2.735752
49761.00    -1.836212    -0.633308     1.780193
49761.25    -1.789662    -0.737577     0.756596
49761.50    -1.602348    -0.536250     0.493290
49761.75    -1.690678    -0.554867     0.226786
49762.00    -1.435526    -0.441610     0.588032
49762.25    -1.297503    -0.388664     0.564867
49762.50    -1.087563    -0.315904     0.181351
49762.75    -0.963633    -0.480218    -0.704068
49763.00    -0.578771    -0.463383    -0.835371
49763.25    -0.509232    -0.467518    -1.630393
49763.50    -0.366324    -0.181151    -1.372437
49763.75    -0.667409    -0.038679    -0.304136
49764.00    -0.710276     0.170715     1.809125
