"Table 6-A
Federal Expenditures from Own Funds for Highway Transportation by Agency: FY 1985-2002
(Current $ millions)",,,,,,,,,,,,,,,,,,
Agency and Program,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
"Highway Expenditrues, total"," 15,039 "," 15,528 "," 14,427 "," 15,584 "," 14,987 "," 15,517 "," 15,921 "," 16,837 "," 18,144 "," 20,118 "," 20,149 "," 20,695 "," 21,425 "," 20,725 "," 23,553 "," 27,759 "," 29,945 "," 33,209 "
"Department of Transportation, total"," 13,098 "," 13,845 "," 12,972 "," 14,256 "," 13,763 "," 14,607 "," 14,839 "," 15,907 "," 16,941 "," 19,097 "," 19,410 "," 19,819 "," 20,379 "," 19,615 "," 22,501 "," 26,636 "," 28,693 "," 31,801 "
"Federal Highway Administration, total"," 12,883 "," 13,618 "," 12,737 "," 14,002 "," 13,485 "," 14,293 "," 14,539 "," 15,601 "," 16,637 "," 18,776 "," 19,066 "," 19,482 "," 20,015 "," 19,238 "," 22,083 "," 26,152 "," 28,125 "," 31,112 "
"Highway Trust Fund, total"," 12,658 "," 13,466 "," 12,639 "," 13,912 "," 13,395 "," 14,206 "," 14,434 "," 15,366 "," 16,262 "," 18,488 "," 18,866 "," 19,217 "," 19,905 "," 19,049 "," 22,026 "," 25,720 "," 27,858 "," 30,593 "
       Interstate and ABCD Funds, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
       Forest Highway Funds, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
       Public Lands Funds, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
       Alaska Assistance Fund, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
"Interstate and FAP, FAS, FAU Funds"," 9,925 "," 10,271 "," 9,476 "," 10,690 "," 10,044 "," 10,099 "," 10,232 ", - , - , - , - , - , - , - , - , - , - , - 
Bridge Replacement Funds," 1,485 "," 1,679 "," 1,604 "," 1,638 "," 1,491 "," 1,520 "," 1,454 ", - , - , - , - , - , - , - , - , - , - , - 
Federal Lands Highways, 176 , 177 , 157 , 167 , 158 , 169 , 155 , 164 , 173 , 448 , - , - , - , - , - , - , - , - 
General Support Federal-Aid Funds," 1,072 "," 1,339 "," 1,403 "," 1,417 "," 1,702 "," 2,419 "," 2,594 "," 15,202 "," 16,089 "," 18,040 "," 18,866 "," 19,217 "," 19,905 "," 19,049 "," 22,026 "," 25,720 "," 27,858 "," 30,593 "
