Time,Speed,Location,County,State,Lat,Lon,Comments
1405,UNK,4 N INGLIS,LEVY,FL,29.09,-82.66,REPORTS OF TREES DOWN 4 MILES NORTH OF INGLIS ALONG HWY 19 (TBW)
1616,UNK,3 SW NORTH MYRTLE BEACH,AMZ254,SC,33.8,-78.71,LARGE TREE LIMBS DOWN 14 TO 16 INCHES IN DIAMETER CAUSING ROOF DAMAGE AT PINEWOOD ACRES ON WATSON DR. JUST EAST OF CRE-NORTH MYRTLE AIRPORT. (ILM)
1620,UNK,BEEKMAN,DUTCHESS,NY,41.61,-73.71,SEVERAL TREES AND WIRES DOWN WITH DAMAGE TO A HOME. (ALY)
1813,UNK,WESTFIELD,HAMPDEN,MA,42.14,-72.76,WIRES DOWN. (BOX)
1816,UNK,EAST GRANBY,HARTFORD,CT,41.93,-72.72,TREE DOWN ON WIRES ON NORTH ROAD. (BOX)
1818,UNK,WINCHENDON,WORCESTER,MA,42.68,-72.04,LARGE BRANCHES DOWN (BOX)
1830,UNK,SOUTHOLD,SUFFOLK,NY,41.06,-72.43,ROUTE 48 CLOSED DUE TO NUMEROUS DOWNED PHONE POLES. (OKX)
1840,UNK,HAMPDEN,HAMPDEN,MA,42.07,-72.42,4 LARGE TREES DOWN ON MEADOWBROOK LANE (BOX)
1845,UNK,MATTITUCK,SUFFOLK,NY,41,-72.55,NUMEROUS TREES DOWNED (OKX)
1850,UNK,3 NW BLENHEIM,MARLBORO,SC,34.54,-79.7,TREE DOWN ACROSS ROAD (ILM)
1858,UNK,SHARON,HILLSBOROUGH,NH,42.82,-71.9,MULTIPLE TREES DOWN. (BOX)
1905,UNK,CHEROKEE,COLBERT,AL,34.76,-87.97,REPORT OF SEVERAL TREE LIMBS AND AN OAK TREE BLOWN DOWN IN DOWNTOWN CHEROKEE. SIDING ALSO BLOWN OFF CHEROKEE FIRE STATION NUMBER 2. (HUN)
1930,UNK,3 SW IVA,ANDERSON,SC,34.28,-82.7,SEVERAL TREES DOWN ON WHITE CAMPBELL ROAD (GSP)
1930,UNK,8 NW UNION,UNION,SC,34.8,-81.72,TREES BLOWN DOWN NEAR MEANSVILLE ROAD ABOUT 8 MILES NW OF UNION (GSP)
1930,UNK,5 N OAK HARBOR,OTTAWA,OH,41.58,-83.15,SEVERAL LARGE LIMBS DOWN. (CLE)
1945,UNK,LONDONDERRY,ROCKINGHAM,NH,42.87,-71.37,TREES DOWN ON JAY ROAD. (GYX)
2000,UNK,2 E PULASKI,GILES,TN,35.2,-87,OFF HIGHWAY 64 EAST ON BUCHANAN CREEK ROAD TREES UPROOTED/TIN TORN OFF ROOFS/SHINGLES RIPPED OFF HOUSE. (OHX)
2005,UNK,5 N DEERSVILLE,HARRISON,OH,40.38,-81.19,TREES DOWN IN THE TAPPEN LAKE AREA NEAR SR250. (PBZ)
2018,UNK,ALCOLU,CLARENDON,SC,33.77,-80.16,NUMEROUS LARGE LIMBS DOWN IN ALCOLU (CAE)
