table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,
"Table 2: Annual Estimates of the Population by Sex and Age for New Mexico: April 1, 2000 to July 1, 2004",,,,,,,
Sex and age,Population estimates,,,,,"April 1, 2000",
,"July 1, 2004","July 1, 2003","July 1, 2002","July 1, 2001","July 1, 2000",Estimates base,Census
BOTH SEXES,"1,903,289","1,878,562","1,855,143","1,832,335","1,821,496","1,819,046","1,819,046"
.Under 5 years,"133,366","133,224","132,675","130,088","130,180","130,628","130,628"
.5 to 9 years,"129,210","131,413","134,567","136,274","140,125","141,171","141,171"
.10 to 14 years,"141,941","144,886","146,600","146,007","147,162","147,309","147,309"
.15 to 19 years,"148,377","148,360","148,829","147,552","146,162","145,751","145,751"
.20 to 24 years,"145,478","139,920","133,106","127,597","122,506","121,291","121,291"
.25 to 29 years,"118,550","114,888","112,793","112,711","114,905","115,387","115,387"
.30 to 34 years,"117,453","117,878","117,688","117,842","118,404","118,704","118,704"
.35 to 39 years,"121,188","123,814","128,124","133,551","139,215","140,378","140,378"
.40 to 44 years,"144,555","144,239","143,455","143,223","141,965","141,631","141,631"
.45 to 49 years,"142,678","139,781","136,419","133,274","131,454","131,000","131,000"
.50 to 54 years,"132,137","128,087","124,172","122,829","116,244","114,819","114,819"
.55 to 59 years,"112,807","105,322","99,128","90,633","87,789","87,140","87,140"
.60 to 64 years,"86,075","81,659","76,876","74,020","72,047","71,612","71,612"
.65 to 69 years,"66,845","65,187","63,769","63,018","63,153","63,227","63,227"
.70 to 74 years,"59,093","58,102","57,364","56,293","54,934","54,518","54,518"
.75 to 79 years,"44,048","44,265","43,985","43,815","43,828","43,729","43,729"
.80 to 84 years,"32,671","31,495","30,507","28,985","27,777","27,445","27,445"
.85 years or more,"26,817","26,042","25,086","24,623","23,646","23,306","23,306"
,,,,,,,
.Under 18 years,"492,287","497,829","503,062","501,049","506,799","508,574","508,574"
.Under 5 years,"133,366","133,224","132,675","130,088","130,180","130,628","130,628"
.5 to 13 years,"241,535","247,191","252,018","253,020","257,716","258,831","258,831"
.14 to 17 years,"117,386","117,414","118,369","117,941","118,903","119,115","119,115"
.18 to 64 years,"1,181,528","1,155,642","1,131,370","1,114,552","1,101,359","1,098,247","1,098,247"
.18 to 24 years,"206,085","199,974","192,715","186,469","179,336","177,576","177,576"
.25 to 44 years,"501,746","500,819","502,060","507,327","514,489","516,100","516,100"
.45 to 64 years,"473,697","454,849","436,595","420,756","407,534","404,571","404,571"
.65 years and over,"229,474","225,091","220,711","216,734","213,338","212,225","212,225"
,,,,,,,
.16 years and over,"1,469,874","1,440,048","1,411,776","1,390,567","1,374,129","1,370,134","1,370,134"
.18 years and over,"1,411,002","1,380,733","1,352,081","1,331,286","1,314,697","1,310,472","1,310,472"
.15 to 44 years,"795,601","789,099","783,995","782,476","783,157","783,142","783,142"
,,,,,,,
.Median age (years),35.7,35.4,35.1,34.9,34.6,34.6,34.6
MALE,"936,067","923,705","912,213","900,898","895,663","894,317","894,317"
.Under 5 years,"67,588","67,551","67,275","65,914","65,956","66,191","66,191"
.5 to 9 years,"65,514","66,629","68,354","69,308","71,245","71,777","71,777"
.10 to 14 years,"72,175","73,667","74,562","74,424","75,165","75,254","75,254"
.15 to 19 years,"75,993","76,198","76,507","75,732","74,958","74,747","74,747"
