 
"Organization Name - Effective 18-JAN-08","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"CAREGIVER TECHNOLOGIES, INC.","5R44AG022252-03","7074606","Nixon, Kenneth Reed","Internet-based Alzheimer's Caregiver Support System","","","","$ 352,363","NORMAN","OKLAHOMA","73069","","","","None","N","","  "
"CHARLESSON, LLP","1R43EY017229-01","7052757","Moiseyev, Gennadiy ","Cocktail of Angiogenic Inhibitors for the Treatment of Diabetic Macular Edema","","","","$ 133,750","OKLAHOMA CITY","OKLAHOMA","73116","","","","None","N","","  "
"CHARLESSON, LLP","1R43EY017790-01","7155971","Lu, Kangmo ","Novel Linomide Analog for Treatment of Diabetic Retinopathy","","","","$ 248,294","OKLAHOMA CITY","OKLAHOMA","73116","","","","None","N","","  "
"EAST CENTRAL UNIVERSITY","5R25GM054938-05","7116849","Cluck, Terry W","Bridges to the Baccalaureate Degree at East Central Univ","","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 190,762","ADA","OKLAHOMA","74820","","","","Domestic Higher Education","N","","  "
"LAUREATE PSYCHIATRIC CLINIC AND HOSPITAL","1U01MH076250-01","7033596","Johnson, Craig ","Family Therapy/Fluoxetine in Treatment of Adolescents","","","","$ 175,447","TULSA","OKLAHOMA","74136","","","","Independent Hospitals","N","","  "
"MEDKINETIC, INC.","1R43DK070356-01A1","7051858","Chen, Jianfeng ","NOVEL ESOPHAGEAL MOTOR FUNCTION ASSESSMENT SYSTEM","","","","$ 100,000","TULSA","OKLAHOMA","74137","","","","Research Institutes","N","","  "
"NOMADICS, INC.","5R44AI050304-05","7108592","Clarke, Jean M","Novel Biosensor for Detecting Antibiotic Resistance","","","","$ 472,170","STILLWATER","OKLAHOMA","74074-1508","","","","None","N","","  "
"OKLAHOMA CITY COMMUNITY COLLEGE","2R25RR017282-04","7174402","Mulvihill, Charlotte K","Biotechnology/Bioinformatics Discovery!","","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 268,660","OKLAHOMA CITY","OKLAHOMA","73159-4444","","","","Domestic Higher Education","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","1P01HL085607-01","7138447","Mcever, Rodger P","Protein-glycan Interactions in the Vascular System","","","","$ 1,642,127","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","1R01GM075363-01A2","7097000","Dawson, Dean S","Segregation of error-prone chromosomes in meiosis","","","","$ 266,175","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","1R03CA121359-01","7101343","Towner, Rheal A","Molecular-Specific Detection of Tumors: MRI Investigations","","","","$ 76,050","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","1S10RR022518-01","7047224","Dresser, Michael Edward","High-speed Total Internal Reflection Fluorescence (TIRF) Microscope","","","","$ 293,799","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","2R01AG018933-06","7038141","Tang, Jordan J","Beta Secretase Inhibition for Treating Alzheimer's Disease","","","","$ 470,461","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","3R01AI031584-12S1","7221157","Harley, John B","EBNA-1 in Lupus","","","","$ 9,594","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5F32AI065211-02","7069056","Dudley, Darryll D","Role of E Proteins in Thymocyte Selection and Beyond","","","","$ 48,796","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5K02AI051647-05","7052866","Farris, Adarise ","Tolerance to the Nuclear Antigen La","","","","$ 106,515","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5K24AR049743-04","7107320","Scofield, R Hal","Genetics of Severe SLE defines by thrombocytopenia","","","","$ 151,229","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P20RR015577-07","7126047","Capra, J Donald","Science in a Culture of Mentoring","","","","$ 1,856,571","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P20RR018758-04","7079403","Mcever, Rodger P","Post-Translational Modifications in Host Defense","","","","$ 1,954,368","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P20RR020143-03","7089080","Harley, John B","Molecular Mechanisms and Genetics of Autoimmunity","","","","$ 2,263,039","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P41HG003652-02","7065226","Barstead, Robert J","A Gene Knockout Resource For C. elegans","","","","$ 1,171,800","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P50AR048940-05","7125194","Reichlin, Morris ","Oklahoma Specialized Center of Research in SLE","","","","$ 1,155,000","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI018220-20","7013659","Thompson, Linda F","The Regulation of Inflammatory Responses by CD73","","","","$ 339,457","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI020069-24","6986223","Kincade, Paul W","Early Events in Mammalian B-Cell Differentiation","","","","$ 383,032","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI031584-13","7090772","Harley, John B","EBNA-1 in Lupus","","","","$ 410,370","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI044215-07","7024424","Webb, Carol F","Bright Function in the Immune System","","","","$ 301,739","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI049264-05","7013661","Coggeshall, Kenneth Mark","Signaling by IgG receptors leading to phagocytosis","","","","$ 306,426","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI056129-04","7003694","Sun, Xiaohong ","E2A turnover and Notch-controlled lymphocyte development","","","","$ 338,358","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI058107-02","7007620","Kurosawa, Shinichiro ","PRIMATE MODEL AND PATHOGENESIS OF ANTHRAX SEPSIS","","","","$ 476,264","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
