-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
CHAT        49718.000    1995     1     1     0
CHAT        52274.750    2001    12    31    18
CHAT     -4590670.912  -275482.993 -4404596.777
CHAT          -43.956     -176.566       57.987
CHAT     NORTH_Offset  EAST_Offset    UP_Offset
49718.00    -0.143888    -0.002303     0.235795
49718.25    -0.182658     0.002668     0.236970
49718.50    -0.171510     0.058077     0.300944
49718.75    -0.136722     0.035496     0.295700
49719.00    -0.158628     0.043989     0.270746
49719.25    -0.194087     0.072545     0.264175
49719.50    -0.152668     0.115049     0.204261
49719.75    -0.121161     0.075039     0.122111
49720.00    -0.129321     0.041193     0.041456
49720.25    -0.141184     0.039025    -0.048262
49720.50    -0.093702     0.074419    -0.041741
49720.75    -0.065231     0.017662    -0.089658
49721.00    -0.110480    -0.016865    -0.105867
49721.25    -0.138994    -0.032977    -0.164241
49721.50    -0.146593     0.010947    -0.109467
49721.75    -0.166727    -0.061852    -0.226042
49722.00    -0.233281    -0.101269    -0.266865
49722.25    -0.306165    -0.136883    -0.361045
49722.50    -0.313098    -0.112317    -0.358365
49722.75    -0.325051    -0.186360    -0.433079
49723.00    -0.377257    -0.210719    -0.425222
49723.25    -0.419546    -0.229560    -0.507820
49723.50    -0.394334    -0.212343    -0.437827
49723.75    -0.341090    -0.292546    -0.479893
49724.00    -0.326820    -0.348179    -0.493511
49724.25    -0.313757    -0.369422    -0.509036
49724.50    -0.256268    -0.324778    -0.444987
49724.75    -0.190086    -0.355766    -0.453468
49725.00    -0.197767    -0.348778    -0.428424
49725.25    -0.165055    -0.308028    -0.437078
49725.50    -0.112558    -0.222640    -0.368638
49725.75    -0.067695    -0.216013    -0.345786
49726.00    -0.096712    -0.189855    -0.326591
49726.25    -0.105449    -0.155780    -0.312825
49726.50    -0.079169    -0.086598    -0.262157
49726.75    -0.025398    -0.095080    -0.252377
49727.00    -0.049077    -0.091698    -0.263000
49727.25    -0.065317    -0.069096    -0.264474
49727.50    -0.036898    -0.015275    -0.237797
49727.75    -0.004094    -0.062679    -0.261566
49728.00    -0.051785    -0.086821    -0.316868
49728.25    -0.085253    -0.086784    -0.313902
49728.50    -0.075585    -0.036496    -0.261361
49728.75    -0.052825    -0.074767    -0.251761
49729.00    -0.078573    -0.088328    -0.274828
49729.25    -0.083908    -0.086945    -0.308668
49729.50    -0.060079    -0.027281    -0.288243
49729.75    -0.018122    -0.071143    -0.357324
49730.00    -0.045778    -0.091660    -0.416776
49730.25    -0.050498    -0.088684    -0.452771
49730.50    -0.017873    -0.043970    -0.451882
49730.75     0.028951    -0.086464    -0.453931
49731.00     0.007623    -0.115313    -0.483445
49731.25    -0.015393    -0.134936    -0.465379
49731.50    -0.003135    -0.102570    -0.412509
49731.75     0.028799    -0.146124    -0.397530
49732.00    -0.016972    -0.178777    -0.420534
49732.25    -0.042900    -0.199104    -0.409240
49732.50    -0.016030    -0.167256    -0.389832
49732.75     0.012640    -0.198694    -0.362724
49733.00    -0.010671    -0.215341    -0.397578
49733.25    -0.025509    -0.219784    -0.394852
49733.50     0.010313    -0.161348    -0.379908
49733.75     0.040091    -0.188798    -0.398900
49734.00     0.001118    -0.206024    -0.452865
49734.25    -0.035717    -0.213455    -0.454698
49734.50    -0.031728    -0.171027    -0.475100
49734.75    -0.013641    -0.203608    -0.504585
