 
"Organization Name - Effective 12-JAN-09","Grant Number","NIH Reference","PI Name","Project Title","Dept Name","NIH Dept Combining Name","NIH MC Combining Name","Award","City","State or Country Name","Zip Code","Attributed to Medical School","Medical School - Grant is Attributed To","Medical School Location","Additional Ranking Category","Multi-Campus Institution","Main Campus - Grant is Attributed To","  "
"CHARLESSON, LLP","1R43EY018774-01","7404839","Farjo, Rafal A","Development of a genetic CNV model for Age-Related Macular Degeneration","","","","$ 210,357","OKLAHOMA CITY","OKLAHOMA","73104","","","","None","N","","  "
"CHARLESSON, LLP","1R43EY018989-01","7481725","Farjo, Rafal A","A novel Stat3 inhibitor for treating retinal inflammation and neovascularization","","","","$ 241,279","OKLAHOMA CITY","OKLAHOMA","73104","","","","None","N","","  "
"CHARLESSON, LLP","2R44EY017790-02","7405172","Farjo, Rafal A","Sustained delivery of linomide-5 for diabetic retinopathy and macular degeneratio","","","","$ 729,032","OKLAHOMA CITY","OKLAHOMA","73104","","","","None","N","","  "
"CHARLESSON, LLP","5R43EY018301-02","7502620","Lu, Kangmo ","Nanotechnology for Treatment of Diabetic Retinopathy","","","","$ 570,438","OKLAHOMA CITY","OKLAHOMA","73104","","","","None","N","","  "
"CHARLESSON, LLP","5R44EY017229-03","7498422","Chen, Danyang ","A Novel Thalidomide Analog for the Treatment of Diabetic Macular Edema","","","","$ 390,326","OKLAHOMA CITY","OKLAHOMA","73104","","","","None","N","","  "
"DORMATARG, INC.","1R43CA135867-01","7537741","Ihnat, Michael A","Drugs Targeting Dormant Tumors as Anti-Metastatic Agents","","","","$ 122,450","OKLAHOMA CITY","OKLAHOMA","73120-1817","","","","None","N","","  "
"EAST CENTRAL UNIVERSITY","2R25GM054938-07","7558912","Cluck, Terry Wayne","Initiative for Minority Students Bridges to the Baccalaureate","BIOLOGY","BIOLOGY","SCHOOLS OF ARTS AND SCIENCES","$ 230,778","ADA","OKLAHOMA","74820","","","","None","N","","  "
"HOUGH EAR INSTITUTE","1R21DC009679-01","7515124","Kopke, Richard ","Cochlear Therapy through Magnetic Targeted Drug Delivery","","","","$ 208,014","OKLAHOMA CITY","OKLAHOMA","73112-4463","","","","None","N","","  "
"INTERGENETICS INCORPORATED","1R43CA136001-01A1","7612446","Jupe, Eldon R","Copy Number Variation Associated with Sporadic Breast Cancer Risk","","","","$ 199,910","OKLAHOMA CITY","OKLAHOMA","73104","","","","None","N","","  "
"JK AUTOIMMUNITY, INC.","1R41HL093956-01","7539777","Kaufman, Kenneth M","Comprehensive Genotyping for Susceptibility to Metabolic Muscle Disease","","","","$ 110,001","OKLAHOMA CITY","OKLAHOMA","73104","","","","None","N","","  "
"LAUREATE PSYCHIATRIC CLINIC AND HOSPITAL","5U01MH076250-03","7475641","Johnson, Craig ","Family Therapy and Fluoxetine in the Treatment of Adolescents","","","","$ 170,890","TULSA","OKLAHOMA","74136","","","","Independent Hospitals","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","1R01HD056022-01A1","7432989","Moore, Kevin L","Identification of Tyrosine-Sulfated Proteins in the Male Genital Tract","","","","$ 319,800","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","1R01HL090923-01A1","7507252","Mcever, Rodger P","Mechanisms for Blood Cell Adhesion Under Flow","","","","$ 484,812","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","1R03CA133936-01","7474147","Towner, Rheal A","Chemoprevention of Gliomas using Nitrones with Anti-c-Met Activity","","","","$ 77,500","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","1R03CA133946-01","7475380","Tesiram, Yasvir Avindra","Advanced NMR/MRI Methods for Liver Cancer","","","","$ 77,500","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","1R21AI079616-01","7512934","Kovats, Susan ","Do estrogen receptors in B cells and DC mediate sex bias in murine lupus?","","","","$ 198,750","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","2R01AI020069-25A2","7373333","Kincade, Paul W","Early Events in Mammalian B-Cell Differentiation","","","","$ 319,688","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","4R00ES015415-02","7567807","Ramirez, Dario C","Free Radicals and Redox Signaling Triggered by Lipopolysccharide in Macrophages","","","","$ 244,020","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","4R00HL087621-03","7651867","Griffin, Courtney T","ATP-Dependent Chromatin-Remodeling Complexes and Vascular Development","","","","$ 249,000","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P01HL085607-03","7457868","Mcever, Rodger P","Protein-glycan Interactions in the Vascular System","","","","$ 1,582,458","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P20RR015577-09","7417568","James, Judith A","Science in a Culture of Mentoring","","","","$ 1,820,108","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P20RR020143-05","7485000","Harley, John B","Molecular Mechanisms and Genetics of Autoimmunity","","","","$ 2,216,188","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P30AR053483-02","7468041","James, Judith A","Oklahoma Rheumatic Disease Research Core Centers","","","","$ 533,200","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5P41HG003652-04","7421059","Barstead, Robert J","A Gene Knockout Resource For C. elegans","","","","$ 1,116,199","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AG016339-07","7479252","Szweda, Luke Ignatius","Modulation of Mitochondrial Function by Pro-Oxidants","","","","$ 319,431","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AG018933-08","7407372","Tang, Jordan J","Beta Secretase Inhibition for Treating Alzheimer's Disease","","","","$ 466,591","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI044215-09","7393813","Webb, Carol F","Bright Function in the Immune System","","","","$ 287,421","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI058162-05","7354075","Kincade, Paul W","Developmental Stage-Related Changes in Lymphopoiesis","","","","$ 359,276","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI059302-04","7325682","Alberolaila, Jose ","Role of GATA-3 During CD4/CD8 Lineage Commitment","","","","$ 318,327","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI063274-05","7330305","Gaffney, Patrick M","Comprehensive Candidate Pathway Analysis in SLE","","","","$ 711,323","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AI063622-04","7347033","Nath, Swapan K","Identifying the novel SLE susceptibility gene on 5p15.3","","","","$ 287,421","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AR042460-14","7385068","Harley, John B","Genetic Association in American Blacks with Lupus","","","","$ 497,210","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AR043274-13","7485150","Moser, Kathy L","Gene Mapping in Women with Systemic Lupus Erythematosus","","","","$ 556,671","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
"OKLAHOMA MEDICAL RESEARCH FOUNDATION","5R01AR052125-04","7490014","Gaffney, Patrick M","Genetic and functional studies of the CD40 P227A polymorphism","","","","$ 285,177","OKLAHOMA CITY","OKLAHOMA","73104-5005","","","","Research Institutes","N","","  "
