Start times of Jason-1 Cycles
Cycle		Year	Yearday		Month		Day	Hour		Minute		Second	
1		2002	15		1		15	5		10		51.316	
2		2002	25		1		25	3		9		22.619	
3		2002	35		2		4	1		7		52.802	
4		2002	44		2		13	23		6		24.722	
5		2002	54		2		23	21		4		56.043	
6		2002	64		3		5	19		3		26.673	
7		2002	74		3		15	17		2		0.016	
8		2002	84		3		25	15		0		32.553	
9		2002	94		4		4	12		59		4.362	
10		2002	104		4		14	10		57		35.69	
11		2002	114		4		24	8		56		6.634	
12		2002	124		5		4	6		54		37.289	
13		2002	134		5		14	4		53		7.507	
14		2002	144		5		24	2		51		40.272	
15		2002	154		6		3	0		50		12.35	
16		2002	163		6		12	22		48		43.816
17		2002	173		6		22	20		47		14.856
18		2002	183		7		2	18		45		45.558
19		2002	193		7		12	16		44		18.168
20		2002	203		7		22	14		42		50.454
21		2002	213		8		1	12		41		22.406
22		2002	223		8		11	10		39		54.153
23		2002	233		8		21	8		38		25.81
24		2002	243		8		31	6		36		57.267
25		2002	253		9		10	4		35		28.406
26		2002	263		9		20	2		33		58.839
27		2002	273		9		30	0		32		31.12
28		2002	282		10		9	22		31		2.857
29		2002	292		10		19	20		29		34.136
30		2002	302		10		29	18		28		4.942
31		2002	312		11		8	16		26		37.776
32		2002	322		11		18	14		25		9.905
33		2002	332		11		28	12		23		41.45
34		2002	342		12		8	10		22		12.559
35		2002	352		12		18	8		20		43.32
36		2002	362		12		28	6		19		16.012
37		2003	7		1		7	4		17		48.302
38		2003	17		1		17	2		16		19.987
39		2003	27		1		27	0		14		51.029
40		2003	36		2		5	22		13		21.633
41		2003	46		2		15	20		11		51.913
42		2003	56		2		25	18		10		24.472
43		2003	66		3		7	16		8		56.707
44		2003	76		3		17	14		7		28.462
45		2003	86		3		27	12		5		59.857
46		2003	96		4		6	10		4		31.074
47		2003	106		4		16	8		3		2.217
48		2003	116		4		26	6		1		36.215
49		2003	126		5		6	4		0		8.56
50		2003	136		5		16	1		58		40.479
51		2003	145		5		25	23		57		11.935
52		2003	155		6		4	21		55		42.914
53		2003	165		6		14	19		54		13.563
54		2003	175		6		24	17		52		43.901
55		2003	185		7		4	15		51		16.369
56		2003	195		7		14	13		49		48.568
57		2003	205		7		24	11		48		20.531
58		2003	215		8		3	9		46		52.387
59		2003	225		8		13	7		45		24.248
60		2003	235		8		23	5		43		56.098
61		2003	245		9		2	3		42		27.778
62		2003	255		9		12	1		40		59.046
63		2003	264		9		21	23		39		29.889
64		2003	274		10		1	21		38		0.376
65		2003	284		10		11	19		36		32.765
66		2003	294		10		21	17		35		4.976
67		2003	304		10		31	15		33		36.81
68		2003	314		11		10	13		32		8.047
69		2003	324		11		20	11		30		38.959
70		2003	334		11		30	9		29		9.396
71		2003	344		12		10	7		27		41.469
72		2003	354		12		20	5		26		14.732
73		2003	364		12		30	3		24		47.645
74		2004	9		1		9	1		23		20.104
75		2004	18		1		18	23		21		51.264
76		2004	28		1		28	21		20		22.086
77		2004	38		2		7	19		18		52.695
78		2004	48		2		17	17		17		23.132
79		2004	58		2		27	15		15		54.286
80		2004	68		3		8	13		14		27.366
81		2004	78		3		18	11		13		0.27
82		2004	88		3		28	9		11		32.529
83		2004	98		4		7	7		10		4.777
84		2004	108		4		17	5		8		37.021
85		2004	118		4		27	3		7		9.062
86		2004	128		5		7	1		5		40.672
87		2004	137		5		16	23		4		11.885
88		2004	147		5		26	21		2		42.762
89		2004	157		6		5	19		1		13.383
90		2004	167		6		15	16		59		43.743
91		2004	177		6		25	14		58		16.459
92		2004	187		7		5	12		56		49.036
93		2004	197		7		15	10		55		21.551
94		2004	207		7		25	8		53		54.032
95		2004	217		8		4	6		52		26.496
96		2004	227		8		14	4		50		58.381
97		2004	237		8		24	2		49		30.049
98		2004	247		9		3	0		48		1.36
99		2004	256		9		12	22		46		32.367
100		2004	266		9		22	20		45		3.107
101		2004	276		10		2	18		43		33.712
102		2004	286		10		12	16		42		4.171
103		2004	296		10		22	14		40		36.94
104		2004	306		11		1	12		39		9.451
105		2004	316		11		11	10		37		41.691
106		2004	326		11		21	8		36		13.735
107		2004	336		12		1	6		34		45.677
108		2004	346		12		11	4		33		17.423
109		2004	356		12		21	2		31		48.782
110		2004	366		12		31	0		30		19.768
111		2005	9		1		9	22		28		50.416
112		2005	19		1		19	20		27		20.837
113		2005	29		1		29	18		25		53.589
114		2005	39		2		8	16		24		26.139
115		2005	49		2		18	14		22		58.451
116		2005	59		2		28	12		21		30.591
117		2005	69		3		10	10		20		2.679
118		2005	79		3		20	8		18		34.793
119		2005	89		3		30	6		17		6.935
120		2005	99		4		9	4		15		39.037
121		2005	109		4		19	2		14		10.804
122		2005	119		4		29	0		12		42.169
123		2005	128		5		8	22		11		13.174
124		2005	138		5		18	20		9		43.901
125		2005	148		5		28	18		8		16.662
126		2005	158		6		7	16		6		49.153
127		2005	168		6		17	14		5		21.444
128		2005	178		6		27	12		3		53.603
129		2005	188		7		7	10		2		25.738
130		2005	198		7		17	8		0		57.913
131		2005	208		7		27	5		59		30.111
132		2005	218		8		6	3		58		2.255
133		2005	228		8		16	1		56		34.079
134		2005	237		8		25	23		55		5.626
135		2005	247		9		4	21		53		36.941
136		2005	257		9		14	19		52		8.104
137		2005	267		9		24	17		50		39.122
138		2005	277		10		4	15		49		9.961
139		2005	287		10		14	13		47		42.725
140		2005	297		10		24	11		46		15.273
141		2005	307		11		3	9		44		47.678
142		2005	317		11		13	7		43		20.054
143		2005	327		11		23	5		41		52.439
144		2005	337		12		3	3		40		23.82
145		2005	347		12		13	1		38		54.81
146		2005	356		12		22	23		37		25.43
147		2006	1		1		1	21		35		56.494
148		2006	11		1		11	19		34		28.419
149		2006	21		1		21	17		33		0.268
150		2006	31		1		31	15		31		31.885
151		2006	41		2		10	13		30		5.274
152		2006	51		2		20	11		28		38.565
153		2006	61		3		2	9		27		10.179
