Bottom-line Statistics: 2006 vs. 2001,,,,
"The airline industry has undergone a major shift in operations in the past five years.  By 2006, the legacy or network airlines reduced their capacity (measured by available seat-miles or ASMs), by 8.2 percent from 2001, while four network carriers, United Airlines, US Airways (twice), Delta Air Lines and Northwest Airlines, filed for bankruptcy. During the same period, low-cost carriers increased capacity 56.7 percent and accounted for more than one-fifth of all passenger revenue-miles in 2006 – a 48 percent increase in low-cost carrier market share from 2001. During this period, only one low-cost carrier, ATA Airlines, filed for bankruptcy.",,,,
,Network Carriers,Low-Cost Carriers,,
Full-Time Equivalent Employees,,,,
2001,"420,730","59,876",,
2006,"265,361","69,650",,
Number of Aircraft,,,,
2001,"3,292",667,,
2006,"2,588",924,,
Mainline Passenger Revenue $(Mil) (excluding regional jet activity),,,,
2001,"$65,418.90 ","$10,096.90 ",,     
2006,"$69,407.50 ","$17,571.20 ",,
Operating Expense $(Mil) (excluding Regional Contract Operations),,,,
2001,"$81,700.40 ","$10,274.60 ",,
2006,"$76,111.10 ","$17,689.20 ",,
