-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
NOUM        49718.000    1995     1     1     0
NOUM        52274.750    2001    12    31    18
NOUM     -5739971.535  1387563.663 -2402123.551
NOUM          -22.270      166.410       83.082
NOUM     NORTH_Offset  EAST_Offset    UP_Offset
49718.00    -0.084329    -0.010946     0.572294
49718.25    -0.077802     0.111609     0.703184
49718.50    -0.087225     0.125429     0.539547
49718.75    -0.055374     0.069931     0.622302
49719.00    -0.089677     0.004548     0.422941
49719.25    -0.083787     0.125739     0.441260
49719.50    -0.072280     0.130891     0.207436
49719.75    -0.024248     0.090497     0.261503
49720.00    -0.056246    -0.016656     0.046323
49720.25    -0.021991     0.104363     0.207977
49720.50    -0.003730     0.151808     0.068312
49720.75     0.026158     0.102335     0.221840
49721.00    -0.005879    -0.000439     0.050185
49721.25     0.000849     0.088641     0.169307
49721.50    -0.016448     0.100298    -0.013687
49721.75    -0.005131     0.032496     0.064866
49722.00    -0.064841    -0.078272    -0.133300
49722.25    -0.073156    -0.012342    -0.098738
49722.50    -0.091695    -0.032750    -0.310910
49722.75    -0.072576    -0.118038    -0.260217
49723.00    -0.120788    -0.230802    -0.438847
49723.25    -0.114340    -0.148727    -0.327005
49723.50    -0.109208    -0.156997    -0.451584
49723.75    -0.070519    -0.240492    -0.251934
49724.00    -0.085453    -0.370233    -0.276196
49724.25    -0.044471    -0.285004    -0.035960
49724.50    -0.001459    -0.278013    -0.111577
49724.75     0.037172    -0.294848     0.109485
49725.00     0.030218    -0.377920    -0.022742
49725.25     0.090737    -0.201723     0.142478
49725.50     0.098197    -0.162671     0.019682
49725.75     0.130089    -0.145950     0.184535
49726.00     0.066634    -0.200581    -0.020985
49726.25     0.078876    -0.047437     0.116914
49726.50     0.073404    -0.011031    -0.014250
49726.75     0.106565    -0.006360     0.130396
49727.00     0.036103    -0.112861    -0.092241
49727.25     0.043942     0.051143     0.066015
49727.50     0.018655     0.062203    -0.151486
49727.75     0.034094     0.028045    -0.039072
49728.00    -0.037032    -0.085977    -0.271010
49728.25    -0.038212     0.016376    -0.145507
49728.50    -0.060309     0.032741    -0.326545
49728.75    -0.029625     0.008819    -0.110023
49729.00    -0.080891    -0.095152    -0.279244
49729.25    -0.040063     0.021094    -0.109610
49729.50    -0.035931     0.050051    -0.270742
49729.75     0.017651     0.014150    -0.032552
49730.00     0.004501    -0.068130    -0.182665
49730.25     0.046381     0.042595    -0.032132
49730.50     0.065852     0.063725    -0.151499
49730.75     0.126201     0.025140     0.068568
49731.00     0.112804    -0.085835    -0.057285
49731.25     0.138891     0.016030     0.161165
49731.50     0.145294     0.038261     0.100002
49731.75     0.190274     0.007121     0.337542
49732.00     0.147118    -0.082371     0.258623
49732.25     0.164198     0.019186     0.477866
49732.50     0.157690     0.027265     0.381908
49732.75     0.176954    -0.007509     0.601094
49733.00     0.146532    -0.096222     0.486766
49733.25     0.183221     0.015794     0.673689
49733.50     0.186815     0.044227     0.487376
49733.75     0.220742     0.024814     0.667467
49734.00     0.187014    -0.067508     0.450597
49734.25     0.197831     0.043966     0.561143
49734.50     0.182478     0.049452     0.341096
49734.75     0.207024     0.031533     0.492596
49735.00     0.167939    -0.064191     0.283339
49735.25     0.174446     0.069072     0.378512
49735.50     0.184590     0.097991     0.199134
49735.75     0.232254     0.109805     0.339257
49736.00     0.192374     0.029081     0.071006
49736.25     0.225645     0.148933     0.188849
49736.50     0.237642     0.156147    -0.035346
49736.75     0.301823     0.163515     0.193220
49737.00     0.288865     0.083237     0.058238
49737.25     0.306256     0.176763     0.132064
49737.50     0.302879     0.152462     0.015333
