Time,Speed,Location,County,State,Lat,Lon,Comments
1248,UNK,8 SW VIRGIL,BEADLE,SD,44.21,-98.54,TREES DOWN,CROP DAMAGE (FSD)
1608,59,READING,BERKS,PA,40.34,-75.93,A THUNDERSTORM WIND GUST OF 59 MPH WAS MEASURED AT THE READING AIRPORT. (PHI)
1615,UNK,FELTON,YORK,PA,39.86,-76.56,LARGE TREE DOWN (CTP)
1635,UNK,5 W EAST BERLIN,ADAMS,PA,39.94,-77.07,LARGE TREE DOWN ON GOOSEVILLE ROAD (CTP)
1640,UNK,LEEDS,GREENE,NY,42.26,-73.9,NUMEROUS TREES AND WIRES DOWN. HAIL SIZE UNKNOWN (ALY)
1650,60,FORT MEADE,ANNE ARUNDEL,MD,39.11,-76.74,(LWX)
1700,UNK,ANTIOCH,FLUVANNA,VA,37.85,-78.42,LARGE TREE LIMBS DOWN,LARGE CANOPY BLOWN OVER,AND MARBLE SIZE HAIL REPORTED BY THE PUBLIC TO TV STATION (AKQ)
1700,UNK,1 SSW SEVERN,ANNE ARUNDEL,MD,39.12,-76.7,TWO TREES DOWN. (LWX)
1710,UNK,1 SW CENTREVILLE,FAIRFAX,VA,38.83,-77.46,TREE FELL ON CAR ON RYDELL RD (LWX)
1714,58,2 WSW CENTREVILLE,FAIRFAX,VA,38.83,-77.48,WIND GUST OF 58 MPH MEASURED AT BULL RUN ELEMENTARY SCHOOL. (LWX)
1719,UNK,1 N CENTRAL PLAINS,FLUVANNA,VA,37.82,-78.34,TREE DOWN ALONG LONG ACRE RD. (AKQ)
1720,UNK,ELAINE,PHILLIPS,AR,34.31,-90.85,SEVERAL TREES DOWN SMALL SHEDS BLOWN OVER AND SOME ROOF DAMAGE IN DOWNTOWN ELAINE (MEG)
1730,UNK,17 ENE SNOWFLAKE,APACHE,AZ,34.62,-109.81,STRONG WINDS KNOCKED OVER 8 INCH DIAMETER TREE (FGZ)
1731,UNK,2 SSE CLIFTON,FAIRFAX,VA,38.75,-77.37,TREE DOWN IN THE INTERSECTION OF HENDERSON ROAD AND OLD YATES FORD ROAD. (LWX)
1738,UNK,SOUTH KINGSTOWN,WASHINGTON,RI,41.43,-71.55,TREES AND WIRES DOWN ON DOUG COUNTRY TRAIL RD. (BOX)
1745,UNK,ELKTON,CECIL,MD,39.6,-75.82,TREES AND WIRES DOWN IN ELKTON. (PHI)
1745,UNK,ROSENDALE,ULSTER,NY,41.85,-74.08,TREE DOWN IN ROSENDALE WITH TREES REPORTED DOWN IN OTHER LOCALES ACROSS COUNTY (ALY)
1748,UNK,4 NW ALEXANDRIA,FAIRFAX,VA,38.86,-77.14,TREE FELL ON INTERSECTION OF MUNSON HILL RD AND GLEN CARLYN RD (LWX)
1750,UNK,1 W IVYLAND,BUCKS,PA,40.21,-75.1,TREES DOWN IN WARRINGTON. (PHI)
1750,UNK,MATTITUCK,SUFFOLK,NY,41,-72.55,POWER LINES DOWN MATTITUCK AVE AND BAYER RD (OKX)
1750,UNK,SHELBURNE,FRANKLIN,MA,42.58,-72.68,TREES DOWN. (BOX)
1753,UNK,4 W WARRENTON,FAUQUIER,VA,38.72,-77.87,TREE DOWN AT WILSON ROAD AND OLD WATERLOO ROAD (LWX)
1755,UNK,4 WSW FORT BELVOIR,FAIRFAX,VA,38.69,-77.21,TREE DOWN AT THE INTERSECTION OF GUNSTON ROAD AND OLD COLCHESTER ROAD IN LORTON (LWX)
1800,UNK,EAGLEVILLE,MONTGOMERY,PA,40.16,-75.41,TREES DOWN. (PHI)
1800,UNK,AUSTERLITZ,COLUMBIA,NY,42.32,-73.47,TREES DOWN (ALY)
1805,UNK,GILL,FRANKLIN,MA,42.65,-72.5,WIRES DOWN ON GREEN HILL ROAD. (BOX)
1810,UNK,3 N POST OAK,SPOTSYLVANIA,VA,38.21,-77.67,MULTIPLE TREES DOWN INCLUDING A TREE DOWN ON POWERLINES ALONG ROBERT E LEE DR (LWX)
1810,UNK,SHIRLEY,SUFFOLK,NY,40.8,-72.87,TREES,FLAGPOLE,WIRES DOWN,WIDESPREAD POWER OUTAGES MONTAUK HWY AND WILLIAM FLOYD PARKWAY AREA (OKX)
1815,UNK,5 ESE WASHINGTON CROSSI,MERCER,NJ,40.26,-74.79,A LARGE TREE LIMB WAS SNAPPED OFF IN EWING. (PHI)
1819,UNK,ROYALSTON,WORCESTER,MA,42.68,-72.18,RTE 32...TREES DOWN BLOCKING ROAD. (BOX)
1824,UNK,PARCHMAN,SUNFLOWER,MS,33.92,-90.5,POWER-POLES SNAPPED ON GROUNDS OF STATE PENITENTIARY...WITHOUT POWER FOR ONE HOUR. (JAN)
1825,UNK,DRY FORK,PITTSYLVANIA,VA,36.75,-79.42,LARGE TREE DOWN ON HOUSE PORCH (RNK)
1828,UNK,COLLINGSWOOD,CAMDEN,NJ,39.92,-75.07,TREE REPORTED DOWN ON A HOUSE IN COLLINGSWOOD. (PHI)
1830,UNK,NANJEMOY,CHARLES,MD,38.45,-77.22,TREES DOWN IN NANJEMOY (LWX)
1830,UNK,MERCERVILLE-HAMILTON SQ,MERCER,NJ,40.23,-74.67,UTILITY WIRES DOWN IN HAMILTON TOWNSHIP. (PHI)
1830,UNK,NORTH PLAINFIELD,SOMERSET,NJ,40.62,-74.44,TREES DOWN. (PHI)
1840,UNK,OTIS,BERKSHIRE,MA,42.2,-73.07,NUMEROUS TREES DOWN ROUTE 8 (ALY)
1845,UNK,DOVER,KENT,DE,39.16,-75.52,TREES AND WIRES DOWN. (PHI)
1845,UNK,BLANDFORD,HAMPDEN,MA,42.18,-72.93,TREES AND WIRES DOWN ON NORTH BLANDFORD ROAD. (BOX)
1850,UNK,BATESVILLE,PANOLA,MS,34.32,-89.94,THREE TREES DOWN IN BATESVILLE (MEG)
1852,UNK,BEL ALTON,CHARLES,MD,38.46,-76.98,TREES DOWN IN BEL ALTON (LWX)
1900,UNK,DOVER PLAINS,DUTCHESS,NY,41.75,-73.58,TREES DOWN. 1.49 INCHES RAIN IN 30 MINUTES. (ALY)
1900,UNK,GREENFIELD,FRANKLIN,MA,42.59,-72.6,TREES DOWN AND POWER OUTAGES. (BOX)
1905,UNK,LEIPSIC,KENT,DE,39.24,-75.52,WIRES REPORTED DOWN NEAR LEIPSIC. (PHI)
1907,UNK,WESTFIELD,HAMPDEN,MA,42.14,-72.76,TREES DOWN ON LOCKHOUSE ROAD AND NORTH ROAD. (BOX)
1908,UNK,EASTHAMPTON,HAMPSHIRE,MA,42.27,-72.68,30 FOOT TALL TREE DOWN. POWER OUTAGES. (BOX)
1910,UNK,BATESVILLE,PANOLA,MS,34.32,-89.94,SEVERAL TREES DOWN COUNTY WIDE. SOME TREES FELL OVER POWER LINES (MEG)
