"BR Tag","Requirement text","Name","Rule Number [1 - Flt:Y Srt:A]","Error Category","Severity","1120F-v2.5 [3 - Flt:Y Srt:N]"
"BR12.1 ","If Form 1120-F, checkbox ""Schedule M-3 attached"" is checked, then Schedule M-3 (Form 1120-F), must be attached.","","F1120F-001","Missing Document","Reject",""
"BR12.2 ","If Form 1120-F, Item M, ""Enter number of Forms 5472 attached"" has a non-zero value, then it must be equal to the number of Forms 5472 present in the return.","","F1120F-002","Incorrect Data","Reject",""
"BR12.3 ","If Form 1120-F, Line 5f, ""Credit for Tax Paid on Undistributed Capital Gains"" has a non-zero value, then Form 2439 must be attached.","","F1120F-003","Missing Document","Reject",""
"BR12.4 ","If Form 1120-F, Line 5g, has a non-zero value, then Form 4136 must be attached.","","F1120F-004","Missing Document","Reject",""
"BR12.5 ","If Form 1120-F, Line 6, check box ""Form 2220 is attached"" is checked, then Form 2220 must be attached.","","F1120F-005","Missing Document","Reject",""
"BR12.7 ","If Form 1120-F, Section III, Part III ""Additional Information"", Line 11 (a) or 11(b) has a choice of 'Yes' indicated, then a binary attachment with Description 'Form 8848' must be attached.","","F1120F-007","Missing Document","Reject",""
"BR12.8 ","If Form 1120-F, Section II, Line 8 has a non-zero value, then Schedule D (Form 1120) must be attached.","","F1120F-008","Missing Document","Reject",""
"BR12.9 ","If Form 1120-F, Line 1 has a non-zero value, then it must be equal to Form 1120-F, Section I, Line 11.","","F1120F-009","Data Mismatch","Reject",""
"BR12.10 ","If Form 1120-F, Section II, Line 9, contains a non-zero value, then Form 4797 must be attached.","","F1120F-010","Missing Document","Reject",""
"BR12.11 ","If Form 1120-F, Line 3 has a non-zero value, then it must be equal to the sum of Section III, Part I, Line 6 and Section III, Part II, Line 10.","","F1120F-011","Data Mismatch","Reject",""
"BR12.13 ","If Form 1120-F, Section II, Line 25 has a non-zero value, then Form 8903 must be attached.","","F1120F-013","Missing Document","Reject",""
"BR12.14 ","If Form 1120-F, Schedule A, Line 9c checkbox ""LIFO Inventory method adopted"" is checked, then Form 970 must be attached.","","F1120F-014","Missing Document","Reject",""
"BR12.15 ","If Form 1120-F, Schedule J, Line 1 checkbox is checked, then Schedule O (Form 1120) must be present in the return.","","F1120F-015","Missing Document","Reject",""
"BR12.16 ","If Form 1120-F, Schedule J, Line 3 has a non-zero value, then Form 4626 must be attached.","","F1120F-016","Missing Document","Reject",""
"BR12.17 ","If Form 1120-F, Schedule J, Line 5a has a non-zero value, then Form 1118 must be attached.","","F1120F-017","Missing Document","Reject",""
"BR12.18 ","There can be no more than one Form 8820 attached to Form 1120-F.","","F1120F-018","Multiple Documents","Reject",""
"BR12.19 ","If Form 1120-F, Schedule J, Line 5b, ""General Business Credit Amount"" has a non-zero value AND Form 1120-F, Schedule J, Line 5b, Checkbox ""Form 3800"" is checked, then Form 3800 must be attached to Form 1120-F, Schedule J, Line 5b checkbox ""Form 3800"".","","F1120F-019","Missing Document","Reject",""
"BR12.21 ","There can be no more than one Form 6478 attached to Form 1120-F.","","F1120F-020","Multiple Documents","Reject",""
"BR12.22 ","There can be no more than one Form 8826 attached to Form 1120-F.","","F1120F-021","Multiple Documents","Reject",""
"BR12.23 ","There can be no more than one Form 8835 attached to Form 1120-F.","","F1120F-022","Multiple Documents","Reject",""
"BR12.24 ","There can be no more than one Form 8844 attached to Form 1120-F.","","F1120F-023","Multiple Documents","Reject",""
"BR12.25 ","If Form 1120-F, Schedule J, Line 5c has a non-zero value, then Form 8827 must be attached.","","F1120F-024","Missing Document","Reject",""
"BR12.26 ","If Form 1120-F, Schedule J, Line 5d ""Bond Credits Amount""  has a non-zero value AND Form 1120-F, Schedule J, Line 5d, checkbox ""Form 8860"" is checked, then Form 8860 must be attached to Form 1120-F, Schedule J, Line 5d,  checkbox ""Form 8860"".","","F1120F-025","Missing Document","Reject",""
"BR12.27 ","If Form 1120-F, Schedule J, Line 5d ""Bond Credits Amount"" has a non-zero value AND Form 1120-F, Schedule J, Line 5d Checkbox ""Form 8912"" is checked, then Form 8912 must be attached to Form 1120-F, Schedule J, Line 5d checkbox ""Form 8912"".","","F1120F-026","Missing Document","Reject",""
"BR12.28 ","If Form 1120-F, Schedule J, Line 8, ""Other Taxes Amount"" has a non-zero value and Form 1120-F, Schedule J, Line 8, Check box ""F4255"" is checked, then Form 4255 must be attached to Form 1120-F, Schedule J, Line 8, checkbox ""Form 4255"".","","F1120F-027","Missing Document","Reject",""
"BR12.29 ","There can be no more than one Form 4255 attached to Form 1120-F.","","F1120F-028","Multiple Documents","Reject",""
"BR12.30 ","If Form 1120F, Schedule J, Line 8, ""Other Taxes Amount"" has a non-zero value and Form 1120-F, Schedule J, Line 8, Check box ""F4255"" is checked, then no more than one Form 4255 must be attached to Form 1120-F, Schedule J, Line 8, checkbox ""Form 4255"".","","F1120F-029","Multiple Documents","Reject",""
"BR12.31 ","If Form 1120-F, Schedule J, Line 8, ""Other Taxes Amount"" has a non-zero value and Schedule J, Line 8, checkbox ""Form 8611"" is checked, then Form 8611 must be attached to Form 1120-F, Schedule J, Line 8, checkbox ""Form 8611"".","","F1120F-030","Missing Document","Reject",""
"BR12.32 ","If Form 1120-F, Schedule J, Line 8 ""Other Taxes Amount"" has a non-zero value and Schedule J, Line 8,  checkbox ""Form 8697"" is checked, then Form 8697 must be attached to Form 1120-F, Schedule J, Line 8, checkbox ""Form 8697"".","","F1120F-031","Missing Document","Reject",""
"BR12.33 ","If Form 1120-F, Schedule J, Line 8, ""Other Taxes Amount"" has a non-zero value and Schedule J, Line 8, checkbox ""Form 8866"" is checked, then  Form 8866 must be attached to Form 1120-F, Schedule J, Line 8, checkbox ""Form 8866"".","","F1120F-032","Missing Document","Reject",""
"BR12.34 ","If Form 1120-F, Schedule J, Line 8, ""Other Taxes Amount"" has a non-zero value and Schedule J, Line 8, checkbox ""Form 8902"" is checked, then Form 8902 must be attached to Form 1120-F, Schedule J, Line 8, checkbox ""Form 8902"".","","F1120F-033","Missing Document","Reject",""
"BR12.35 ","If Form 1120-F, Item T, ""Is the corporation a subsidiary in a parent-subsidiary controlled group?"" has a choice of 'Yes' indicated, then Name Control and EIN of the Parent corporation must be provided.","","F1120F-034","Missing Data","Reject",""
"BR12.36 ","Form 1120-F, Item T, the EIN of the Parent Corporation must not be the same as Filer's EIN in the Return Header.","","F1120F-035","Incorrect Data","Reject",""
"BR12.37 ","If Form 1120-F, Schedule L, Line 17 ""Total Assets"" , Column (d) is greater than or equal to 10,000,000(10 Million), then Schedule M-3(Form 1120-F) must be present in the return.","","F1120F-036","Missing Document","Reject",""
"BR12.38 ","There can be no more than one Form 8845 attached to Form 1120-F.","","F1120F-037","Multiple Documents","Reject",""
"BR12.39 ","If Form 1120-F, Line 5g has a non-zero value and the dotted line does not contain the value ""ODC"" (""ozoneDepletingChemicalsInd""  does not have the value ""ODC""), then Form 4136 must be attached.","","F1120F-038","Missing Document","Reject",""
"BR12.40 ","There can be no more than one Form 8846 attached to Form 1120-F.","","F1120F-039","Multiple Documents","Reject",""
"BR12.41 ","Form 1120-F, Section II, Line 8 must equal Schedule D (Form 1120) Line 14.","","F1120F-040","Data Mismatch","Reject",""
"BR12.42 ","There can be no more than one Form 8847 attached to Form 1120-F.","","F1120F-041","Multiple Documents","Reject",""
"BR12.43 ","There can be no more than one Form 8861 attached to Form 1120-F.","","F1120F-042","Multiple Documents","Reject",""
"BR12.44 ","There can be no more than one Form 8874 attached to Form 1120-F.","","F1120F-043","Multiple Documents","Reject",""
"BR12.45 ","There can be no more than one Form 8881 attached to Form 1120-F.","","F1120F-044","Multiple Documents","Reject",""
"BR12.46 ","There can be no more than one Form 8882 attached to Form 1120-F.","","F1120F-045","Multiple Documents","Reject",""
