-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :   ECMWF_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
SOL1        49718.000    1995     1     1     0
SOL1        52274.750    2001    12    31    18
SOL1      1173608.863 -4871160.862  3933263.105
SOL1           38.319      -76.454      -19.045
SOL1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.773400    -0.369248    -2.140534
49718.25     0.619240    -0.211925    -0.500071
49718.50     0.611593    -0.064799     0.773904
49718.75     0.418640    -0.192967     0.780140
49719.00     0.609478    -0.110239     1.266373
49719.25     0.558052    -0.034309     2.168412
49719.50     0.447921    -0.140900     1.476007
49719.75     0.225738    -0.405414    -0.016110
49720.00     0.441299    -0.455987    -0.696310
49720.25     0.369762    -0.537338    -1.766674
49720.50     0.286657    -0.507620    -2.399885
49720.75     0.159997    -0.577392    -2.377092
49721.00     0.428581    -0.503835    -1.673684
49721.25     0.323967    -0.489463    -1.215928
49721.50     0.533665    -0.419511    -0.726131
49721.75     0.542213    -0.620083    -0.656355
49722.00     0.881617    -0.680091    -0.772306
49722.25     0.979764    -0.752457    -1.210592
49722.50     1.225827    -0.706955    -1.612546
49722.75     1.200509    -0.743788    -1.373263
49723.00     1.565714    -0.576795    -0.545123
49723.25     1.502875    -0.407214     0.231985
49723.50     1.494047    -0.193274     0.895711
49723.75     1.010247    -0.126734     1.931122
49724.00     0.920928     0.076859     3.571314
49724.25     0.251977     0.238058     6.041475
49724.50    -0.045656     0.164802     6.152027
49724.75    -0.273539    -0.211179     4.415881
49725.00    -0.020022    -0.370155     2.777783
49725.25    -0.297754    -0.509433     0.778194
49725.50    -0.205695    -0.475800    -0.290156
49725.75    -0.374014    -0.605902    -0.932563
49726.00     0.007520    -0.578192    -1.093916
49726.25    -0.039325    -0.551829    -1.272072
