"TBLID","ORDER","TITLE","estout","CME","CLB","CUB"
"B00001",.,"UNWEIGHTED SAMPLE COUNT OF THE POPULATION",,,,
"B00001",.,"Universe:  Total population",,,,
"B00001",1.000,"Total","6,767","+/-281","6,486","7,048"
"B00002",.,"UNWEIGHTED SAMPLE HOUSING UNITS",,,,
"B00002",.,"Universe:  Housing units",,,,
"B00002",1.000,"Total","2,614","+/-281","2,333","2,895"
"B01001",.,"SEX BY AGE",,,,
"B01001",.,"Universe:  Total population",,,,
"B01001",1.000,"Total:","490,258","*****","*****","*****"
"B01001",2.000,"Male:","239,467","+/-702","238,765","240,169"
"B01001",3.000,"Under 5 years","15,694","+/-501","15,193","16,195"
"B01001",4.000,"5 to 9 years","16,288","+/-1,542","14,746","17,830"
"B01001",5.000,"10 to 14 years","17,712","+/-1,559","16,153","19,271"
"B01001",6.000,"15 to 17 years","11,815","+/-599","11,216","12,414"
"B01001",7.000,"18 and 19 years","6,558","+/-348","6,210","6,906"
"B01001",8.000,"20 years","3,601","+/-950","2,651","4,551"
"B01001",9.000,"21 years","3,333","+/-852","2,481","4,185"
"B01001",10.000,"22 to 24 years","9,927","+/-1,217","8,710","11,144"
"B01001",11.000,"25 to 29 years","13,009","+/-659","12,350","13,668"
"B01001",12.000,"30 to 34 years","13,381","+/-667","12,714","14,048"
"B01001",13.000,"35 to 39 years","16,443","+/-1,477","14,966","17,920"
"B01001",14.000,"40 to 44 years","18,312","+/-1,327","16,985","19,639"
"B01001",15.000,"45 to 49 years","20,389","+/-444","19,945","20,833"
"B01001",16.000,"50 to 54 years","18,570","+/-472","18,098","19,042"
"B01001",17.000,"55 to 59 years","15,657","+/-1,502","14,155","17,159"
"B01001",18.000,"60 and 61 years","5,694","+/-1,086","4,608","6,780"
"B01001",19.000,"62 to 64 years","7,611","+/-1,270","6,341","8,881"
"B01001",20.000,"65 and 66 years","2,912","+/-569","2,343","3,481"
"B01001",21.000,"67 to 69 years","5,494","+/-789","4,705","6,283"
"B01001",22.000,"70 to 74 years","6,614","+/-802","5,812","7,416"
"B01001",23.000,"75 to 79 years","4,090","+/-616","3,474","4,706"
"B01001",24.000,"80 to 84 years","3,377","+/-555","2,822","3,932"
"B01001",25.000,"85 years and over","2,986","+/-631","2,355","3,617"
"B01001",26.000,"Female:","250,791","+/-702","250,089","251,493"
"B01001",27.000,"Under 5 years","14,842","+/-371","14,471","15,213"
"B01001",28.000,"5 to 9 years","15,926","+/-1,547","14,379","17,473"
"B01001",29.000,"10 to 14 years","16,552","+/-1,548","15,004","18,100"
"B01001",30.000,"15 to 17 years","11,058","+/-547","10,511","11,605"
"B01001",31.000,"18 and 19 years","7,058","+/-809","6,249","7,867"
"B01001",32.000,"20 years","3,030","+/-963","2,067","3,993"
"B01001",33.000,"21 years","3,941","+/-947","2,994","4,888"
"B01001",34.000,"22 to 24 years","7,758","+/-1,199","6,559","8,957"
"B01001",35.000,"25 to 29 years","14,279","+/-520","13,759","14,799"
"B01001",36.000,"30 to 34 years","12,967","+/-549","12,418","13,516"
"B01001",37.000,"35 to 39 years","16,134","+/-1,363","14,771","17,497"
"B01001",38.000,"40 to 44 years","20,815","+/-1,530","19,285","22,345"
