

"tblid","profln","totcest","totcme","cest","cme"
" ","           0"," "," "," "," "
" ","           1"," "," "," "," "
"S0201","           1","2,941,454","*****","           286,953","            +/-10,804"
" ","           2"," "," "," "," "
"S0201","           2","     50.3","               +/-0.1","              49.7","               +/-1.2"
"S0201","           3","     49.7","               +/-0.1","              50.3","               +/-1.2"
" ","           3"," "," "," "," "
"S0201","           4","      7.5","               +/-0.1","               6.1","               +/-0.8"
"S0201","           5","     17.8","               +/-0.1","              15.6","               +/-1.3"
"S0201","           6","     11.5","               +/-0.1","              10.8","               +/-0.8"
"S0201","           7","     14.7","               +/-0.1","              12.9","               +/-0.9"
"S0201","           8","     14.8","               +/-0.1","              14.4","               +/-0.9"
"S0201","           9","     13.6","               +/-0.1","              16.5","               +/-1.0"
"S0201","          10","      8.9","               +/-0.1","              11.2","               +/-0.9"
"S0201","          11","      5.3","               +/-0.1","               5.8","               +/-0.6"
"S0201","          12","      5.8","               +/-0.1","               6.7","               +/-0.8"
" ","          12"," "," "," "," "
"S0201","          13","     34.0","               +/-0.1","              38.6","               +/-1.2"
" ","          13"," "," "," "," "
"S0201","          14","     74.7","*****","              78.4","               +/-1.3"
"S0201","          15","     69.7","               +/-0.1","              73.5","               +/-1.3"
"S0201","          16","     13.2","               +/-0.1","              15.4","               +/-1.0"
"S0201","          17","     11.1","               +/-0.1","              12.5","               +/-0.9"
" ","          17"," "," "," "," "
"S0201","          18","  745,182","*****","            62,108","             +/-5,232"
"S0201","          19","     51.2","               +/-0.1","              52.1","               +/-2.9"
"S0201","          20","     48.8","               +/-0.1","              47.9","               +/-2.9"
" ","          20"," "," "," "," "
"S0201","          21","2,196,272","*****","           224,845","             +/-7,607"
"S0201","          22","     50.1","*****","              49.0","               +/-1.5"
"S0201","          23","     49.9","*****","              51.0","               +/-1.5"
" ","          23"," "," "," "," "
"S0201","          24","  770,362","               +/-741","            67,972","             +/-3,168"
"S0201","          25","     53.7","               +/-0.1","              52.2","               +/-2.8"
"S0201","          26","     46.3","               +/-0.1","              47.8","               +/-2.8"
" ","          26"," "," "," "," "
"S0201","          27","1,099,007","               +/-729","           120,907","             +/-5,525"
"S0201","          28","     49.8","               +/-0.1","              49.1","               +/-2.0"
"S0201","          29","     50.2","               +/-0.1","              50.9","               +/-2.0"
" ","          29"," "," "," "," "
"S0201","          30","  326,903","               +/-435","            35,966","             +/-2,657"
"S0201","          31","     42.3","               +/-0.1","              42.9","               +/-3.7"
"S0201","          32","     57.7","               +/-0.1","              57.1","               +/-3.7"
" ","          32"," "," "," "," "
" ","          33"," "," "," "," "
"S0201","          33","2,826,027","             +/-1,657","           273,911","            +/-10,896"
"S0201","          34","     54.9","               +/-0.4","              62.5","               +/-1.5"
"S0201","          35","     30.4","               +/-0.3","              27.5","               +/-1.5"
