-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :     NCEP_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
SCIP        49718.000    1995     1     1     0
SCIP        52274.750    2001    12    31    18
SCIP     -2556587.402 -4711014.066  3446241.381
SCIP           32.914     -118.488      452.874
SCIP     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.433924     0.283709    -1.750039
49718.25     0.503593     0.423189    -2.170051
49718.50     0.436317     0.362400    -1.725865
49718.75     0.515150     0.514825    -2.642383
49719.00     0.455452     0.311796    -1.975528
49719.25     0.441382     0.343085    -1.868673
49719.50     0.391636     0.298858    -1.343885
49719.75     0.405277     0.398852    -1.838571
49720.00     0.260510     0.228241    -1.148458
49720.25     0.290062     0.357315    -1.266149
49720.50     0.206130     0.404081    -0.942057
49720.75     0.162881     0.484079    -1.430106
49721.00     0.104065     0.310246    -1.128778
49721.25     0.153913     0.391469    -1.403609
49721.50    -0.069288     0.361435    -0.820185
49721.75    -0.363963     0.430332    -0.770188
49722.00    -0.800442     0.143135     0.630288
49722.25    -0.962810    -0.102883     1.218768
49722.50    -1.006729    -0.378414     1.742704
49722.75    -0.886805    -0.444998     0.999500
49723.00    -0.777029    -0.598621     1.028229
49723.25    -0.577750    -0.553391     0.507315
49723.50    -0.516104    -0.491409     0.573557
49723.75    -0.387602    -0.325873    -0.384003
49724.00    -0.494969    -0.405481     0.061438
49724.25    -0.495442    -0.167067    -0.190197
49724.50    -0.635198    -0.180059     0.504228
49724.75    -0.499368     0.032286    -0.476012
49725.00    -0.474618    -0.134248     0.060400
49725.25    -0.236282     0.100601    -0.567854
49725.50    -0.286774     0.097034     0.015066
49725.75    -0.062053     0.360544    -1.264965
49726.00    -0.112822     0.225759    -0.688842
49726.25    -0.001780     0.397852    -1.003721
49726.50    -0.160632     0.333121    -0.153698
49726.75    -0.071429     0.447320    -0.805185
49727.00    -0.240148     0.221471     0.083614
49727.25    -0.241712     0.333393     0.145959
49727.50    -0.487052     0.254941     1.040078
49727.75    -0.506762     0.300585     0.605364
49728.00    -0.650879     0.017087     1.336337
49728.25    -0.584648     0.023977     1.106999
49728.50    -0.584167    -0.106523     1.471108
49728.75    -0.441184    -0.058887     0.581307
49729.00    -0.472140    -0.277409     1.155909
49729.25    -0.298739    -0.113549     0.589030
49729.50    -0.339112    -0.168168     1.161622
49729.75    -0.168932    -0.019680     0.158406
49730.00    -0.133168    -0.196431     0.587842
49730.25     0.105520    -0.038353    -0.057240
49730.50     0.049792    -0.044070     0.421684
49730.75     0.224065     0.124226    -0.584154
49731.00     0.119496    -0.089274     0.232215
49731.25     0.143495     0.026343     0.068900
49731.50     0.008249    -0.069153     0.849010
49731.75     0.018751    -0.000410     0.362060
49732.00    -0.222150    -0.275876     1.450745
49732.25    -0.209633    -0.191569     1.210271
49732.50    -0.334023    -0.322368     1.837964
49732.75    -0.295560    -0.277945     1.164410
49733.00    -0.325177    -0.468690     1.662378
49733.25    -0.217188    -0.377343     1.416804
49733.50    -0.287960    -0.424181     1.920299
49733.75    -0.210614    -0.301209     1.149359
49734.00    -0.221723    -0.426683     1.468180
49734.25    -0.143964    -0.323710     1.168840
49734.50    -0.155833    -0.358308     1.430390
49734.75    -0.002209    -0.189495     0.340900
49735.00    -0.080236    -0.282236     0.707401
49735.25     0.093477    -0.055496     0.024692
49735.50     0.063266     0.034962     0.172961
49735.75     0.260955     0.245230    -1.062021
49736.00     0.238935     0.052153    -0.544164
49736.25     0.385735     0.150493    -0.956819
49736.50     0.381197     0.071477    -0.477589
49736.75     0.437181     0.153421    -0.940762
49737.00     0.343101    -0.041776    -0.208824
49737.25     0.393063     0.085923    -0.305863
49737.50     0.329243     0.021731     0.370610
49737.75     0.366246     0.172406    -0.374972
49738.00     0.205597    -0.042033     0.364913
49738.25     0.282541     0.091535    -0.008448
49738.50     0.198965    -0.002119     0.534716
49738.75     0.284429     0.107569    -0.338512
49739.00     0.183006    -0.100754     0.224198
49739.25     0.229891     0.032958    -0.159865
49739.50     0.210202     0.020633     0.214395
49739.75     0.281236     0.204197    -0.712444
49740.00     0.155808     0.058679    -0.224156
49740.25     0.205242     0.205032    -0.531472
49740.50     0.102323     0.128944     0.159282
49740.75     0.140364     0.216408    -0.416433
49741.00     0.038260     0.085963     0.289969
49741.25     0.103394     0.180894     0.180726
49741.50    -0.057205     0.171695     0.957293
49741.75     0.048822     0.323532     0.111157
49742.00    -0.044104     0.157047     0.678831
49742.25    -0.024936     0.186135     0.628840
49742.50    -0.173804     0.114824     1.359205
49742.75    -0.121151     0.154849     0.744736
49743.00    -0.257181     0.033942     0.993203
49743.25    -0.119423     0.110965     0.473943
49743.50    -0.105098     0.113013     0.628911
49743.75     0.078765     0.224077    -0.426081
49744.00     0.070316     0.026701     0.021951
49744.25     0.235170     0.077902    -0.254734
49744.50     0.190916    -0.014008     0.311696
49744.75     0.350934     0.100279    -0.605455
49745.00     0.396433    -0.046558    -0.406413
49745.25     0.558155     0.167461    -0.965801
49745.50     0.535884     0.217053    -0.778464
49745.75     0.578189     0.414343    -1.522350
49746.00     0.468559     0.281955    -1.070158
49746.25     0.469416     0.426485    -1.340489
49746.50     0.322157     0.421892    -0.967426
49746.75     0.295129     0.550154    -1.711269
49747.00     0.197255     0.334548    -1.291694
49747.25     0.215263     0.442469    -1.666678
49747.50     0.079152     0.348590    -1.099851
49747.75     0.054453     0.372057    -1.651006
49748.00    -0.055258     0.074911    -0.863148
49748.25    -0.095403     0.133110    -0.833941
49748.50    -0.196817     0.025006    -0.137750
49748.75    -0.173952     0.088288    -0.756474
49749.00    -0.253208    -0.143824    -0.177904
49749.25    -0.155612    -0.064427    -0.410428
49749.50    -0.153819    -0.076654    -0.088124
49749.75    -0.075689     0.058211    -0.765840
49750.00    -0.091794    -0.116568    -0.255539
49750.25     0.050419     0.029612    -0.639880
49750.50     0.134660     0.025966    -0.403181
49750.75     0.323587     0.193424    -1.307484
49751.00     0.374424     0.084118    -1.026110
49751.25     0.583947     0.302146    -1.607615
49751.50     0.612375     0.445795    -1.701325
49751.75     0.671410     0.610730    -2.691118
49752.00     0.580655     0.442803    -2.257750
49752.25     0.662867     0.602292    -2.680235
49752.50     0.608118     0.531014    -2.262753
49752.75     0.618305     0.568291    -2.731706
49753.00     0.516622     0.254135    -1.839790
49753.25     0.542101     0.364213    -2.018865
49753.50     0.444836     0.310734    -1.609057
49753.75     0.460697     0.459619    -2.375474
49754.00     0.376947     0.233371    -1.796559
49754.25     0.379231     0.318207    -1.929057
49754.50     0.329958     0.258534    -1.579030
49754.75     0.325926     0.284340    -1.962521
49755.00     0.253175     0.012129    -1.368156
49755.25     0.324900     0.106502    -1.449411
49755.50     0.266153     0.110066    -1.172116
49755.75     0.285554     0.297250    -1.902163
49756.00     0.147680     0.112217    -1.228826
49756.25     0.162509     0.283348    -1.375348
49756.50     0.030458     0.298968    -0.942024
49756.75     0.104720     0.395437    -1.680133
49757.00     0.018219     0.109690    -0.945856
49757.25     0.095571     0.185056    -1.235610
49757.50    -0.031854     0.059176    -0.603805
49757.75     0.082053     0.109407    -1.363348
49758.00     0.026064    -0.156240    -0.787932
49758.25     0.122203    -0.085918    -0.916113
49758.50     0.099021    -0.178647    -0.347469
49758.75     0.122855    -0.127153    -0.722225
49759.00     0.035111    -0.422261     0.131940
49759.25     0.115904    -0.275262     0.028110
49759.50     0.080070    -0.233407     0.239167
49759.75     0.078781    -0.109955    -0.149223
49760.00    -0.000383    -0.286031     0.482393
49760.25     0.040481    -0.178974     0.576811
49760.50    -0.053465    -0.171600     0.995277
49760.75    -0.046547    -0.099592     0.571609
49761.00    -0.202172    -0.260227     1.164571
49761.25    -0.197363    -0.150872     1.104807
49761.50    -0.378569    -0.154059     1.689791
49761.75    -0.397255    -0.048149     1.131089
49762.00    -0.584019    -0.315067     2.090949
49762.25    -0.652917    -0.224248     2.131581
49762.50    -0.852429    -0.387852     3.041773
49762.75    -0.813418    -0.413509     2.462181
49763.00    -0.860354    -0.664080     2.998548
49763.25    -0.670085    -0.516512     2.558378
49763.50    -0.611129    -0.466319     2.565697
49763.75    -0.425869    -0.275976     1.397689
49764.00    -0.345254    -0.378418     1.229951
49764.25    -0.088835    -0.108316     0.334762
49764.50    -0.030913    -0.000222     0.000198
49764.75     0.082284     0.321099    -1.223291
49765.00    -0.004794     0.269635    -0.966886
49765.25     0.044478     0.445846    -1.194281
49765.50    -0.022436     0.449565    -0.742693
49765.75     0.070081     0.579317    -1.382085
49766.00     0.011831     0.324262    -0.709459
49766.25     0.190933     0.344990    -0.758489
49766.50     0.262869     0.313122    -0.504061
49766.75     0.470074     0.509789    -1.459670
49767.00     0.369161     0.353119    -0.986330
49767.25     0.471607     0.552477    -1.511068
49767.50     0.390634     0.535788    -1.412048
49767.75     0.425560     0.644779    -2.209174
49768.00     0.323866     0.375827    -1.441702
49768.25     0.431822     0.476829    -1.755684
49768.50     0.335421     0.441355    -1.235733
49768.75     0.282248     0.530564    -1.650300
49769.00     0.121558     0.243658    -0.834666
49769.25     0.079034     0.353473    -0.833972
49769.50    -0.000600     0.287052    -0.295002
49769.75     0.016945     0.398807    -0.877737
49770.00    -0.083937     0.093071    -0.138938
49770.25     0.063069     0.172990    -0.401387
49770.50     0.071890     0.069424     0.116530
49770.75     0.211945     0.171434    -0.608109
49771.00     0.164250    -0.087142     0.013297
49771.25     0.403977     0.116655    -0.707857
49771.50     0.376401     0.153162    -0.485934
49771.75     0.517488     0.390960    -1.599359
49772.00     0.416432     0.238498    -1.036048
49772.25     0.530113     0.456908    -1.514503
49772.50     0.427517     0.466937    -1.117230
49772.75     0.453797     0.570071    -1.766981
49773.00     0.255718     0.264730    -0.803384
49773.25     0.247152     0.317913    -0.780245
49773.50     0.188872     0.234246    -0.325959
49773.75     0.283524     0.309824    -0.913753
49774.00     0.219522     0.008521    -0.204379
49774.25     0.354190     0.180032    -0.599568
49774.50     0.348198     0.199410    -0.190898
49774.75     0.489239     0.353471    -1.021529
49775.00     0.465467     0.147296    -0.501940
49775.25     0.650258     0.297398    -0.967319
49775.50     0.629767     0.284007    -0.672884
49775.75     0.762308     0.428739    -1.614114
49776.00     0.737347     0.213707    -1.105955
49776.25     0.846917     0.417068    -1.607989
49776.50     0.751584     0.339776    -0.982643
49776.75     0.831368     0.511495    -1.923923
49777.00     0.720620     0.284575    -1.230077
49777.25     0.652355     0.365995    -1.089004
49777.50     0.517418     0.292976    -0.363798
49777.75     0.464009     0.385471    -0.751275
49778.00     0.298892     0.125300     0.077024
49778.25     0.294449     0.197872     0.050026
49778.50     0.166383     0.187935     0.499725
49778.75     0.234557     0.330359    -0.296998
