-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
DUCK        49718.000    1995     1     1     0
DUCK        52274.750    2001    12    31    18
DUCK      1268587.191 -4995511.561  3744508.588
DUCK           36.182      -75.751      -26.701
DUCK     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.260529    -0.277388    -1.745409
49718.25     0.081404    -0.151860    -1.005041
49718.50    -0.054807    -0.147682    -0.590723
49718.75    -0.100645    -0.201602    -0.708029
49719.00    -0.132427    -0.154977    -0.399619
49719.25    -0.231832    -0.118288     0.142468
49719.50    -0.179066    -0.276754    -0.038620
49719.75    -0.122511    -0.447916    -0.687865
49720.00    -0.076918    -0.487743    -0.991779
49720.25    -0.045996    -0.601271    -1.284378
49720.50    -0.002931    -0.717294    -1.535595
49720.75    -0.006288    -0.683622    -1.732820
49721.00    -0.046577    -0.555370    -1.454509
49721.25    -0.123732    -0.478628    -1.166288
49721.50    -0.203684    -0.500674    -1.088172
49721.75    -0.324001    -0.485843    -1.294821
49722.00    -0.397517    -0.486231    -1.315965
49722.25    -0.526872    -0.511155    -1.276809
49722.50    -0.604963    -0.593275    -1.545718
49722.75    -0.690745    -0.502072    -1.496513
49723.00    -0.737339    -0.339167    -1.022220
49723.25    -0.763288    -0.172981    -0.320814
49723.50    -0.759354    -0.071045     0.095412
49723.75    -0.779278     0.192599     0.804264
49724.00    -0.805063     0.549148     1.810858
49724.25    -0.988806     0.749632     2.942083
49724.50    -0.978744     0.662603     3.110714
49724.75    -0.835402     0.437366     2.220275
49725.00    -0.664569     0.254238     1.412401
49725.25    -0.515233    -0.001801     0.596105
49725.50    -0.405051    -0.175974    -0.036557
49725.75    -0.344668    -0.313829    -0.626437
49726.00    -0.238379    -0.333466    -0.791870
49726.25    -0.186400    -0.372886    -0.755029
49726.50    -0.079719    -0.387742    -0.851384
49726.75     0.038400    -0.386913    -1.234542
49727.00     0.141797    -0.318409    -1.470597
49727.25     0.210571    -0.333400    -1.725460
49727.50     0.278081    -0.345799    -2.008564
49727.75     0.307428    -0.274325    -2.250085
49728.00     0.296234    -0.123276    -2.161178
49728.25     0.257184    -0.045838    -2.010589
49728.50     0.236661     0.002839    -1.793426
49728.75     0.186809     0.103644    -1.663235
49729.00     0.162345     0.214111    -1.286049
49729.25     0.090909     0.210396    -0.886969
49729.50     0.012315     0.208649    -0.463698
49729.75    -0.046263     0.205259    -0.361469
49730.00    -0.036142     0.218414     0.058745
49730.25    -0.012932     0.115707     0.128461
49730.50     0.061566     0.057626     0.185611
49730.75     0.175547     0.057762    -0.091335
49731.00     0.249389     0.159223     0.084725
49731.25     0.248460     0.199946     0.283684
49731.50     0.221637     0.293425     0.679326
49731.75     0.175757     0.394348     0.801200
49732.00     0.104123     0.498390     1.183293
49732.25    -0.037784     0.560921     1.647993
49732.50    -0.124627     0.614640     2.095144
49732.75    -0.178642     0.614951     2.059991
49733.00    -0.174513     0.596783     2.013873
49733.25    -0.129689     0.510301     1.953647
49733.50    -0.037509     0.513959     1.940098
49733.75     0.084745     0.437967     1.365715
49734.00     0.125223     0.438093     1.215680
49734.25     0.096065     0.314671     0.982552
49734.50     0.076683     0.260669     0.864697
49734.75     0.084041     0.183498     0.361622
49735.00     0.125868     0.196387     0.200989
49735.25     0.127831     0.094464     0.012173
49735.50     0.181754     0.009744    -0.062339
49735.75     0.223656    -0.094253    -0.492112
49736.00     0.219181    -0.062936    -0.263732
49736.25     0.140399    -0.055233     0.231991
49736.50     0.075570     0.026400     0.942189
49736.75     0.005634     0.099195     1.310575
49737.00    -0.009903     0.280905     2.068181
49737.25    -0.158094     0.503397     3.204460
49737.50    -0.305118     0.590365     3.939841
49737.75    -0.380462     0.543052     3.778450
49738.00    -0.379501     0.517594     3.588328
49738.25    -0.421214     0.469650     3.524739
49738.50    -0.404403     0.406259     3.339324
49738.75    -0.381385     0.385690     2.938391
49739.00    -0.313789     0.379105     2.526993
49739.25    -0.309172     0.293560     2.201740
49739.50    -0.270969     0.192591     1.873682
49739.75    -0.246134     0.150187     1.421027
49740.00    -0.194481     0.180522     1.270401
49740.25    -0.190948     0.131876     1.292430
49740.50    -0.150253     0.107144     1.286658
49740.75    -0.133803     0.108253     1.069879
49741.00    -0.080105     0.184344     1.246557
49741.25    -0.106347     0.062118     1.137804
49741.50    -0.116083    -0.099175     0.867316
49741.75    -0.059107    -0.245012     0.317569
49742.00    -0.002163    -0.304676    -0.037843
49742.25    -0.028023    -0.420226    -0.324625
49742.50    -0.029532    -0.477599    -0.452321
49742.75    -0.056962    -0.429572    -0.497261
49743.00    -0.069035    -0.265517    -0.166230
49743.25    -0.106415    -0.241868     0.005272
49743.50    -0.131916    -0.257596     0.083519
49743.75    -0.137899    -0.241258    -0.115925
49744.00    -0.136913    -0.096589     0.204968
49744.25    -0.136062    -0.102099     0.388232
49744.50    -0.108215    -0.022043     0.748925
49744.75    -0.065761     0.017837     0.636588
49745.00     0.013195     0.131016     0.834106
49745.25     0.072493     0.145255     0.934390
49745.50     0.144699     0.205582     1.117024
49745.75     0.172349     0.202173     0.878742
49746.00     0.197025     0.256156     0.956226
49746.25     0.155123     0.095701     0.558710
49746.50     0.086634    -0.011509     0.277846
49746.75     0.009321    -0.123976    -0.318004
49747.00    -0.137109    -0.061096    -0.092111
49747.25    -0.304967     0.004122     0.427028
49747.50    -0.450184     0.153066     1.138086
49747.75    -0.565711     0.266744     1.444099
49748.00    -0.709666     0.388287     1.921863
49748.25    -0.857430     0.344308     2.110412
49748.50    -0.939529     0.331734     2.277871
49748.75    -0.994755     0.353303     2.169167
49749.00    -1.027176     0.462752     2.467363
49749.25    -1.044285     0.496410     2.768872
49749.50    -0.993925     0.529298     2.985959
49749.75    -0.880860     0.557798     2.750165
49750.00    -0.763771     0.598338     2.655037
49750.25    -0.670044     0.544004     2.543412
49750.50    -0.529722     0.490839     2.417943
49750.75    -0.332155     0.398575     1.838646
49751.00    -0.162568     0.315484     1.424946
49751.25    -0.078076     0.108113     0.929502
49751.50    -0.007609    -0.074165     0.422443
49751.75    -0.031454    -0.072394     0.212197
49752.00    -0.087408     0.100237     0.748243
49752.25    -0.188094     0.326336     1.736169
49752.50    -0.311683     0.564017     2.893503
49752.75    -0.385338     0.534955     2.876993
49753.00    -0.428320     0.431943     2.653145
49753.25    -0.527003     0.241843     2.411548
49753.50    -0.548508     0.101412     2.148161
49753.75    -0.528500     0.030585     1.765746
49754.00    -0.493785    -0.054764     1.354779
49754.25    -0.551495    -0.212404     0.846564
49754.50    -0.593917    -0.251231     0.796693
49754.75    -0.570069    -0.183987     0.664309
49755.00    -0.488689    -0.041204     0.729907
49755.25    -0.431361    -0.083676     0.534445
49755.50    -0.417096    -0.097828     0.545493
49755.75    -0.418805    -0.052207     0.505189
49756.00    -0.416382     0.085259     0.816661
49756.25    -0.415917     0.053837     0.917146
49756.50    -0.463757    -0.059625     0.758478
49756.75    -0.449606    -0.221951     0.029454
49757.00    -0.491689    -0.243480    -0.103714
49757.25    -0.606008    -0.367119    -0.368137
49757.50    -0.722733    -0.292973    -0.023906
49757.75    -0.765919    -0.138812     0.180730
49758.00    -0.772087     0.139321     0.909070
49758.25    -0.691763     0.240238     1.192500
49758.50    -0.676689     0.384913     1.657987
49758.75    -0.666647     0.507607     1.862801
49759.00    -0.652688     0.670188     2.502894
49759.25    -0.603497     0.601188     2.585230
49759.50    -0.530046     0.591349     2.820681
49759.75    -0.484998     0.453652     2.424284
49760.00    -0.454382     0.421848     2.496901
49760.25    -0.412105     0.176946     2.067014
49760.50    -0.363457    -0.082085     1.483740
49760.75    -0.332000    -0.328209     0.483560
49761.00    -0.297901    -0.333016     0.401750
49761.25    -0.310004    -0.449798     0.042060
49761.50    -0.329484    -0.496207    -0.061032
49761.75    -0.349648    -0.488601    -0.360395
49762.00    -0.373093    -0.298932     0.110866
49762.25    -0.372810    -0.285843     0.108945
49762.50    -0.333433    -0.271880    -0.010392
49762.75    -0.293361    -0.230173    -0.451760
49763.00    -0.291341    -0.011370    -0.073798
49763.25    -0.280764     0.048100     0.016452
49763.50    -0.310758     0.120112     0.416447
49763.75    -0.407693     0.167216     0.620094
49764.00    -0.559253     0.262598     1.343597
49764.25    -0.567684     0.121348     1.393654
49764.50    -0.457386     0.036139     1.141831
49764.75    -0.283235    -0.099280     0.187633
49765.00    -0.175270    -0.134595    -0.130021
49765.25    -0.128005    -0.320567    -0.730014
49765.50    -0.092087    -0.450441    -1.084714
49765.75    -0.003453    -0.630659    -1.913614
49766.00    -0.021845    -0.548739    -1.665227
49766.25     0.030682    -0.525231    -1.493167
49766.50     0.115289    -0.471137    -1.274594
49766.75     0.230848    -0.514305    -1.636666
49767.00     0.180495    -0.405203    -1.304412
49767.25     0.060994    -0.451620    -1.145426
49767.50    -0.079939    -0.443299    -0.799948
49767.75    -0.129504    -0.424102    -0.797205
49768.00    -0.161357    -0.225411    -0.216019
49768.25    -0.167772    -0.117824     0.257932
49768.50    -0.213095     0.085147     0.999041
49768.75    -0.271337     0.241251     1.290491
49769.00    -0.323063     0.469075     1.937448
49769.25    -0.401442     0.555816     2.369615
49769.50    -0.362562     0.551422     2.540216
49769.75    -0.248396     0.316347     1.578883
49770.00    -0.223044     0.191841     1.067368
49770.25    -0.219714     0.022977     0.613604
49770.50    -0.176077    -0.070156     0.336656
