Table 9-5b,,,,,
Canada-United States/United States-Canada Travela,,,,,
Characteristics:1996,,,,,
(Thousands of visitors),,,,,
,,,,,
,Pleasure/,,Visit family,,
,tourism,Business,and friends,Otherb,Total
,,,,,
Canadian source data,,,,,
    Canadian resident overnight travel to the United States,,,,,
       Trip quarter ,"8,809","2,421","2,653","1,417","15,300"
           1st quarter of the year ,"2,094",565,501,239,"3,399"
           2nd quarter of the year ,"2,068",676,635,365,"3,744"
           3rd quarter of the year ,"3,165",624,907,494,"5,190"
           4th quarter of the year ,"1,482",556,610,319,"2,967"
       Trip duration ,"8,809","2,421","2,653","1,417","15,300"
           One-three nights ,"3,924","1,286","1,394","1,083","7,687"
           Four-thirteen nights ,"3,607","1,066","1,039",283,"5,995"
           More than 14 nights ,"1,279",69,220,52,"1,620"
       Age and gender of visitor ,"8,809","2,421","2,653","1,417","15,300"
"          Males, total ","3,889","1,502","1,048",576,"7,015"
           Ages 14 and under ,482,22,130,60,694
           Ages 15-34 ,653,340,200,111,"1,304"
           Ages 35-64 ,"2,165","1,098",521,317,"4,101"
           Ages 65+ ,589,42,197,88,916
"          Females, total ","4,427",733,"1,416",714,"7,290"
           Ages 14 and under ,491,27,140,58,716
           Ages 15-34 ,870,226,321,168,"1,585"
           Ages 35-64 ,"2,445",449,713,377,"3,984"
           Ages 65+ ,621,31,242,111,"1,005"
"         Gender not stated, total",494,186,189,127,996
,,,,,
    U.S. resident overnight travel to Canada,,,,,
       Trip quarter ,"7,392","1,970","2,221","1,325","12,908"
           1st quarter of the year ,695,397,312,201,"1,605"
           2nd quarter of the year ,"1,936",589,561,413,"3,499"
           3rd quarter of the year ,"3,867",564,804,480,"5,715"
           4th quarter of the year ,894,420,544,231,"2,089"
       Trip duration ,"7,392","1,970","2,221","1,325","12,908"
           One-three nights ,"4,433","1,356","1,332",877,"7,998"
           Four-thirteen nights ,"2,765",600,789,427,"4,581"
           More than 14 nights ,194,14,100,21,329
       Age and gender of visitor ,"7,392","1,970","2,221","1,325","12,908"
"          Males, total ","3,291","1,301",955,653,"6,200"
           Ages 14 and under ,344,18,109,57,528
           Ages 15-34 ,618,213,181,123,"1,135"
           Ages 35-64 ,"1,744","1,027",492,356,"3,619"
           Ages 65+ ,585,43,173,117,918
"          Females, total ","3,567",584,"1,163",539,"5,853"
           Ages 14 and under ,360,16,119,40,535
           Ages 15-34 ,656,144,272,117,"1,189"
           Ages 35-64 ,"1,942",389,587,295,"3,213"
           Ages 65+ ,609,35,185,87,916
"         Gender not stated, total",534,84,103,133,854
aTravel here refers to trips of one or more nights.,,,,,
"bOther trip purposes include personal, in transit, shopping, educational study and other.",,,,,
,,,,,
SOURCES,,,,,
Canada,,,,,
"Statistics Canada. International Travel, Travel between Canada and other countries (Touriscope), Catalogue No. 66-201-XPB. (Ottawa,",,,,,
Ont.: various years).,,,,,
"Statistics Canada. Special tabulations. (Ottawa, Ont.: 1998).",,,,,
United States,,,,,
The United States does not collect data on same day travel to or from the United States nor for Canadian overnight travel to the,,,,,
United States for all modes of transportation and with travel characteristics. U.S. agencies typically obtain this data from Statistics
Canada.
