s o   pedestal     gain      rms      dped     dgain     drms
1 1 1777.558350 -1.000000 1.236822 -0.902710 0.000000 -0.089941
1 2 1782.695068 -1.000000 1.298891 -0.991821 0.000000 -0.007739
1 3 1812.216309 -1.000000 1.555543 -1.691772 0.000000 -0.003594
1 4 1781.693848 -1.000000 1.243642 -1.117310 0.000000 -0.034893
1 5 1802.309814 -1.000000 1.306002 -1.333618 0.000000 0.011929
1 6 1787.273438 -1.000000 1.485753 -1.190186 0.000000 -0.160525
1 7 1797.001099 -1.000000 1.124100 -1.221069 0.000000 -0.023672
1 8 1803.306885 -1.000000 1.660905 -1.199707 0.000000 -0.126708
2 1 1795.938354 -1.000000 1.808550 -2.056641 0.000000 0.010027
2 2 1800.316406 -1.000000 1.460588 -1.311035 0.000000 -0.049688
2 3 1804.446899 -1.000000 2.106539 -1.365112 0.000000 -0.114809
2 4 1794.753052 -1.000000 1.774908 -1.238525 0.000000 -0.165198
2 5 1782.006592 -1.000000 1.562023 -1.154541 0.000000 -0.119166
2 6 1788.471558 -1.000000 1.648414 -1.313843 0.000000 -0.006369
2 7 1794.963135 -1.000000 1.655826 -1.661377 0.000000 -0.061834
2 8 1798.450317 -1.000000 1.366853 -1.568848 0.000000 -0.029921
3 1 1765.131714 -1.000000 2.699302 -0.632446 0.000000 0.113305
3 2 1799.240967 -1.000000 2.555362 -1.559326 0.000000 0.129231
3 3 1789.043091 -1.000000 3.203561 -0.844849 0.000000 0.051779
3 4 1792.639404 -1.000000 2.260699 -1.106323 0.000000 -0.068441
3 5 1790.176270 -1.000000 2.290473 -0.898438 0.000000 -0.083757
3 6 1783.023926 -1.000000 2.168567 -1.025757 0.000000 -0.059645
3 7 1800.762817 -1.000000 1.760965 -1.320679 0.000000 -0.080390
3 8 1798.555420 -1.000000 1.969259 -1.536011 0.000000 0.017408
