-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    ECMWF_CME
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
sni1        49718.000    1995     1     1     0
sni1        52274.750    2001    12    31    18
sni1     -2631346.566 -4646278.982  3477113.259
sni1           33.248     -119.524      239.699
sni1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.282144     0.230694    -1.447522
49718.25     0.340743     0.303679    -1.736115
49718.50     0.284213     0.278209    -1.411379
49718.75     0.371619     0.420124    -2.184118
49719.00     0.288386     0.271835    -1.618595
49719.25     0.329657     0.307362    -1.655868
49719.50     0.258192     0.212369    -1.059800
49719.75     0.267711     0.300318    -1.432968
49720.00     0.157519     0.172248    -0.960333
49720.25     0.163318     0.242000    -1.006487
49720.50     0.096557     0.273036    -0.649090
49720.75     0.082925     0.338371    -1.099367
49721.00    -0.011686     0.191580    -0.711778
49721.25     0.017613     0.258803    -1.032981
49721.50    -0.162530     0.234454    -0.488745
49721.75    -0.407411     0.261064    -0.665252
49722.00    -0.770924    -0.026557     0.542279
49722.25    -0.925354    -0.266964     1.083177
49722.50    -1.003074    -0.501680     1.672887
49722.75    -0.882940    -0.531688     0.997595
49723.00    -0.840070    -0.724350     1.274779
49723.25    -0.602306    -0.607659     0.581865
49723.50    -0.578152    -0.600510     0.774648
49723.75    -0.488498    -0.393167    -0.048803
49724.00    -0.590003    -0.439104     0.224847
49724.25    -0.610938    -0.273351     0.147103
49724.50    -0.696215    -0.260854     0.681442
49724.75    -0.605572    -0.109650    -0.020108
49725.00    -0.592102    -0.206440     0.305738
49725.25    -0.404877    -0.024086    -0.125041
49725.50    -0.412769     0.013934     0.191613
49725.75    -0.272700     0.232763    -0.659748
49726.00    -0.254334     0.170593    -0.439898
49726.25    -0.151914     0.286897    -0.663950
49726.50    -0.239187     0.228904     0.015942
49726.75    -0.226335     0.316547    -0.312676
49727.00    -0.373455     0.160754     0.295925
49727.25    -0.393445     0.222500     0.321485
49727.50    -0.536922     0.131059     1.020306
49727.75    -0.557958     0.148669     0.674934
49728.00    -0.741020    -0.097019     1.382764
49728.25    -0.685754    -0.110291     1.200717
49728.50    -0.662021    -0.204744     1.542699
49728.75    -0.558008    -0.134219     0.817777
49729.00    -0.574702    -0.298873     1.160330
49729.25    -0.423489    -0.198253     0.795549
49729.50    -0.443791    -0.230730     1.238493
49729.75    -0.306294    -0.096293     0.412060
49730.00    -0.233502    -0.229744     0.691283
49730.25    -0.038023    -0.103175     0.259728
49730.50    -0.044992    -0.109056     0.666647
49730.75     0.042336     0.050424    -0.015101
49731.00    -0.013537    -0.071684     0.413483
49731.25    -0.003229    -0.004302     0.323739
49731.50    -0.139027    -0.111715     1.081209
49731.75    -0.166772    -0.078469     0.837042
49732.00    -0.336297    -0.267619     1.488749
49732.25    -0.363648    -0.280145     1.507211
49732.50    -0.448935    -0.404849     1.972695
49732.75    -0.403998    -0.321562     1.401376
49733.00    -0.453208    -0.501665     1.792974
49733.25    -0.314580    -0.422129     1.547386
49733.50    -0.367340    -0.492241     2.069103
49733.75    -0.285210    -0.360566     1.394174
49734.00    -0.325123    -0.487638     1.689407
49734.25    -0.217927    -0.397086     1.363227
49734.50    -0.280318    -0.422077     1.679457
49734.75    -0.149454    -0.223842     0.753749
49735.00    -0.220428    -0.325938     1.012651
49735.25    -0.088673    -0.090377     0.353158
49735.50    -0.075459    -0.081947     0.586237
49735.75     0.071700     0.122706    -0.420705
49736.00     0.074748    -0.003757    -0.189301
49736.25     0.202357     0.067739    -0.513988
49736.50     0.192209    -0.010930    -0.070136
49736.75     0.269171     0.079827    -0.522907
49737.00     0.221779    -0.061953     0.000792
49737.25     0.256895     0.007228    -0.033115
49737.50     0.192945    -0.044463     0.593078
49737.75     0.195873     0.081195     0.109381
49738.00     0.105635    -0.077015     0.552979
49738.25     0.125836    -0.022886     0.398719
49738.50     0.079698    -0.102160     0.843557
49738.75     0.125747     0.012322     0.164899
49739.00     0.052408    -0.133432     0.504550
49739.25     0.106851    -0.067482     0.286803
49739.50     0.091896    -0.067832     0.498788
49739.75     0.119234     0.088324    -0.203508
49740.00     0.025539    -0.026723     0.117597
49740.25     0.066553     0.054489    -0.062373
49740.50    -0.021114     0.005619     0.406279
49740.75     0.025974     0.123768    -0.130195
49741.00    -0.060195    -0.026270     0.499620
49741.25    -0.008681     0.080535     0.319760
