FOUS88 KWNO 250000
OUTPUT FROM NGM 00Z AUG 25 04
TTPTTR1R2R3 VVVLI PSDDFF HHT1T3T5   TTPTTR1R2R3 VVVLI PSDDFF HHT1T3T5
ANC//464429 -0404 000303 59171104   ANN//574440 -0502 990903 54150902
06000415232 01202 012905 59181203   06000515039 -0302 993508 53160902
12000495133 01402 023107 57161103   12000494431 00904 000210 53141002
18000545033 01702 020107 56141003   18000564229 -0902 033306 52150902
24000395440 00300 022606 57191202   24000444739 -1002 053014 54181003
30000405931 01099 013009 56181101   30000725345 00201 093117 53140903
36000466436 02199 012609 54161000   36000956043 00802 133113 52120803
42000527637 01499 022705 51140800   42000886733 01002 182707 51120702
48007548341 03698 012109 51160800   48002786348 00402 182612 53140803

CDV//655735 -0103 011501 57141004   JNU//575828 -0703 002604 53130700
06000666638 00201 022510 56151003   06000666435 00102 003015 52120700
12000706539 01101 022909 55141003   12000737137 01101 003111 51110700
18000706436 02201 030000 54131002   18000747639 00101 022907 50110700
24000586545 01500 042311 55161002   24005577351 00899 042710 51150799
30002637037 02898 042315 54161102   30000676550 00400 073210 51130799
36006777645 03699 052115 53131001   36000816644 -0101 113006 50110599
42012838847 03699 062015 52120800   42000868349 -0201 142004 49100400
48009949547 02797 062018 51120700   48011728050 01899 142212 51130600

ORT//627028 01401 010103 53110497   YAK//806234 -0502 022801 54120702
06000676034 00502 030615 50080295   06000747241 00801 013011 54130801
12000884444 00306 070811 46030095   12000717644 01601 013310 53120801
18000804051 -0608 080807 44039894   18000717545 00702 030104 51110700
24000564949 00204 060906 47070095   24000647154 01901 052705 52130700
30000556348 00403 071217 47070095   30000727547 02400 072603 51130700
36000708052 01601 081515 47050195   36005878748 01201 102008 50100600
42003769559 02500 071510 48060296   42006969352 03400 111912 50100500
48013899867 03797 041709 51090397   48010968850 01900 122014 50100500
