#BottleID	SampleID	SMCOD	STAID	Reach	Group	AlgaeGroup	Phylum	Family	Genus	Species	Variety	TaxonAuthority	ScientificName	NADEDID	ShortName	SampleProcessingStatusText
42	41	UIRB0799AQE1030A	05520500	A	N	Red Algae	Rhodophyta	(Undetermined)	Unknown Rhodophyte	Florideophycidae (chantransia)			Unknown Rhodophyte Florideophycidae (chantransia) 	1599006	XRHchant	Completed
42	41	UIRB0799AQE1030A	05520500	A	N	Green Algae	Chlorophyta	Cladophoraceae	Cladophora	sp.			Cladophora sp. 	309001	CLAsp	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	pediculus		Ehrenberg	Cocconeis pediculus Ehrenberg	16011	CCpedcls	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Achnanthaceae	Cocconeis	placentula		Ehrenberg	Cocconeis placentula Ehrenberg	16004	CCplacen	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Diatomaceae	Staurosirella	lapponica		(Grunow) Williams et Round	Staurosirella lapponica (Grunow) Williams et Round	175002	SAlappon	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Melosiraceae	Melosira	varians		Agardh	Melosira varians Agardh	44073	MEvarian	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Fallacia	subhamulata		(Grunow) Mann	Fallacia subhamulata (Grunow) Mann	115007	FAsubham	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Gomphonema	minutum		(Agardh) Agardh	Gomphonema minutum (Agardh) Agardh	37178	GOminutm	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Gyrosigma	scalproides		(Rabenhorst) Cleve	Gyrosigma scalproides (Rabenhorst) Cleve	38012	GYscalpd	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Luticola	goeppertiana		(Bleisch) Mann	Luticola goeppertiana (Bleisch) Mann	130006	LUgoepp2	Completed
43	41	UIRB0799AQE1030B	05520500	A	D	Diatoms	Chrysophyta	Naviculaceae	Navicula	cryptotenella		Lange-Bertalot ex Krammer et Lange-Bertalot	Navicula cryptotenella Lange-Bertalot ex Krammer et Lange-Bertalot	46527	NAcryten	Completed
