Dataset:              Benthic Species Abundance Data
File Name:            G3_2LA91.TXT
Date Created:         07/29/99
# Variables:          7
# Header Records:     17
# Data Records:       2267
Missing Value Symbol: .

Variables:    STA_NAME     Station name
              DATE         Sample collection date (YYMMDD)
              LATIN NAME   Scientific (Latin) name
              #GRABS       Number of grabs
              T_ABN        Total abundance (#)
              M_ABN        Mean abundance (#)
              SDABN        Std. dev. of mean abundance

STA_NAME   DATE LATIN NAME                       #GRABS  T_ABN    M_ABN  SDABN
LA91LR01 910721 AMPELISCA HOLMESI                     3      1     0.33   0.58
LA91LR01 910721 AMPELISCA VADORUM                     3      2     0.67   1.15
LA91LR01 910721 AMPITHOE LONGIMANA                    3      1     0.33   0.58
LA91LR01 910721 AMYGDALUM PAPYRIUM                    3      8     2.67   2.89
LA91LR01 910721 ARICIDEA LOPEZI                       3      6     2.00   1.73
LA91LR01 910721 ARICIDEA PHILBINAE                    3      1     0.33   0.58
LA91LR01 910721 ASYCHIS ELONGATUS                     3      1     0.33   0.58
LA91LR01 910721 BIFFARIUS BIFORMIS                    3      1     0.33   0.58
LA91LR01 910721 CAPITELLIDES SP.                      3      1     0.33   0.58
LA91LR01 910721 CARAZZIELLA HOBSONAE                  3      1     0.33   0.58
LA91LR01 910721 CAULLERIELLA ALATA                    3      3     1.00   1.00
LA91LR01 910721 CERAPUS TUBULARIS                     3      1     0.33   0.58
LA91LR01 910721 CIRROPHORUS SP.                       3      6     2.00   1.73
LA91LR01 910721 ELASMOPUS LEVIS                       3      1     0.33   0.58
LA91LR01 910721 EUCERAMUS PRAELONGUS                  3      1     0.33   0.58
LA91LR01 910721 GALEOMMATACEA SP.A                    3      2     0.67   0.58
LA91LR01 910721 KALLIAPSEUDES SP.A                    3      1     0.33   0.58
LA91LR01 910721 LEITOSCOLOPLOS ROBUSTUS               3      1     0.33   0.58
LA91LR01 910721 LIGHTIELLA FLORIDANA                  3      3     1.00   0.00
LA91LR01 910721 LUMBRINERIS SP.A                      3      1     0.33   0.58
LA91LR01 910721 MAGELONA PETTIBONEAE                  3      2     0.67   0.58
LA91LR01 910721 MARGINELLA APICINA                    3      1     0.33   0.58
LA91LR01 910721 MEDIOMASTUS SP.                       3      4     1.33   1.53
LA91LR01 910721 MELINNA MACULATA                      3      5     1.67   1.53
LA91LR01 910721 MICROPROTOPUS RANEYI                  3      1     0.33   0.58
LA91LR01 910721 MUSCULUS LATERALIS                    3      1     0.33   0.58
LA91LR01 910721 MYRIOCHELE OCULATA                    3      2     0.67   0.58
LA91LR01 910721 MYSELLA SP.                           3      1     0.33   0.58
LA91LR01 910721 NEANTHES SUCCINEA                     3      3     1.00   1.00
LA91LR01 910721 NUCULA CRENULATA                      3      2     0.67   0.58
LA91LR01 910721 NUCULANA CONCENTRICA                  3      1     0.33   0.58
LA91LR01 910721 OGYRIDES ALPHAEROSTRIS                3      1     0.33   0.58
LA91LR01 910721 PAGURUS MACLAUGHLINAE                 3      2     0.67   0.58
LA91LR01 910721 PARACAPRELLA TENUIS                   3      3     1.00   1.00
LA91LR01 910721 PARAPRIONOSPIO PINNATA                3      2     0.67   0.58
LA91LR01 910721 PHOTIS PUGNATOR                       3      1     0.33   0.58
LA91LR01 910721 PHYLLODOCE ARENAE                     3      1     0.33   0.58
LA91LR01 910721 PINNIXA SP.                           3      2     0.67   1.15
LA91LR01 910721 PINNIXA SP.A                          3      2     0.67   1.15
LA91LR01 910721 PISTA CRISTATA                        3      1     0.33   0.58
LA91LR01 910721 PITHO SP.A                            3      1     0.33   0.58
