atp_code,atp_description,country_code,country_description,exports_JUNE_2006,exports_MAY_2006,exports_YTD_JUNE_2006,exports_YTD_JUNE_2005,imports_JUNE_2006,imports_MAY_2006,imports_YTD_JUNE_2006,imports_YTD_JUNE_2005
01,Biotechnology,0002,Europe,207712781,275057447,1645902827,1816750307,328892412,437899113,2168386206,1887533195
02,Life Science,0002,Europe,734312397,747705810,4330746606,3625005214,2227801678,2138758228,11704211116,11793431406
03,Opto-Electronics,0002,Europe,160593837,144831788,837764714,783064465,82684718,86159658,422045104,437542774
04,Information & Communications,0002,Europe,1715746247,1231932220,8340303948,8248282376,639698148,635370361,3785215586,4165352629
05,Electronics,0002,Europe,528851551,495903072,2864975499,2238381733,254906784,255616318,1542192670,1626005719
06,Flexible Manufacturing,0002,Europe,221683964,187565693,1206081296,1117648174,334291874,200936133,1475732754,1427255628
07,Advanced Materials,0002,Europe,29899505,31907947,171882255,176390523,45683828,46036655,255385358,219080891
08,Aerospace,0002,Europe,2791407062,2529595890,14979281280,12543358782,1349661504,1357519760,7703722761,6600071399
09,Weapons,0002,Europe,40735616,35648271,469225404,397439362,35534466,29713987,189047234,142768628
10,Nuclear Technology,0002,Europe,74664636,56394828,305778944,110549212,246631821,229870756,1221880888,1000357554
01,Biotechnology,0003,European Union,190338884,266848147,1582385073,1776146715,304151053,414786044,2055604124,1785826893
02,Life Science,0003,European Union,675149824,686585430,3989773815,3369731515,2073126896,2025660294,10774112214,10915029433
03,Opto-Electronics,0003,European Union,153141156,138135070,790181987,750645757,68616244,71825674,353680564,381721661
04,Information & Communications,0003,European Union,1632037236,1153316615,7778820947,7797212388,614927073,607535484,3641583683,4038184171
05,Electronics,0003,European Union,513425262,483594363,2786178130,2149409616,244397531,244823398,1470564035,1523559130
06,Flexible Manufacturing,0003,European Union,212839900,181011078,1146256438,1063002746,317351291,183678695,1378745673,1311025942
07,Advanced Materials,0003,European Union,27796659,29457423,158798597,164567349,44795950,44836692,247357731,215698376
08,Aerospace,0003,European Union,2541213730,2276145048,13482232270,11859979482,1293922480,1253601649,7367453189,6368975594
09,Weapons,0003,European Union,34630915,33193025,454197358,375553363,27417407,26587478,161015219,119252054
10,Nuclear Technology,0003,European Union,69081422,51908089,287752007,74931433,122333179,189982533,865465924,643203435
01,Biotechnology,0009,South and Central America,11589018,16369500,76257523,57649331,1360226,677718,5304180,2610811
02,Life Science,0009,South and Central America,94296733,96473760,505097667,420475088,80725032,87210181,438718020,417594009
03,Opto-Electronics,0009,South and Central America,15495333,13396201,78550669,73279544,724070,686578,5743575,4691372
04,Information & Communications,0009,South and Central America,722616857,675249891,4103747757,3183746505,82969418,89089560,548266797,537593859
05,Electronics,0009,South and Central America,178925041,193256521,1040839729,862264756,33840515,25601305,139275431,213554355
06,Flexible Manufacturing,0009,South and Central America,30871377,25598226,164211767,132149092,1683734,1918695,9739085,10880208
07,Advanced Materials,0009,South and Central America,2801027,7508725,37344533,9278102,364058,414796,2325571,1598623
08,Aerospace,0009,South and Central America,495454446,306063533,2163738974,1521532253,173062275,75466043,617872323,1002255693
09,Weapons,0009,South and Central America,1733381,1124760,10836913,4603018,0,435426,495476,373868
10,Nuclear Technology,0009,South and Central America,2302796,663854,7480718,5154081,0,0,12188,8027
01,Biotechnology,0010,North America,90193547,45349237,340980476,232317010,13072744,8856903,72697716,52563748
