Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
2224,68,NEWPORT BEACH,ORANGE,CA,33.61,-117.91,NEWPORT BEACH LIFEGUARDS REPORT. (SGX)
2254,68,NEWPORT BEACH,ORANGE,CA,33.61,-117.91,REPORTED BY LIFEGUARD (SGX)
2320,UNK,6 SE MANOR,WARE,GA,31.04,-82.5,WARE COUNTY STREETS AND ROADS DEPARTMENT HAD TO CLEAR NUMEROUS DOWNED TREES FROM THUNDERSTORM WIND DAMAGE NEAR SUWANNEE CREEK. (JAX)
Time,Size,Location,County,State,Lat,Lon,Comments
2045,88,5 SE SICILY ISLAND,CATAHOULA,LA,31.8,-91.6,NEAR FOULS (JAN)
2051,88,5 SW NEW SITE,TALLAPOOSA,AL,32.98,-85.84,HIWAY 22E (BMX)
2131,88,3 S WATERPROOF,TENSAS,LA,31.76,-91.39,(JAN)
2135,100,4 E CLAYTON,CONCORDIA,LA,31.72,-91.47,QUARTER SIZED HAIL COVERING THE GROUND. (JAN)
2142,175,7 NW BROOKHAVEN,LINCOLN,MS,31.66,-90.53,NEAR LOYDSTAR (JAN)
2150,75,7 WSW NEWELLTON,TENSAS,LA,32.03,-91.35,(JAN)
2158,75,LAFAYETTE,CHAMBERS,AL,32.9,-85.4,(BMX)
2200,175,9 NW BROOKHAVEN,LINCOLN,MS,31.68,-90.55,NEAR LOYDSTAR (JAN)
2210,88,3 S WATERPROOF,TENSAS,LA,31.76,-91.39,(JAN)
2238,175,4 S RINGGOLD,BIENVILLE,LA,32.27,-93.28,(SHV)
2245,75,7 W HAZLEHURST,COPIAH,MS,31.86,-90.51,(JAN)
2250,88,COGDELL,CLINCH,GA,31.16,-82.72,STORM SPOTTER REPORTED NICKEL SIZE HAIL AND MEASURED 50 MPH WIND GUST WITH HANDHELD ANEMOMETER. (JAX)
2300,150,7 SE SAN ANGELO,TOM GREEN,TX,31.37,-100.37,(SJT)
2300,100,COSTA MESA,ORANGE,CA,33.67,-117.91,NICKEL TO QUARTER SIZED HAIL. WINDS GUSTED TO 45 MPH. (SGX)
2305,75,12 E HOMERVILLE,WARE,GA,31.04,-82.55,(JAX)
2305,125,4 W GALLMAN,COPIAH,MS,31.93,-90.46,ON DENTVILLE ROAD. (JAN)
2330,88,4 SW SICILY ISLAND,CATAHOULA,LA,31.81,-91.71,NICKEL HAIL IN LELAND (JAN)
2333,100,8 W AMARILLO,POTTER,TX,35.2,-101.96,(AMA)
2335,75,MESA,MARICOPA,AZ,33.42,-111.74,(PSR)
0000,88,HATCHEL,RUNNELS,TX,31.85,-99.95,(SJT)
0003,100,1 E BROOKHAVEN,LINCOLN,MS,31.58,-90.43,REPORTED THROUGH WAPT TV (JAN)
0020,100,17 S LINDEN,MARENGO,AL,32.06,-87.79,IN DIXONS MILLS (BMX)
0028,200,17 SE LINDEN,WILCOX,AL,32.13,-87.59,5 MILES EAST OF DIXON MILLS (BMX)
0030,175,WINTERS,RUNNELS,TX,31.97,-99.93,(SJT)
0040,88,OLNEY,YOUNG,TX,33.36,-98.76,(FWD)
0040,75,CAVE CREEK,MARICOPA,AZ,33.83,-111.97,(PSR)
0055,88,NAZARETH,CASTRO,TX,34.54,-102.1,(LUB)
0112,425,8 SW ABILENE,TAYLOR,TX,32.37,-99.83,(SJT)
0115,88,LANETT,CHAMBERS,AL,32.87,-85.21,NUMEROUS REPORTS OF DIME TO NICKEL SIZE HAIL IN LANETT AN VALLEY (BMX)
0135,175,3 SE HAWLEY,JONES,TX,32.58,-99.78,(SJT)
0148,88,4 WSW AMARILLO,RANDALL,TX,35.18,-101.88,(AMA)
0150,88,5 W AMARILLO,POTTER,TX,35.2,-101.91,(AMA)
0208,100,4 NE AMARILLO,POTTER,TX,35.24,-101.77,(AMA)
0240,100,9 NE MILLERSVIEW,COLEMAN,TX,31.5,-99.65,(SJT)
0246,100,19 NE EDEN,CONCHO,TX,31.41,-99.62,(SJT)
0305,100,15 E HASKELL,HASKELL,TX,33.16,-99.47,QUARTER SIZE HAIL FELL ALONG HASKELL/THROCKMORTON COUNTY LINE (SJT)
0318,175,DENTON,JEFF DAVIS,GA,31.72,-82.7,(JAX)
0335,100,8 E KETTLEMAN CITY,KINGS,CA,36.01,-119.82,(HNX)
0348,100,VERNON,WILBARGER,TX,34.15,-99.28,(OUN)
0400,100,4 E ALTUS,JACKSON,OK,34.64,-99.26,(OUN)
0401,125,5 W ARCHER CITY,ARCHER,TX,33.59,-98.71,(OUN)
0415,100,LAKESIDE CITY,ARCHER,TX,33.83,-98.54,(OUN)
0417,100,WICHITA FALLS,WICHITA,TX,33.91,-98.5,(OUN)
0440,125,5 W ROOSEVELT,KIOWA,OK,34.85,-99.11,DIME TO HALF DOLLAR SIZE HAIL COVERED THE ROAD (OUN)
0447,75,GOTEBO,KIOWA,OK,35.07,-98.87,(OUN)
0452,175,6 SW PATTONVILLE,LAMAR,TX,33.52,-95.46,(FWD)
0500,75,COOPER,DELTA,TX,33.37,-95.69,(FWD)
0521,100,3 ENE WYLIE,COLLIN,TX,33.06,-96.47,QUARTER SIZE HAIL REPORTED (FWD)
0538,88,2 S PARIS,LAMAR,TX,33.64,-95.55,REPORTED ON SOUTH SIDE OF PARIS (FWD)
0625,175,2 NE WESTMINSTER,COLLIN,TX,33.38,-96.43,REPORTED BY AMATEUR RADIO SPOTTERS (FWD)
0625,175,SUMNER,LAMAR,TX,33.74,-95.67,GOLFBALL SIZE HAIL REPORTED IN SUMNER (FWD)
0639,75,4 W LEONARD,FANNIN,TX,33.38,-96.32,REPORTED BY AMATEUR RADIO SPOTTERS (FWD)
0740,175,2 W HAMILTON,HAMILTON,TX,31.7,-98.16,REPORTED JUST WEST OF HAMILTON (FWD)
0751,100,MC CURTAIN,HASKELL,OK,35.15,-94.97,PEA TO QUARTER SIZE HAIL COVERED GROUND (TSA)
0815,75,GREENVILLE,HUNT,TX,33.12,-96.1,THREE-QUARTER INCH DIAMETER HAIL REPORTED IN GREENVILLE (FWD)
0851,100,MULDROW,SEQUOYAH,OK,35.41,-94.6,(TSA)
0910,88,1 S NATURAL DAM,CRAWFORD,AR,35.63,-94.39,(TSA)
