-----------------------------------------------
3D SITE DISPLACEMENT DUE TO ATMOSPHERIC LOADING
-----------------------------------------------
METEOROLOGICAL CENTER & DEGREE 1 :    NCEP_CMEA
CMEA : CENTER OF MASS OF THE EARTH + ATMOSPHERE
CME  : CENTER OF MASS OF THE SOLID EARTH  ALONE
SITE COORDINATES ACCORDING TO ITRF2000 SOLUTION
-----------------------------------------------
CREATOR EMAIL : PASCAL.GEGOUT@EOST.U-STRASBG.FR
-----------------------------------------------
UPO1        49718.000    1995     1     1     0
UPO1        52274.750    2001    12    31    18
UPO1     -5464031.767 -2446032.649  2193283.030
UPO1           20.246     -155.884       78.205
UPO1     NORTH_Offset  EAST_Offset    UP_Offset
49718.00     0.357616     0.695314    -0.606479
49718.25     0.094176     0.506421    -0.295617
49718.50     0.651737    -0.057466    -0.421035
49718.75     0.626224     0.319058    -0.848948
49719.00     0.796879     0.292439    -0.421111
49719.25     0.516363    -0.098925     0.043930
49719.50     0.565350    -0.606144     0.029049
49719.75     0.280818    -0.182894    -0.292750
49720.00     0.292640     0.076737    -0.086343
49720.25    -0.252674    -0.054422     0.185463
49720.50    -0.088615    -0.583466     0.044342
49720.75    -0.118493    -0.091564    -0.332517
49721.00    -0.001621     0.255535    -0.081092
49721.25    -0.264216     0.187952     0.281886
49721.50     0.328521    -0.191289     0.188374
49721.75     0.464380     0.442119    -0.101824
49722.00     0.764384     0.809449     0.469160
49722.25     0.490744     0.859558     1.097794
49722.50     1.083123     0.603504     1.136537
49722.75     1.129344     1.268859     0.842297
49723.00     1.367550     1.527293     1.205312
49723.25     1.105944     1.435686     1.535297
49723.50     1.223835     1.082219     1.525207
49723.75     0.877875     1.804877     0.999500
49724.00     0.752915     2.341945     1.046655
49724.25     0.131705     2.305523     1.245344
49724.50    -0.011037     1.943679     1.104913
49724.75    -0.163774     2.226206     0.714327
49725.00    -0.492319     2.446595     0.984519
49725.25    -1.155672     1.923075     1.129983
49725.50    -0.911528     1.308466     0.971390
49725.75    -0.946331     1.439844     0.386286
49726.00    -0.735393     1.391851     0.722429
49726.25    -1.053360     0.889609     0.931717
49726.50    -0.728171     0.318173     0.771486
49726.75    -0.839873     0.569430     0.179227
49727.00    -0.605283     0.810751     0.399015
49727.25    -0.849645     0.353483     0.586173
49727.50    -0.470189    -0.072974     0.401279
49727.75    -0.410734     0.353742    -0.053662
