 542597.74 2820605.40    1.46 GH01265A99 19991209Y
 542217.41 2820604.70    1.48 GH01265A99 19991209Y
 541818.92 2820600.45    1.29 GH01265A99 19991209Y
 541422.22 2820601.75    1.67 GH01265A99 19991209Y
 541021.69 2820600.00    1.54 GH01265A99 19991209Y
 540624.26 2820597.81    1.30 GH01265A99 19991209Y
 540221.20 2820595.26    1.34 GH01265A99 19991209Y
 539859.81 2820591.79    1.49 GH01265A99 19991209Y
 539421.52 2820602.16    1.45 GH01265A99 19991209Y
 539004.26 2820595.44    1.26 GH01265A99 19991209Y
 538654.51 2820598.76    1.41 GH01265A99 19991209Y
 538225.90 2820600.98    1.42 GH01265A99 19991209Y
 537808.06 2820602.33    1.21 GH01265A99 19991209Y
 543022.00 2820598.72    1.51 GH01313A99 19991209Y
 542608.93 2821015.04    1.50 GH01313A99 19991209Y
 542547.60 2821399.68    1.58 GH01313A99 19991209Y
 542518.92 2821824.83    1.47 GH01313A99 19991209Y
 542397.46 2822230.70    1.36 GH01313A99 19991209Y
 542627.05 2823802.74    1.54 GH01313A99 19991209Y
 542609.22 2824213.53    1.47 GH01313A99 19991209Y
 542619.64 2825008.89    1.66 GH01313A99 19991209Y
 542625.36 2825414.97    1.80 GH01313A99 19991209Y
 543028.34 2824604.68    1.56 GH01313A99 19991209Y
 543025.78 2825804.98    1.69 GH01313A99 19991209Y
 543021.49 2826209.36    1.55 GH01313A99 19991209Y
 542210.20 2821007.60    1.47 GH07265A99 19991209Y
 541810.50 2821004.48    1.30 GH07265A99 19991209Y
 541435.04 2821002.91    1.23 GH07265A99 19991209Y
 541017.61 2821011.28    1.52 GH07265A99 19991209Y
 540613.42 2821003.72    1.45 GH07265A99 19991209Y
 540224.66 2820999.12    1.01 GH07265A99 19991209Y
 539818.51 2821000.45    1.50 GH07265A99 19991209Y
 539421.22 2820992.91    1.41 GH07265A99 19991209Y
 539012.60 2820989.57    1.29 GH07265A99 19991209Y
 538618.82 2821001.85    1.48 GH07265A99 19991209Y
 538231.94 2821013.95    1.39 GH07265A99 19991209Y
 537816.33 2820990.37    1.41 GH07265A99 19991209Y
 542224.07 2821404.89    1.46 GH07265A99 19991209Y
 541844.29 2821398.57    1.27 GH07265A99 19991209Y
 541412.14 2821401.05    1.35 GH07265A99 19991209Y
 541014.89 2821400.50    1.41 GH07265A99 19991209Y
 540597.37 2821400.94    1.15 GH07265A99 19991209Y
 540197.83 2821406.30    1.35 GH07265A99 19991209Y
 539814.02 2821388.12    1.26 GH07265A99 19991209Y
 539415.60 2821379.13    1.44 GH07265A99 19991209Y
 538983.53 2821400.53    1.43 GH07265A99 19991209Y
 538606.57 2821399.72    1.39 GH07265A99 19991209Y
 538214.99 2821409.87    1.33 GH07265A99 19991209Y
 537824.42 2821403.81    1.10 GH07265A99 19991209Y
 542209.77 2821805.97    1.51 GH07265A99 19991209Y
 541838.03 2821804.39    1.35 GH07265A99 19991209Y
 541430.97 2821791.23    1.41 GH07265A99 19991209Y
 541002.30 2821797.56    1.21 GH07265A99 19991209Y
 540619.18 2821806.85    1.45 GH07265A99 19991209Y
 540196.12 2821822.17    1.38 GH07265A99 19991209Y
 539801.33 2821814.73    1.46 GH07265A99 19991209Y
 539403.16 2821793.27    1.44 GH07265A99 19991209Y
 539014.18 2821787.60    1.46 GH07265A99 19991209Y
 538601.28 2821796.48    1.44 GH07265A99 19991209Y
 538212.83 2821807.78    1.38 GH07265A99 19991209Y
 537809.97 2821807.99    1.09 GH07265A99 19991209Y
 542219.43 2822229.89    1.75 GH13265A99 19991209Y
 541808.52 2822206.45    1.50 GH13265A99 19991209Y
 541389.55 2822187.42    1.47 GH13265A99 19991209Y
 541006.70 2822186.24    1.11 GH13265A99 19991209Y
 540611.74 2822200.54    1.47 GH13265A99 19991209Y
 540150.40 2822239.01    1.45 GH13265A99 19991209Y
 539820.93 2822194.84    1.51 GH13265A99 19991209Y
 539416.97 2822199.18    1.39 GH13265A99 19991209Y
 539003.95 2822204.61    1.29 GH13265A99 19991209Y
 538652.21 2822220.20    1.44 GH13265A99 19991209Y
 538209.10 2822207.85    1.19 GH13265A99 19991209Y
 537786.08 2822200.00    1.34 GH13265A99 19991209Y
 542219.24 2822607.51    1.57 GH13265A99 19991209Y
 541832.43 2822591.89    1.40 GH13265A99 19991209Y
 541418.41 2822602.78    1.47 GH13265A99 19991209Y
 541017.44 2822615.94    1.41 GH13265A99 19991209Y
 540620.53 2822614.73    1.46 GH13265A99 19991209Y
 540202.57 2822599.07    1.53 GH13265A99 19991209Y
 539819.73 2822597.93    1.43 GH13265A99 19991209Y
 539402.72 2822601.12    1.23 GH13265A99 19991209Y
 538998.82 2822585.54    1.31 GH13265A99 19991209Y
 538682.26 2822599.01    1.39 GH13265A99 19991209Y
