"tblid","profln","totcest","totcme","cest","cme"
,"0",,,,
,"1",,,,
"S0201","1","6,395,798","*****","805,024","+/-17,117"
,"2",,,,
"S0201","2","49.8","+/-0.1","47.5","+/-0.8"
"S0201","3","50.2","+/-0.1","52.5","+/-0.8"
,"3",,,,
"S0201","4","6.4","+/-0.1","5.9","+/-0.4"
"S0201","5","17.5","+/-0.1","17.3","+/-0.7"
"S0201","6","9.6","+/-0.1","9.4","+/-0.5"
"S0201","7","13.9","+/-0.1","12.8","+/-0.6"
"S0201","8","14.8","+/-0.1","14.9","+/-0.6"
"S0201","9","15.2","+/-0.1","16.2","+/-0.5"
"S0201","10","11.1","+/-0.1","12.0","+/-0.6"
"S0201","11","5.9","+/-0.1","6.2","+/-0.3"
"S0201","12","5.6","+/-0.1","5.3","+/-0.3"
,"12",,,,
"S0201","13","36.7","+/-0.1","37.9","+/-0.6"
,"13",,,,
"S0201","14","76.1","+/-0.1","76.8","+/-0.7"
"S0201","15","71.8","+/-0.1","72.9","+/-0.8"
"S0201","16","14.3","+/-0.1","14.8","+/-0.5"
"S0201","17","11.5","+/-0.1","11.5","+/-0.5"
,"17",,,,
"S0201","18","1,527,876","+/-1,006","186,432","+/-8,239"
"S0201","19","51.1","+/-0.1","51.7","+/-1.6"
"S0201","20","48.9","+/-0.1","48.3","+/-1.6"
,"20",,,,
"S0201","21","4,867,922","+/-1,006","618,592","+/-12,310"
"S0201","22","49.4","+/-0.1","46.2","+/-0.8"
"S0201","23","50.6","+/-0.1","53.8","+/-0.8"
,"23",,,,
"S0201","24","1,502,981","+/-3,502","179,270","+/-7,313"
"S0201","25","51.4","+/-0.1","48.8","+/-1.5"
"S0201","26","48.6","+/-0.1","51.2","+/-1.5"
,"26",,,,
"S0201","27","2,628,225","+/-3,869","346,896","+/-8,640"
"S0201","28","49.8","+/-0.1","46.7","+/-1.0"
"S0201","29","50.2","+/-0.1","53.3","+/-1.0"
,"29",,,,
"S0201","30","736,716","+/-2,063","92,426","+/-3,840"
"S0201","31","43.5","+/-0.1","39.4","+/-2.0"
"S0201","32","56.5","+/-0.1","60.6","+/-2.0"
,"32",,,,
,"33",,,,
"S0201","33","6,255,191","*****","789,856","+/-17,142"
"S0201","34","59.3","+/-0.3","62.0","+/-0.9"
"S0201","35","28.8","+/-0.2","27.8","+/-0.7"
"S0201","36","5.2","+/-0.2","4.1","+/-0.5"
"S0201","37","6.8","+/-0.2","6.1","+/-0.5"
"S0201","38","2.6","+/-0.1","2.6","+/-0.3"
,"38",,,,
,"39",,,,
"S0201","39","2,471,912","+/-8,400","338,597","+/-8,002"
"S0201","40","64.5","+/-0.4","60.8","+/-1.2"
"S0201","41","30.7","+/-0.4","27.4","+/-1.0"
"S0201","42","50.0","+/-0.5","46.8","+/-1.5"
"S0201","43","21.6","+/-0.4","18.5","+/-0.9"
