table with row headers in column A and column headers in rows 5 through 6.,,,,,,,,,,,,
"Table C4.  Children/1/ with Grandparents by Presence of Parents, Gender, Race, and Hispanic Origin/2/ for Selected Characteristics: March 2001/3/",,,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,,
(leading dots indicate sub-parts),,,,,,,,,,,,
Non-Hispanic,Total,Grandmother and grandfather,Grandmother only,Grandfather only,No grandparents,Grandparent is not householder,,,Grandparent is householder,,,No grandparents present
,,,,,,Grandmother and grandfather,Grandmother only,Grandfather only,Grandmother and grandfather,Grandmother only,Grandfather only,No grandparents
ALL CHILDREN,"59,560 ","1,549 ","2,468 ",393 ,"55,151 ",173 ,991 ,213 ,"1,375 ","1,477 ",180 ,"55,151 "
.LIVING WITH BOTH PARENTS,"41,681 ",332 ,781 ,189 ,"40,380 ",139 ,642 ,146 ,193 ,140 ,43 ,"40,380 "
.LIVING WITH MOTHER ONLY,"13,063 ",618 ,963 ,141 ,"11,341 ",33 ,306 ,61 ,584 ,657 ,80 ,"11,341 "
.LIVING WITH FATHER ONLY,"2,563 ",80 ,139 ,23 ,"2,322 ",1 ,43 ,6 ,78 ,96 ,17 ,"2,322 "
.LIVING WITH NEITHER PARENT,"2,253 ",520 ,585 ,40 ,"1,109 ",- ,- ,- ,520 ,585 ,40 ,"1,109 "
ALL CHILDREN,,,,,,,,,,,,
.TOTAL,"59,560 ","1,549 ","2,468 ",393 ,"55,151 ",173 ,991 ,213 ,"1,375 ","1,477 ",180 ,"55,151 "
.MARITAL STATUS OF PARENT,,,,,,,,,,,,
..Married spouse present,"41,681 ",332 ,781 ,189 ,"40,380 ",139 ,642 ,146 ,193 ,140 ,43 ,"40,380 "
..Married spouse absent,666 ,35 ,62 ,11 ,557 ,2 ,13 ,2 ,34 ,49 ,10 ,557 
..Widowed,666 ,6 ,19 ,5 ,636 ,- ,12 ,5 ,6 ,7 ,- ,636 
..Divorced,"6,097 ",169 ,245 ,40 ,"5,642 ",15 ,83 ,15 ,154 ,163 ,25 ,"5,642 "
