Time,F-Scale,Location,County,State,Lat,Lon,Comments
Time,Speed,Location,County,State,Lat,Lon,Comments
1614,60,1 SSE MAURICEVILLE,ORANGE,TX,30.21,-93.87,(LCH)
1712,UNK,2 ENE STAMPLEY,JEFFERSON,MS,31.65,-91.11,STRONG WINDS DOWNED A NUMBER OF TREES AND LIMBS (JAN)
1715,UNK,SULPHUR,CALCASIEU,LA,30.23,-93.36,TREES REPORTED BLOWN DOWN OVER ROADS IN SULPHUR BY CALCASIEU PARISH SHERIFFS OFFICE. (LCH)
1730,UNK,STARKS,CALCASIEU,LA,30.32,-93.66,TREES REPORTED DOWN IN STARKS BY FIRE DEPARTMENT. BEAUREGARD ELECTRIC REPORTED TREES ON POWERLINES. (LCH)
1755,UNK,2 S BEAUMONT,JEFFERSON,TX,30.06,-94.14,POWER LINES BLOWN DOWN NEAR LAMAR UNIVERSITY. REPORTED BY SPOUSE OF NWS EMPLOYEE. (LCH)
1800,UNK,LAKE CHARLES,CALCASIEU,LA,30.21,-93.2,TREES BLOWN DOWN OVER ROADS IN LAKE CHARLES. REPORTED BY CALCASIEU PARISH SHERIFFS OFFICE. (LCH)
1800,UNK,REEVES,ALLEN,LA,30.52,-93.04,BEAUREGARD ELECTRIC REPORTS TREES ON POWERLINES. (LCH)
1805,UNK,DERIDDER,BEAUREGARD,LA,30.85,-93.29,BEAUREGARD ELECTRIC REPORTS TREES ON POWERLINES. (LCH)
1815,UNK,1 N IOWA,CALCASIEU,LA,30.25,-93.01,TREE FELL ON POWERLINES. REPORTED BY CALCASIEU PARISH SHERIFFS OFFICE. (LCH)
1818,UNK,2 W MORGANTOWN,MARION,MS,31.31,-89.95,A FEW TREES DOWN ON MORGANTOWN ROAD. (JAN)
1825,UNK,1 NW MICANOPY,ALACHUA,FL,29.52,-82.3,SCATTERED TREES BLOWN DOWN ACROSS PAYNES PRARIE STATE PARK. (JAX)
1830,UNK,VIDALIA,CONCORDIA,LA,31.57,-91.44,A FEW DECENT SIZED LIMBS DOWN ACROSS THE CITY. (JAN)
1830,UNK,6 NW UTICA,HINDS,MS,32.16,-90.69,A TREE FELL ON A HOUSE ON CAYUGA ROAD NEAR THE INTERSECTION OF OLD PORT GIBSON ROAD. (JAN)
1835,UNK,WESSON,COPIAH,MS,31.7,-90.4,POWER OUTAGES,TREES DOWN,AND WINDOWS AND A ROOF BLOWN OFF OF A STORE IN WESSON. (JAN)
1840,UNK,6 S NATCHEZ,ADAMS,MS,31.46,-91.39,ADAMS S.O. REPORTS A LARGE TREE DOWN AT THE INTERSECTION OF LOWER WOODVILLE ROAD AND HUTCHINS LANDING ROAD. (JAN)
1845,UNK,PITKIN,VERNON,LA,30.94,-92.94,BEAUREGARD ELECTRIC REPORTS TREES ON POWERLINES. (LCH)
1845,UNK,5 NE PURVIS,FORREST,MS,31.19,-89.35,3 TREES BLOWN DOWN NEAR THE FORREST EOC OFFICE ON HWY 11. (JAN)
1850,UNK,3 NNE CHIEFLAND,LEVY,FL,29.52,-82.83,POSSIBLE TORNADO. 200 YEAR OLD HUGE OAK TREE FELL OVER NEAR COUNTY ROAD C320 AND NW 40TH AVE IN CHIEFLAND. (TBW)
1858,UNK,PURVIS,LAMAR,MS,31.14,-89.41,A POWERLINE AND TREE WERE BLOWN DOWN AT THE INTERSECTION OF MITCHELL ROAD AND ALDON ROAD. (JAN)
1900,UNK,HOPEWELL,COPIAH,MS,31.95,-90.22,10-15 TREES DOWN IN AND TO THE SOUTHWEST OF THE HOPEWELL COMMUNITY (JAN)
1912,UNK,4 SW WILLISTON,LEVY,FL,29.33,-82.5,POWER LINES...LARGE TREES DOWN NEAR ROAD 121 AND SE 10TH STREET. (TBW)
1940,UNK,HATTIESBURG,FORREST,MS,31.31,-89.31,3 TREES BLOWN DOWN NEAR THE FORREST EOC OFFICE ON HWY 11. (JAN)
1945,UNK,2 SSE KINGSLAND,CAMDEN,GA,30.76,-81.65,A STORM SPOTTER REPORTED SEVERAL LARGE TREE LIMBS DOWN ALONG THE EXIT 1 RAMP OFF INTERSTATE 95. THE LIMBS WERE PARTIALLY BLOCKING THE RAMP EXIT. THE TIME GIVEN WAS BASE (JAX)
1946,UNK,VANDALIA,MONTGOMERY,OH,39.88,-84.19,LARGE TREE LIMBS DOWN (ILN)
1950,UNK,4 E SANDY HOOK,MARION,MS,31.04,-89.74,POWERLINES DOWN...POWER WAS OUT FOR 3 HOURS. (JAN)
1958,UNK,2 S JACKSONBORO,COLLETON,SC,32.74,-80.45,TOPS OF TWO TREES BROKE OFF. MEASURED 0.98 INCHES OF RAIN IN 20 MINUTES. TIME ESTIMATED BASED ON RADAR. (CHS)
2000,UNK,MARTINVILLE,SIMPSON,MS,31.97,-89.75,SEVERAL TREES DOWN. (JAN)
