AMTMNOB	1992		228808	235431	241090	243608	243968	242546	236117	241801	246495	242299	246829
AMTMNOB	1993	243605	249866	248487	248326	247324	252015	249638	248635	248864	253758	251623	253386
AMTMNOB	1994	262099	259805	261832	263371	267353	271093	268814	274381	274719	278250	280739	286845
AMTMNOB	1995	287074	290288	289613	286093	290009	288376	286692	292559	297254	293775	293857	300980
AMTMNOB	1996	295020	287810	303067	296622	306052	302573	305439	299306	306852	310966	314007	304312
AMTMNOB	1997	311699	317603	313439	316257	317875	320798	322168	325747	326284	328683	336626	323240
AMTMNOB	1998	327111	327286	323979	327733	322484	317130	317456	322757	324457	325518	322635	324655
AMTMNOB	1999	334880	328450	331624	330437	331536	328079	340801	342179	342060	343605	343413	356147
AMTMNOB	2000	359982	342157	358553	348449	357378	382435	350818	348259	359414	346826	349776	349918
AMTMNOB	2001	336342	336882	342293	326866	335702	325429	324632	326826	311583	326737	313338	317792
AMXTNOB	1992		196387	201987	203476	205813	209336	207165	204692	209909	205071	209985	211894
AMXTNOB	1993	212210	211233	213760	212814	212141	213007	213961	213560	215801	216261	215676	217125
AMXTNOB	1994	220406	221038	223515	224860	227158	230400	229273	232635	233933	236599	237794	243390
AMXTNOB	1995	247552	245703	245876	246824	248338	247371	247736	250381	250417	253821	250940	254266
AMXTNOB	1996	249454	246243	252904	254803	257980	256678	258752	259650	258320	264521	262952	258129
AMXTNOB	1997	265832	271105	269581	269850	271991	272960	272271	277114	279016	277024	275266	275582
AMXTNOB	1998	277813	277255	275866	275079	272817	274562	273487	270926	271518	272148	269371	273949
AMXTNOB	1999	274355	273987	275822	279123	277631	275868	285961	286563	288364	287773	291548	295899
AMXTNOB	2000	297862	290205	305509	297511	306754	306226	300768	297282	301521	299202	297089	294979
AMXTNOB	2001	289857	290786	286098	278293	284638	276095	275662	277599	266575	270275	267250	268965
AMXDNOB	1992		220238	228683	232430	235256	237065	236631	230403	234837	234494	234388	238909
AMXDNOB	1993	237896	242191	240321	240931	240408	246086	240865	240806	242171	246075	245798	247755
AMXDNOB	1994	254205	253610	256423	257262	260096	264317	261990	267673	268177	269537	274308	279495
AMXDNOB	1995	282852	282646	282193	280098	283629	281795	280762	285319	290471	287581	288740	294903
AMXDNOB	1996	288502	281756	289707	290289	298054	294783	299967	293963	300300	303902	300272	294110
AMXDNOB	1997	306969	310663	307258	309455	312193	314219	316081	319428	320677	322669	330236	318742
AMXDNOB	1998	321120	320822	318147	320263	317196	311912	311885	317420	316582	319626	316252	317981
AMXDNOB	1999	327007	321496	323420	324703	324835	322636	333617	337045	337359	335174	339146	348738
AMXDNOB	2000	350562	336614	352878	343409	352333	355452	345748	341980	353787	340986	342624	346313
AMXDNOB	2001	331369	330654	332267	320210	328814	319232	317981	320760	304687	307858	307527	310915
AMTUNOB	1992		87593	88694	93331	93444	91777	89860	87430	89540	96273	89990	94165
AMTUNOB	1993	89851	95512	93445	94200	92288	96081	95140	96599	93420	97675	95240	98223
AMTUNOB	1994	103581	101053	101390	103189	105248	107557	105242	107752	108260	111221	111167	113123
