

"tblid","profln","totcest","totcme","cest","cme"
" ","           0"," "," "," "," "
" ","           1"," "," "," "," "
"S0201","           1","1,971,853","*****","1,017,000","+/-4,922"
" ","           2"," "," "," "," "
"S0201","           2","     48.1","               +/-0.1","     49.5","  +/-0.1"
"S0201","           3","     51.9","               +/-0.1","     50.5","  +/-0.1"
" ","           3"," "," "," "," "
"S0201","           4","      7.0","               +/-0.1","      6.4","  +/-0.1"
"S0201","           5","     20.4","               +/-0.1","     17.5","  +/-0.1"
"S0201","           6","      8.4","               +/-0.1","      7.5","  +/-0.1"
"S0201","           7","     12.5","               +/-0.1","     11.0","  +/-0.1"
"S0201","           8","     14.8","               +/-0.1","     15.3","  +/-0.1"
"S0201","           9","     14.8","               +/-0.1","     16.3","  +/-0.1"
"S0201","          10","     10.5","               +/-0.1","     12.0","  +/-0.1"
"S0201","          11","      5.7","               +/-0.1","      6.6","  +/-0.1"
"S0201","          12","      6.0","               +/-0.1","      7.5","  +/-0.1"
" ","          12"," "," "," "," "
"S0201","          13","     36.1","               +/-0.2","     40.3","  +/-0.3"
" ","          13"," "," "," "," "
"S0201","          14","     72.6","*****","     76.1","  +/-0.1"
"S0201","          15","     68.9","               +/-0.1","     72.8","  +/-0.2"
"S0201","          16","     14.0","               +/-0.1","     16.9","  +/-0.2"
"S0201","          17","     11.6","               +/-0.1","     14.1","  +/-0.1"
" ","          17"," "," "," "," "
"S0201","          18","  540,672","*****","  243,132","+/-2,415"
"S0201","          19","     50.8","               +/-0.1","     51.1","  +/-0.3"
"S0201","          20","     49.2","               +/-0.1","     48.9","  +/-0.3"
" ","          20"," "," "," "," "
"S0201","          21","1,431,181","*****","  773,868","+/-3,068"
"S0201","          22","     47.1","*****","     49.0","  +/-0.1"
"S0201","          23","     52.9","*****","     51.0","  +/-0.1"
" ","          23"," "," "," "," "
"S0201","          24","  411,062","               +/-463","  187,832","+/-1,650"
"S0201","          25","     49.6","               +/-0.1","     51.9","  +/-0.4"
"S0201","          26","     50.4","               +/-0.1","     48.1","  +/-0.4"
" ","          26"," "," "," "," "
"S0201","          27","  790,706","               +/-449","  442,765","+/-2,003"
"S0201","          28","     48.0","               +/-0.1","     50.5","  +/-0.2"
"S0201","          29","     52.0","               +/-0.1","     49.5","  +/-0.2"
" ","          29"," "," "," "," "
"S0201","          30","  229,413","               +/-167","  143,271","  +/-509"
"S0201","          31","     39.6","               +/-0.1","     40.4","  +/-0.1"
"S0201","          32","     60.4","               +/-0.1","     59.6","  +/-0.1"
" ","          32"," "," "," "," "
" ","          33"," "," "," "," "
"S0201","          33","1,942,251","             +/-1,693","1,006,620","+/-5,201"
"S0201","          34","     51.7","               +/-0.4","     58.9","  +/-0.6"
"S0201","          35","     35.2","               +/-0.5","     31.9","  +/-0.5"
"S0201","          36","      8.5","               +/-0.5","      5.2","  +/-0.5"
