FOUS90 KWNO 080000
OUTPUT FROM NGM 00Z APR 08 03
TTPTTR1R2R3 VVVLI PSDDFF HHT1T3T5   TTPTTR1R2R3 VVVLI PSDDFF HHT1T3T5
BRW//674450 -0813 181419 13829088   BTI//652722 -1018 221208 07818382
06000454353 -0511 141719 16879289   06000692931 -2817 201518 09828483
12000565762 00010 122707 16909389   12000663049 -2315 191920 10818584
18000725862 -1411 123309 15899388   18000553156 -0414 162116 12838785
24000766467 -0512 130307 14889187   24000453751 -2312 121908 15898886
30000745867 -1412 130509 15889288   30000414248 -0312 112604 15908986
36000765878 -0912 141112 13859187   36000464751 -1013 122606 14888985
42000645472 -1212 151011 14869187   42000555157 -1713 153606 12868985
48000565272 -0612 161013 14879287   48000585157 -1314 160203 12888884

BTT//491515 -1315 150711 11858483   FAI//676328 -0310 090509 12868584
06000492017 -2514 140819 13878484   06000666127 -2007 100718 14878786
12000702421 -2013 150820 12818685   12000905621 -1806 090916 15859086
18000652429 -2112 130715 14818986   18000905216 -2005 060810 17879287
24000432834 -1610 070613 19928987   24000645118 -1104 010610 21969287
30000482834 -1309 070722 20928987   30000695119 -2004 020820 21959387
36000643335 -2009 090823 18879187   36000765522 -1704 020916 21949487
42000643532 -0909 100717 18879287   42000805222 -1004 030914 20949487
48000484035 -1408 070812 21979187   48000645622 -2304 030710 23009487

OME//331831 -0814 153604 18909290   OTZ//312133 -0712 163102 17889290
06000441833 -0713 120511 20919391   06000422436 00112 130704 19929390
12000431830 -0314 100816 20909290   12000422734 00412 121010 19919290
18000481631 -1415 080723 20879190   18000442542 -1713 111016 19889290
24000481829 -0114 030618 22929490   24000292345 -0513 070613 21959490
30000402526 -1412 000726 23969491   30000292440 -0812 050823 23989391
36000643625 00009 001022 23959691   36000502642 00411 051024 22929391
42000834223 -0808 990923 23939791   42000682838 -0310 051023 21889591
48000785221 00105 000913 23989990   48000413238 00209 041014 23999691
